date,prediction,actual,best_strat,best_agg,best_q,best_child_prediction
2025-03-02,48372.924666666666,48497.5,MSE_Only,mean,0.01,48303.219
2025-03-03,48018.805,48497.5,MSE_Only,mean,0.01,47693.133
2025-03-04,48270.563571428575,48497.5,MSE_Only,mean,0.02,48297.074
2025-03-05,48437.59333333333,48216.801,MSE_Only,mean,0.01,48455.191
2025-03-06,48604.215000000004,47853.949,MSE_Only,mean,0.01,48399.219
2025-03-07,48571.66133333333,48056.648,MSE_Only,mean,0.01,48514.855
2025-03-08,48588.26966666667,48060.398,MSE_Only,mean,0.01,48734.34
2025-03-09,48291.147,48060.398,MSE_Only,mean,0.01,48753.535
2025-03-10,47954.797,48060.398,MSE_Only,mean,0.01,48427.227
2025-03-11,47589.76433333333,48060.398,MSE_Only,mean,0.01,47953.867
2025-03-12,48128.298,48354.148,MSE_Only,mean,0.01,48247.363
2025-03-13,48042.11466666666,49314.5,MSE_Only,mean,0.01,48101.84
2025-03-14,47849.251333333326,49702.602,MSE_Only,mean,0.01,48234.418
2025-03-15,48289.86433333333,50062.852,MSE_Only,mean,0.01,48339.609
2025-03-16,48296.170666666665,50593.551,MSE_Only,mean,0.01,48319.227
2025-03-17,48548.025,50593.551,MSE_Only,mean,0.02,48579.469
2025-03-18,49550.468666666675,50593.551,MSE_Only,mean,0.01,49709.836
2025-03-19,49723.33733333333,51704.949,MSE_Only,mean,0.01,49759.766
2025-03-20,50179.74766666667,51607.949,MSE_Only,mean,0.01,50098.055
2025-03-21,50790.759,51209.0,MSE_Only,mean,0.01,50847.855
2025-03-22,50900.72666666666,51575.852,MSE_Only,mean,0.01,50990.168
2025-03-23,50791.336,51564.852,MSE_Only,median,0.02,51140.07
2025-03-24,52048.27,51564.852,MSE_Only,median,0.02,52048.27
2025-03-25,51805.27866666667,51564.852,MSE_Only,mean,0.01,52009.754
2025-03-26,51428.431333333334,51564.852,MSE_Only,mean,0.01,51587.637
2025-03-27,52052.29433333333,50827.5,MSE_Only,mean,0.01,52053.824
2025-03-28,51708.74733333333,51348.051,MSE_Only,mean,0.01,51995.621
2025-03-29,51762.58466666667,51597.352,MSE_Only,mean,0.01,52007.762
2025-03-30,51798.52866666666,51502.699,MSE_Only,mean,0.01,51358.824
2025-03-31,51434.35800000001,51502.699,MSE_Only,mean,0.01,50859.781
2025-04-01,50741.953,51502.699,MSE_Only,mean,0.01,51061.754
2025-04-02,51368.49157142857,49860.102,MSE_Only,mean,0.02,51191.328
2025-04-03,51597.683428571436,50511.0,MSE_Only,mean,0.02,51438.164
2025-04-04,51344.154428571426,50240.148,MSE_Only,mean,0.02,51377.102
2025-04-05,51101.29033333334,50240.148,MSE_Only,mean,0.01,51029.336
2025-04-06,51110.86066666667,51002.352,MSE_Only,mean,0.01,51120.051
2025-04-07,49839.776000000005,51002.352,MSE_Only,mean,0.01,49714.152
2025-04-08,50547.89833333334,51002.352,MSE_Only,mean,0.01,50528.781
2025-04-09,50172.32033333334,51002.352,MSE_Only,mean,0.01,50097.746
2025-04-10,50137.62233333333,52379.5,MSE_Only,mean,0.01,50058.156
2025-04-11,51007.045333333335,53117.75,MSE_Only,mean,0.01,50948.648
2025-04-12,51045.25666666666,54290.199,MSE_Only,mean,0.01,50992.77
2025-04-13,51110.00633333333,54290.199,MSE_Only,mean,0.01,50998.824
2025-04-14,51039.43633333334,54290.199,MSE_Only,mean,0.01,51232.512
2025-04-15,52787.138,54290.199,MSE_Only,mean,0.01,52722.875
2025-04-16,53534.527,55304.5,MSE_Only,median,0.01,53421.289
2025-04-17,54498.258,55647.199,MSE_Only,median,0.01,54697.895
2025-04-18,54582.035,55370.051,MSE_Only,median,0.01,54708.191
2025-04-19,54221.812,55201.398,MSE_Only,median,0.01,54318.801
2025-04-20,54299.457,54664.051,MSE_Only,median,0.01,54216.398
2025-04-21,55841.407333333336,54664.051,MSE_Only,mean,0.01,55933.402
2025-04-22,56019.13533333333,54664.051,MSE_Only,mean,0.01,55930.719
2025-04-23,55856.879,55432.801,MSE_Only,median,0.01,55856.879
2025-04-24,55619.58066666667,55391.25,MSE_Only,mean,0.01,55634.039
2025-04-25,55108.59366666666,55087.148,MSE_Only,mean,0.01,55326.465
2025-04-26,55123.89566666667,55087.148,MSE_Only,mean,0.01,55149.371
2025-04-27,55009.90233333333,55115.352,MSE_Only,mean,0.01,55042.941
2025-04-28,55744.887,55115.352,MSE_Only,median,0.01,55685.93
2025-04-29,55673.08066666667,55115.352,MSE_Only,mean,0.01,55533.691
2025-04-30,55181.90900000001,54919.5,MSE_Only,mean,0.01,55071.688
2025-05-01,55121.89866666667,54271.398,MSE_Only,mean,0.01,55069.461
2025-05-02,55079.337,54610.898,MSE_Only,mean,0.01,55216.863
2025-05-03,55207.949,54365.648,MSE_Only,mean,0.01,55525.492
2025-05-04,54926.616,53595.25,MSE_Only,mean,0.01,55214.473
2025-05-05,54758.19633333333,53595.25,MSE_Only,mean,0.01,54660.527
2025-05-06,54216.157666666666,53595.25,MSE_Only,mean,0.01,54062.672
2025-05-07,54550.72,55382.852,MSE_Only,mean,0.01,54630.961
2025-05-08,54262.78,54940.852,MSE_Only,mean,0.01,54156.344
2025-05-09,53641.51566666667,54801.301,MSE_Only,mean,0.01,53899.605
2025-05-10,53448.39333333333,55355.602,MSE_Only,mean,0.01,53474.598
2025-05-11,53878.50933333333,55354.898,MSE_Only,mean,0.01,53596.852
2025-05-12,55670.741,55354.898,MSE_Only,mean,0.01,55686.496
2025-05-13,55079.102666666666,55354.898,MSE_Only,mean,0.01,55197.582
2025-05-14,54814.27333333334,55420.699,MSE_Only,mean,0.01,54842.348
2025-05-15,55558.12366666666,54877.352,MSE_Only,mean,0.01,55619.57
2025-05-16,55607.829666666665,55075.102,MSE_Only,mean,0.01,55592.223
2025-05-17,55629.14566666667,54941.301,MSE_Only,mean,0.01,55843.285
2025-05-18,55535.68633333334,55398.25,MSE_Only,mean,0.01,55627.891
2025-05-19,55651.50633333333,55398.25,MSE_Only,mean,0.01,55457.539
2025-05-20,55093.47133333333,55398.25,MSE_Only,mean,0.01,54999.992
2025-05-21,55266.22899999999,55572.0,MSE_Only,mean,0.01,55146.062
2025-05-22,54989.90466666667,55352.801,MSE_Only,mean,0.01,55500.98
2025-05-23,55439.49866666666,55417.0,MSE_Only,mean,0.01,55897.125
2025-05-24,55376.13666666666,55546.051,MSE_Only,mean,0.01,55580.668
2025-05-25,55368.744666666666,55749.699,MSE_Only,mean,0.01,55928.09
2025-05-26,55621.276000000005,55749.699,MSE_Only,mean,0.01,55757.879
2025-05-27,55406.67433333333,55749.699,MSE_Only,mean,0.01,55809.406
2025-05-28,55552.99366666667,55903.398,MSE_Only,mean,0.01,55478.621
2025-05-29,55743.182,55599.949,MSE_Only,mean,0.01,55737.898
2025-05-30,55754.123666666674,55676.852,MSE_Only,mean,0.01,55614.344
2025-05-31,55937.259,55760.852,MSE_Only,mean,0.01,55834.98
2025-06-01,55621.83733333333,56578.398,MSE_Only,mean,0.01,55505.277
2025-06-02,56061.01614285714,56578.398,MSE_Only,mean,0.02,55685.617
2025-06-03,55752.40742857142,56578.398,MSE_Only,mean,0.02,55619.25
2025-06-04,55816.836,56839.602,MSE_Only,median,0.01,55816.836
2025-06-05,55585.836,56629.102,MSE_Only,median,0.01,55941.191
2025-06-06,56678.238,56459.75,MSE_Only,median,0.01,56811.621
2025-06-07,56666.57833333333,56082.551,MSE_Only,mean,0.01,56998.84
2025-06-08,56608.77833333333,55527.352,MSE_Only,mean,0.01,56729.605
2025-06-09,56698.15366666667,55527.352,MSE_Only,mean,0.01,56613.941
2025-06-10,56498.200333333334,55527.352,MSE_Only,mean,0.01,56554.426
2025-06-11,56307.174666666666,55944.898,MSE_Only,mean,0.01,56361.551
2025-06-12,55912.600333333336,55714.148,MSE_Only,mean,0.01,56081.199
2025-06-13,55783.43466666667,55828.75,Accuracy_Heavy,mean,0.01,55649.949
2025-06-14,55538.948,55577.449,Accuracy_Heavy,mean,0.01,55505.941
2025-06-15,56056.538,56252.852,MSE_Only,mean,0.01,56008.293
2025-06-16,56618.04433333333,56252.852,MSE_Only,mean,0.01,56499.84
2025-06-17,55957.718666666675,56252.852,Accuracy_Heavy,mean,0.01,56245.668
2025-06-18,55976.52233333333,56059.352,Accuracy_Heavy,mean,0.01,55798.395
2025-06-19,55574.53400000001,56461.898,Accuracy_Heavy,mean,0.01,55589.387
2025-06-20,56371.71233333333,56621.148,Accuracy_Heavy,mean,0.01,56645.93
2025-06-21,56259.20166666666,57206.699,Accuracy_Heavy,mean,0.01,56031.699
2025-06-22,56426.409,57443.898,MSE_Only,mean,0.02,56362.871
2025-06-23,56595.992,57443.898,MSE_Only,median,0.01,56753.945
2025-06-24,56617.828,57443.898,MSE_Only,median,0.01,56732.52
2025-06-25,56725.496,57312.75,MSE_Only,median,0.01,56549.531
2025-06-26,57374.727,57459.449,MSE_Only,median,0.01,57211.348
2025-06-27,57542.238,56999.199,MSE_Only,median,0.01,57280.117
2025-06-28,57563.035,56791.949,MSE_Only,median,0.01,57220.824
2025-06-29,57602.977,57031.898,MSE_Only,median,0.01,57664.062
2025-06-30,57158.801,57031.898,MSE_Only,median,0.01,57158.801
2025-07-01,57375.219,57031.898,MSE_Only,median,0.01,57202.789
2025-07-02,57188.812,56949.199,MSE_Only,median,0.01,57188.812
2025-07-03,57142.445,57256.301,MSE_Only,median,0.01,57230.09
2025-07-04,57265.242333333335,57213.551,MSE_Only,mean,0.01,57444.277
2025-07-05,56995.962,56956.0,MSE_Only,mean,0.01,56873.441
2025-07-06,57097.333333333336,56754.699,MSE_Only,mean,0.01,57230.418
2025-07-07,57047.133,56754.699,MSE_Only,mean,0.01,57267.949
2025-07-08,57289.362,56754.699,MSE_Only,mean,0.01,57435.785
2025-07-09,57138.95966666667,56765.352,MSE_Only,mean,0.01,57411.004
2025-07-10,56759.13566666667,57006.648,MSE_Only,mean,0.01,56764.555
2025-07-11,56510.65233333333,57168.949,MSE_Only,mean,0.01,56485.578
2025-07-12,56775.227,56828.801,Balanced,median,0.02,56667.488
2025-07-13,56847.875,56283.0,Balanced,median,0.02,56532.504
2025-07-14,56769.91,56283.0,MSE_Only,mean,0.01,56921.008
2025-07-15,57069.15233333333,56283.0,Accuracy_Heavy,mean,0.01,57376.93
2025-07-16,57093.602,56952.75,MSE_Only,median,0.02,57287.93
2025-07-17,56875.965,56756.0,MSE_Only,median,0.02,56636.91
2025-07-18,56220.957,57210.449,Accuracy_Heavy,median,0.02,56220.957
2025-07-19,56390.46914285714,57066.051,MSE_Only,mean,0.02,56424.898
2025-07-20,56087.816,56528.898,MSE_Only,median,0.02,56231.043
2025-07-21,56822.031,56528.898,MSE_Only,median,0.02,57092.875
2025-07-22,56910.984,56528.898,MSE_Only,median,0.02,56826.984
2025-07-23,57273.88614285714,56528.898,MSE_Only,mean,0.02,57095.676
2025-07-24,57077.30742857143,56222.0,MSE_Only,mean,0.02,57176.816
2025-07-25,56729.440285714285,56150.699,MSE_Only,mean,0.02,56617.844
2025-07-26,56694.514,55961.949,MSE_Only,mean,0.02,56685.316
2025-07-27,56558.440285714285,55617.602,MSE_Only,mean,0.02,56385.914
2025-07-28,56609.07666666667,55617.602,MSE_Only,mean,0.01,56228.125
2025-07-29,56215.94666666666,55617.602,MSE_Only,mean,0.01,56006.84
2025-07-30,56025.723666666665,55619.352,MSE_Only,mean,0.01,55884.113
2025-07-31,56105.523,55360.25,MSE_Only,median,0.01,55628.707
2025-08-01,55806.056000000004,55411.148,MSE_Only,mean,0.01,55523.488
2025-08-02,55645.25285714285,55521.148,MSE_Only,mean,0.02,55444.004
