signal_threshold,rsi_overbought,rsi_oversold,accuracy,edge_pct,correct,total_tested,n_bullish,n_bearish,n_neutral,n_signals,signal_rate
0.1,70,20,0.4608294930875576,-3.9170506912442393,100,217,191,26,113,217,0.6575757575757576
0.1,70,25,0.4608294930875576,-3.9170506912442393,100,217,191,26,113,217,0.6575757575757576
0.1,70,30,0.4608294930875576,-3.9170506912442393,100,217,191,26,113,217,0.6575757575757576
0.2,70,30,0.4581005586592179,-4.18994413407821,82,179,167,12,151,179,0.5424242424242425
0.2,70,25,0.4581005586592179,-4.18994413407821,82,179,167,12,151,179,0.5424242424242425
0.2,70,20,0.4581005586592179,-4.18994413407821,82,179,167,12,151,179,0.5424242424242425
0.2,75,20,0.455,-4.499999999999998,91,200,188,12,130,200,0.6060606060606061
0.2,75,25,0.455,-4.499999999999998,91,200,188,12,130,200,0.6060606060606061
0.2,75,30,0.455,-4.499999999999998,91,200,188,12,130,200,0.6060606060606061
0.1,70,35,0.4528301886792453,-4.716981132075471,96,212,191,21,118,212,0.6424242424242425
0.15,70,30,0.45145631067961167,-4.854368932038833,93,206,187,19,124,206,0.6242424242424243
0.15,70,25,0.45145631067961167,-4.854368932038833,93,206,187,19,124,206,0.6242424242424243
0.15,70,20,0.45145631067961167,-4.854368932038833,93,206,187,19,124,206,0.6242424242424243
0.2,70,35,0.4514285714285714,-4.857142857142859,79,175,167,8,155,175,0.5303030303030303
0.1,75,30,0.45121951219512196,-4.878048780487804,111,246,220,26,84,246,0.7454545454545455
0.1,75,25,0.45121951219512196,-4.878048780487804,111,246,220,26,84,246,0.7454545454545455
0.1,75,20,0.45121951219512196,-4.878048780487804,111,246,220,26,84,246,0.7454545454545455
0.2,75,35,0.4489795918367347,-5.1020408163265305,88,196,188,8,134,196,0.593939393939394
0.2,80,25,0.4481132075471698,-5.1886792452830175,95,212,200,12,118,212,0.6424242424242425
0.2,80,30,0.4481132075471698,-5.1886792452830175,95,212,200,12,118,212,0.6424242424242425
0.2,80,20,0.4481132075471698,-5.1886792452830175,95,212,200,12,118,212,0.6424242424242425
0.15,70,35,0.44554455445544555,-5.445544554455445,90,202,187,15,128,202,0.6121212121212121
0.1,65,25,0.4444444444444444,-5.555555555555558,92,207,181,26,123,207,0.6272727272727273
0.1,65,30,0.4444444444444444,-5.555555555555558,92,207,181,26,123,207,0.6272727272727273
0.1,65,20,0.4444444444444444,-5.555555555555558,92,207,181,26,123,207,0.6272727272727273
0.1,75,35,0.44398340248962653,-5.601659751037347,107,241,220,21,89,241,0.7303030303030303
0.2,80,35,0.4423076923076923,-5.769230769230771,92,208,200,8,122,208,0.6303030303030303
0.15,75,20,0.44206008583690987,-5.793991416309013,103,233,214,19,97,233,0.706060606060606
0.15,75,25,0.44206008583690987,-5.793991416309013,103,233,214,19,97,233,0.706060606060606
0.15,75,30,0.44206008583690987,-5.793991416309013,103,233,214,19,97,233,0.706060606060606
0.4,75,30,0.44,-6.0,66,150,146,4,180,150,0.45454545454545453
0.4,75,20,0.44,-6.0,66,150,146,4,180,150,0.45454545454545453
