date,price,signal,net_prob,strength,strength_tier,bullish_slopes,bearish_slopes,total_slopes,agreement_ratio,agreement_tier,correct_1d,actual_move_1d,correct_3d,actual_move_3d,correct_5d,actual_move_5d,correct_10d,actual_move_10d
2025-03-02,48344.699,BULLISH,0.7333333333333333,0.7333333333333333,strong,39,6,45,0.8666666666666667,majority,False,-0.476573450172895,True,0.30044659084546166,True,0.316065676611203,False,-0.5958274763485433
2025-03-03,48114.301,BULLISH,0.4666666666666667,0.4666666666666667,medium,33,12,45,0.7333333333333333,majority,True,0.2720563268704684,True,1.0670382595810777,True,0.7964347232229364,False,-0.11203114018012739
2025-03-04,48245.199,BULLISH,0.7333333333333333,0.7333333333333333,strong,39,6,45,0.8666666666666667,majority,True,0.5073043641088515,True,0.5229556623862189,True,0.5229556623862189,False,-0.3830453678924601
2025-03-05,48489.949,BULLISH,0.5111111111111111,0.5111111111111111,strong,34,11,45,0.7555555555555555,majority,True,0.2840794903702621,True,0.015572299323308168,False,-0.563308491002952,False,-0.8858557471363796
2025-03-06,48627.699,BULLISH,0.7777777777777778,0.7777777777777778,strong,40,5,45,0.8888888888888888,majority,False,-0.26774657793287837,False,-0.26774657793287837,False,-1.5911713198685382,False,-1.1666211062135585
2025-03-07,48497.5,BULLISH,0.7777777777777778,0.7777777777777778,strong,40,5,45,0.8888888888888888,majority,False,0.0,False,-0.5787906593123368,False,-0.9090200525800278,False,-0.2955863704314634
2025-03-08,48497.5,BULLISH,0.8666666666666667,0.8666666666666667,strong,42,3,45,0.9333333333333333,unanimous,False,0.0,False,-1.3269776792618166,False,-0.9012876952420207,True,1.6846229187071498
2025-03-09,48497.5,BULLISH,0.9111111111111111,0.9111111111111111,strong,43,2,45,0.9555555555555556,unanimous,False,-0.5787906593123368,False,-0.9090200525800278,False,-0.9012876952420207,True,2.4848744780658776
2025-03-10,48216.801,BULLISH,0.8222222222222222,0.8222222222222222,strong,41,4,45,0.9111111111111111,unanimous,False,-0.7525426666111652,False,-0.3243744851509299,False,-0.3243744851509299,True,3.8286467822699386
2025-03-11,47853.949,BULLISH,0.8666666666666667,0.8666666666666667,strong,42,3,45,0.9333333333333333,unanimous,True,0.4235784177393605,True,0.43141476161142006,True,0.43141476161142006,True,5.724923558555217
2025-03-12,48056.648,BULLISH,0.9555555555555556,0.9555555555555556,strong,44,1,45,0.9777777777777777,unanimous,True,0.00780329081628831,True,0.00780329081628831,True,0.6190610714255392,True,5.278984501790466
2025-03-13,48060.398,BULLISH,1.0,1.0,strong,45,0,45,1.0,unanimous,False,0.0,False,0.0,True,2.6094290771374777,True,5.270769917469261
2025-03-14,48060.398,BULLISH,0.7777777777777778,0.7777777777777778,strong,40,5,45,0.8888888888888888,majority,False,0.0,True,0.6112100861087334,True,3.416958802546741,True,7.583272614596324
2025-03-15,48060.398,BULLISH,0.9111111111111111,0.9111111111111111,strong,43,2,45,0.9555555555555556,unanimous,False,0.0,True,2.6094290771374777,True,4.166536448574558,True,7.38144324148127
2025-03-16,48060.398,BULLISH,0.9111111111111111,0.9111111111111111,strong,43,2,45,0.9555555555555556,unanimous,True,0.6112100861087334,True,3.416958802546741,True,5.270769917469261,True,6.551343998441292
2025-03-17,48354.148,BULLISH,0.9111111111111111,0.9111111111111111,strong,43,2,45,0.9555555555555556,unanimous,True,1.9860798705418177,True,3.5337278613615486,True,4.631253145024907,True,6.662725191642292
2025-03-18,49314.5,BULLISH,0.8222222222222222,0.8222222222222222,strong,41,4,45,0.9111111111111111,unanimous,True,0.7869936833994038,True,2.593661093593161,True,2.593661093593161,True,4.563266382098569
2025-03-19,49702.602,BULLISH,0.9111111111111111,0.9111111111111111,strong,43,2,45,0.9555555555555556,unanimous,True,0.724811147714158,True,1.79256007562743,True,4.028656286445529,True,3.7467857316604873
2025-03-20,50062.852,BULLISH,0.8666666666666667,0.8666666666666667,strong,42,3,45,0.9333333333333333,unanimous,True,1.0600654553200455,True,1.0600654553200455,True,3.0863143793725567,True,3.0002285926498953
2025-03-21,50593.551,BULLISH,0.7333333333333333,0.7333333333333333,strong,39,6,45,0.8666666666666667,majority,False,0.0,True,2.1967187082796404,True,1.2164574097595966,True,1.9198118748375645
2025-03-22,50593.551,BULLISH,0.7777777777777778,0.7777777777777778,strong,40,5,45,0.8888888888888888,majority,False,0.0,True,2.0049946681939783,True,1.9415537762905781,True,0.4624087366391826
2025-03-23,50593.551,BULLISH,0.7333333333333333,0.7333333333333333,strong,39,6,45,0.8666666666666667,majority,True,2.1967187082796404,True,1.2164574097595966,True,1.9198118748375645,True,1.4912967860271362
2025-03-24,51704.949,BULLISH,0.7333333333333333,0.7333333333333333,strong,39,6,45,0.8666666666666667,majority,False,-0.18760293139443962,False,-0.24968016117761102,False,-0.27095472040790824,False,-0.20809806813657541
2025-03-25,51607.949,BULLISH,0.7333333333333333,0.7333333333333333,strong,39,6,45,0.8666666666666667,majority,False,-0.773037889957612,False,-0.08350845331985886,False,-0.08350845331985886,False,-0.20394145095748717
2025-03-26,51209.0,BULLISH,0.8222222222222222,0.8222222222222222,strong,41,4,45,0.9111111111111111,unanimous,True,0.7163818859966001,True,0.694901286883163,True,0.694901286883163,True,0.5735300435470337
2025-03-27,51575.852,BULLISH,0.8222222222222222,0.8222222222222222,strong,41,4,45,0.9111111111111111,unanimous,False,-0.021327810542034285,False,-0.021327810542034285,False,-1.4509736067956742,False,-0.1418357567801273
2025-03-28,51564.852,BULLISH,0.7777777777777778,0.7777777777777778,strong,40,5,45,0.8888888888888888,majority,False,0.0,False,0.0,False,-0.4204433671214638,False,-3.306031015079807
2025-03-29,51564.852,BULLISH,0.7777777777777778,0.7777777777777778,strong,40,5,45,0.8888888888888888,majority,False,0.0,False,-1.429950773445445,True,0.06302742806282077,False,-2.0437409575033763
2025-03-30,51564.852,BULLISH,0.8666666666666667,0.8666666666666667,strong,42,3,45,0.9333333333333333,unanimous,False,0.0,False,-0.4204433671214638,False,-0.12053365342733541,False,-2.5690057250624863
2025-03-31,51564.852,BULLISH,0.6444444444444445,0.6444444444444445,strong,37,8,45,0.8222222222222222,majority,False,-1.429950773445445,True,0.06302742806282077,False,-0.12053365342733541,False,-2.5690057250624863
2025-04-01,50827.5,BULLISH,0.7333333333333333,0.7333333333333333,strong,39,6,45,0.8666666666666667,majority,True,1.0241522797698086,True,1.328412768678374,True,1.328412768678374,True,0.3440106241699846
2025-04-02,51348.051,BULLISH,0.6444444444444445,0.6444444444444445,strong,37,8,45,0.8222222222222222,majority,True,0.4855120985994181,True,0.3011759881597085,False,-2.8977711344876567,False,-0.673246585347515
2025-04-03,51597.352,BULLISH,0.7333333333333333,0.7333333333333333,strong,39,6,45,0.8666666666666667,majority,False,-0.1834454605344833,False,-0.1834454605344833,False,-2.1054413800150034,False,-1.1531599528595964
2025-04-04,51502.699,BULLISH,0.9111111111111111,0.9111111111111111,strong,43,2,45,0.9555555555555556,unanimous,False,0.0,False,-3.1893415915930956,False,-2.451426865997837,False,-0.9714966588450084
2025-04-05,51502.699,BULLISH,0.6888888888888889,0.6888888888888889,strong,38,7,45,0.8444444444444444,majority,False,0.0,False,-1.9255282135796428,False,-2.451426865997837,True,1.7024369926710043
2025-04-06,51502.699,BULLISH,0.7333333333333333,0.7333333333333333,strong,39,6,45,0.8666666666666667,majority,False,-3.1893415915930956,False,-2.451426865997837,False,-0.9714966588450084,True,3.135857015959493
2025-04-07,49860.102,BULLISH,0.8666666666666667,0.8666666666666667,strong,42,3,45,0.9333333333333333,unanimous,True,1.305448592945119,True,0.762224674149287,True,2.290909874191593,True,8.885054025761924
2025-04-08,50511.0,BULLISH,0.7333333333333333,0.7333333333333333,strong,39,6,45,0.8666666666666667,majority,False,-0.5362237928372017,True,0.9727623685929776,True,0.9727623685929776,True,7.481932648334028
2025-04-09,50240.148,BULLISH,0.8666666666666667,0.8666666666666667,strong,42,3,45,0.9333333333333333,unanimous,False,0.0,True,1.517121326951501,True,1.517121326951501,True,8.061383497516765
2025-04-10,50240.148,BULLISH,0.8666666666666667,0.8666666666666667,strong,42,3,45,0.9333333333333333,unanimous,True,1.517121326951501,True,1.517121326951501,True,4.258251786997122,True,8.061383497516765
2025-04-11,51002.352,BULLISH,0.6888888888888889,0.6888888888888889,strong,38,7,45,0.8444444444444444,majority,False,0.0,False,0.0,True,4.1476479359226435,True,8.435195302365665
2025-04-12,51002.352,BULLISH,0.7777777777777778,0.7777777777777778,strong,40,5,45,0.8888888888888888,majority,False,0.0,True,2.7001656707910273,True,6.446461527891893,True,9.1071231381643
2025-04-13,51002.352,BULLISH,0.8222222222222222,0.8222222222222222,strong,41,4,45,0.9111111111111111,unanimous,False,0.0,True,4.1476479359226435,True,6.446461527891893,True,8.563720747623561
2025-04-14,51002.352,BULLISH,0.8666666666666667,0.8666666666666667,strong,42,3,45,0.9333333333333333,unanimous,True,2.7001656707910273,True,6.446461527891893,True,6.446461527891893,True,8.233043840801699
2025-04-15,52379.5,BULLISH,0.8222222222222222,0.8222222222222222,strong,41,4,45,0.9111111111111111,unanimous,True,1.4094254431600148,True,3.6477992344333194,True,3.6477992344333194,True,4.361536478966007
2025-04-16,53117.75,BULLISH,0.7777777777777778,0.7777777777777778,strong,40,5,45,0.8888888888888888,majority,True,2.2072640501527276,True,2.2072640501527276,True,4.116797115841692,True,2.911081512300501
2025-04-17,54290.199,BULLISH,0.9111111111111111,0.9111111111111111,strong,43,2,45,0.9555555555555556,unanimous,False,0.0,False,0.0,True,2.4995303480099604,True,0.6886178479471017
2025-04-18,54290.199,BULLISH,0.9111111111111111,0.9111111111111111,strong,43,2,45,0.9555555555555556,unanimous,False,0.0,True,1.8682948647876563,True,1.9890367320259759,True,2.1046192886491335
2025-04-19,54290.199,BULLISH,0.8666666666666667,0.8666666666666667,strong,42,3,45,0.9333333333333333,unanimous,False,0.0,True,2.4995303480099604,True,1.678385816931709,True,2.0280842956571212
