date,prediction,actual,best_strat,best_agg,best_q,best_child_prediction
2025-03-02,22107.975333333336,22119.301,Profit_Heavy,mean,0.01,22098.689
2025-03-03,22106.44166666667,22082.65,Profit_Heavy,mean,0.01,22119.029
2025-03-04,22024.445000000003,22337.301,MSE_Only,mean,0.01,21994.957
2025-03-05,22266.483000000004,22544.699,MSE_Only,mean,0.01,22175.939
2025-03-06,22580.091333333334,22552.5,MSE_Only,mean,0.01,22594.918
2025-03-07,22535.369666666666,22552.5,MSE_Only,mean,0.01,22536.529
2025-03-08,22602.546666666665,22552.5,MSE_Only,mean,0.01,22536.529
2025-03-09,22490.265666666663,22460.301,MSE_Only,mean,0.01,22491.797
2025-03-10,22398.43966666667,22497.9,MSE_Only,mean,0.01,22442.762
2025-03-11,22495.82933333333,22470.5,Balanced,mean,0.01,22481.676
2025-03-12,22469.217333333334,22397.199,Balanced,mean,0.01,22456.947
2025-03-13,22389.868333333332,22397.199,MSE_Only,mean,0.01,22368.91
2025-03-14,22433.504,22397.199,MSE_Only,mean,0.01,22399.547
2025-03-15,22347.106,22397.199,Balanced,mean,0.01,22384.25
2025-03-16,22331.986999999997,22508.75,MSE_Only,mean,0.01,22298.83
2025-03-17,22481.485,22834.301,Balanced,mean,0.01,22494.51
2025-03-18,22825.040999999997,22907.6,MSE_Only,mean,0.01,22820.621
2025-03-19,22923.653666666665,23190.65,MSE_Only,mean,0.01,22895.033
2025-03-20,23154.13266666667,23350.4,Accuracy_Heavy,mean,0.01,23121.355
2025-03-21,23343.879666666664,23350.4,MSE_Only,mean,0.01,23323.123
2025-03-22,23343.138000000003,23350.4,MSE_Only,mean,0.01,23321.717
2025-03-23,23319.889333333336,23658.35,Accuracy_Heavy,mean,0.01,23251.84
2025-03-24,23632.507833333333,23668.65,MSE_Only,mean,0.02,23635.57
2025-03-25,23679.06133333333,23486.85,MSE_Only,mean,0.02,23653.979
2025-03-26,23544.277,23591.949,Profit_Heavy,median,0.01,23491.271
2025-03-27,23627.561,23519.35,Profit_Heavy,median,0.01,23602.721
2025-03-28,23519.539,23519.35,MSE_Only,mean,0.01,23516.771
2025-03-29,23518.67066666667,23519.35,MSE_Only,mean,0.01,23516.4
2025-03-30,23599.68233333333,23519.35,Accuracy_Heavy,mean,0.01,23720.514
2025-03-31,23543.797666666665,23165.699,MSE_Only,mean,0.01,23494.889
2025-04-01,23172.764,23332.35,Accuracy_Heavy,median,0.01,23172.764
2025-04-02,23335.039,23250.1,MSE_Only,mean,0.01,23338.24
2025-04-03,23256.345666666664,22904.449,MSE_Only,mean,0.01,23261.984
2025-04-04,22892.24066666667,22904.449,MSE_Only,mean,0.01,22911.314
2025-04-05,22904.87433333333,22904.449,MSE_Only,mean,0.01,22905.621
2025-04-06,22867.445666666667,22161.6,MSE_Only,mean,0.01,22815.979
2025-04-07,22182.24266666667,22535.85,MSE_Only,mean,0.01,22162.811
2025-04-08,22541.62483333333,22399.15,MSE_Only,mean,0.02,22579.281
2025-04-09,22265.175666666666,22399.15,MSE_Only,mean,0.02,22376.635
2025-04-10,22376.416666666668,22828.551,MSE_Only,mean,0.02,22505.305
2025-04-11,22847.287,22828.551,MSE_Only,median,0.02,22889.113
2025-04-12,22797.956,22828.551,MSE_Only,median,0.02,22796.465
2025-04-13,22927.944,22828.551,MSE_Only,median,0.02,22977.531
2025-04-14,22890.4075,23328.551,MSE_Only,median,0.02,22979.434
2025-04-15,23302.343999999997,23437.199,MSE_Only,median,0.02,23269.85
2025-04-16,23429.8705,23851.65,MSE_Only,mean,0.02,23419.211
2025-04-17,23764.040833333333,23851.65,MSE_Only,mean,0.02,23663.396
2025-04-18,23865.432166666666,23851.65,MSE_Only,mean,0.02,23879.828
2025-04-19,23866.567666666666,23851.65,MSE_Only,mean,0.02,23878.059
2025-04-20,23854.543999999998,24125.551,MSE_Only,mean,0.02,23855.82
2025-04-21,23997.532166666668,24167.25,MSE_Only,mean,0.02,23860.898
