signal_threshold,rsi_overbought,rsi_oversold,accuracy,edge_pct,correct,total_tested,n_bullish,n_bearish,n_neutral,n_signals,signal_rate
0.2,80,35,0.3926940639269406,-10.730593607305938,86,219,219,0,111,219,0.6636363636363637
0.2,80,20,0.3926940639269406,-10.730593607305938,86,219,219,0,111,219,0.6636363636363637
0.2,80,30,0.3926940639269406,-10.730593607305938,86,219,219,0,111,219,0.6636363636363637
0.2,80,25,0.3926940639269406,-10.730593607305938,86,219,219,0,111,219,0.6636363636363637
0.4,65,35,0.391304347826087,-10.869565217391303,54,138,138,0,192,138,0.41818181818181815
0.4,65,30,0.391304347826087,-10.869565217391303,54,138,138,0,192,138,0.41818181818181815
0.4,65,25,0.391304347826087,-10.869565217391303,54,138,138,0,192,138,0.41818181818181815
0.4,65,20,0.391304347826087,-10.869565217391303,54,138,138,0,192,138,0.41818181818181815
0.2,65,20,0.39080459770114945,-10.919540229885055,68,174,174,0,156,174,0.5272727272727272
0.2,65,25,0.39080459770114945,-10.919540229885055,68,174,174,0,156,174,0.5272727272727272
0.2,65,30,0.39080459770114945,-10.919540229885055,68,174,174,0,156,174,0.5272727272727272
0.2,65,35,0.39080459770114945,-10.919540229885055,68,174,174,0,156,174,0.5272727272727272
0.25,80,20,0.3904761904761905,-10.952380952380953,82,210,210,0,120,210,0.6363636363636364
0.25,80,35,0.3904761904761905,-10.952380952380953,82,210,210,0,120,210,0.6363636363636364
0.25,80,30,0.3904761904761905,-10.952380952380953,82,210,210,0,120,210,0.6363636363636364
0.25,80,25,0.3904761904761905,-10.952380952380953,82,210,210,0,120,210,0.6363636363636364
0.15,80,25,0.3888888888888889,-11.11111111111111,91,234,233,1,96,234,0.7090909090909091
0.15,80,35,0.3888888888888889,-11.11111111111111,91,234,233,1,96,234,0.7090909090909091
0.15,80,30,0.3888888888888889,-11.11111111111111,91,234,233,1,96,234,0.7090909090909091
0.15,80,20,0.3888888888888889,-11.11111111111111,91,234,233,1,96,234,0.7090909090909091
0.25,65,35,0.3869047619047619,-11.309523809523808,65,168,168,0,162,168,0.509090909090909
0.25,65,30,0.3869047619047619,-11.309523809523808,65,168,168,0,162,168,0.509090909090909
0.25,65,25,0.3869047619047619,-11.309523809523808,65,168,168,0,162,168,0.509090909090909
0.25,65,20,0.3869047619047619,-11.309523809523808,65,168,168,0,162,168,0.509090909090909
0.15,65,35,0.3858695652173913,-11.413043478260871,71,184,183,1,146,184,0.5575757575757576
0.15,65,30,0.3858695652173913,-11.413043478260871,71,184,183,1,146,184,0.5575757575757576
0.15,65,25,0.3858695652173913,-11.413043478260871,71,184,183,1,146,184,0.5575757575757576
0.15,65,20,0.3858695652173913,-11.413043478260871,71,184,183,1,146,184,0.5575757575757576
0.4,80,35,0.3855421686746988,-11.445783132530119,64,166,166,0,164,166,0.503030303030303
0.4,80,30,0.3855421686746988,-11.445783132530119,64,166,166,0,164,166,0.503030303030303
0.4,80,25,0.3855421686746988,-11.445783132530119,64,166,166,0,164,166,0.503030303030303
0.4,80,20,0.3855421686746988,-11.445783132530119,64,166,166,0,164,166,0.503030303030303
0.3,80,35,0.38341968911917096,-11.658031088082904,74,193,193,0,137,193,0.5848484848484848
0.3,80,20,0.38341968911917096,-11.658031088082904,74,193,193,0,137,193,0.5848484848484848
0.3,80,30,0.38341968911917096,-11.658031088082904,74,193,193,0,137,193,0.5848484848484848
0.3,80,25,0.38341968911917096,-11.658031088082904,74,193,193,0,137,193,0.5848484848484848
0.1,80,25,0.38306451612903225,-11.693548387096776,95,248,244,4,82,248,0.7515151515151515
0.1,80,20,0.38306451612903225,-11.693548387096776,95,248,244,4,82,248,0.7515151515151515
0.1,80,30,0.38306451612903225,-11.693548387096776,95,248,244,4,82,248,0.7515151515151515
0.35,65,25,0.3825503355704698,-11.74496644295302,57,149,149,0,181,149,0.45151515151515154
0.35,65,20,0.3825503355704698,-11.74496644295302,57,149,149,0,181,149,0.45151515151515154
0.35,65,35,0.3825503355704698,-11.74496644295302,57,149,149,0,181,149,0.45151515151515154
0.35,65,30,0.3825503355704698,-11.74496644295302,57,149,149,0,181,149,0.45151515151515154
0.15,75,35,0.38222222222222224,-11.777777777777775,86,225,224,1,105,225,0.6818181818181818
0.15,75,30,0.38222222222222224,-11.777777777777775,86,225,224,1,105,225,0.6818181818181818
0.15,75,25,0.38222222222222224,-11.777777777777775,86,225,224,1,105,225,0.6818181818181818
0.15,75,20,0.38222222222222224,-11.777777777777775,86,225,224,1,105,225,0.6818181818181818
0.2,75,30,0.38207547169811323,-11.792452830188676,81,212,212,0,118,212,0.6424242424242425
0.2,75,35,0.38207547169811323,-11.792452830188676,81,212,212,0,118,212,0.6424242424242425
0.2,75,25,0.38207547169811323,-11.792452830188676,81,212,212,0,118,212,0.6424242424242425
0.2,75,20,0.38207547169811323,-11.792452830188676,81,212,212,0,118,212,0.6424242424242425
0.35,80,25,0.3812154696132597,-11.878453038674031,69,181,181,0,149,181,0.5484848484848485
0.35,80,35,0.3812154696132597,-11.878453038674031,69,181,181,0,149,181,0.5484848484848485
0.35,80,20,0.3812154696132597,-11.878453038674031,69,181,181,0,149,181,0.5484848484848485
0.35,80,30,0.3812154696132597,-11.878453038674031,69,181,181,0,149,181,0.5484848484848485
0.1,65,25,0.38071065989847713,-11.928934010152286,75,197,193,4,133,197,0.5969696969696969
0.1,65,20,0.38071065989847713,-11.928934010152286,75,197,193,4,133,197,0.5969696969696969
0.1,65,30,0.38071065989847713,-11.928934010152286,75,197,193,4,133,197,0.5969696969696969
0.1,80,35,0.3805668016194332,-11.943319838056683,94,247,244,3,83,247,0.7484848484848485
0.1,75,20,0.37815126050420167,-12.184873949579833,90,238,234,4,92,238,0.7212121212121212
0.1,75,25,0.37815126050420167,-12.184873949579833,90,238,234,4,92,238,0.7212121212121212
0.1,75,30,0.37815126050420167,-12.184873949579833,90,238,234,4,92,238,0.7212121212121212
0.1,65,35,0.37755102040816324,-12.244897959183676,74,196,193,3,134,196,0.593939393939394
0.25,75,25,0.37745098039215685,-12.254901960784315,77,204,204,0,126,204,0.6181818181818182
0.25,75,30,0.37745098039215685,-12.254901960784315,77,204,204,0,126,204,0.6181818181818182
0.25,75,20,0.37745098039215685,-12.254901960784315,77,204,204,0,126,204,0.6181818181818182
0.25,75,35,0.37745098039215685,-12.254901960784315,77,204,204,0,126,204,0.6181818181818182
0.3,65,30,0.37735849056603776,-12.264150943396224,60,159,159,0,171,159,0.4818181818181818
0.3,65,25,0.37735849056603776,-12.264150943396224,60,159,159,0,171,159,0.4818181818181818
0.3,65,20,0.37735849056603776,-12.264150943396224,60,159,159,0,171,159,0.4818181818181818
0.3,65,35,0.37735849056603776,-12.264150943396224,60,159,159,0,171,159,0.4818181818181818
0.1,75,35,0.3755274261603376,-12.447257383966242,89,237,234,3,93,237,0.7181818181818181
0.2,70,25,0.37305699481865284,-12.694300518134716,72,193,193,0,137,193,0.5848484848484848
0.2,70,20,0.37305699481865284,-12.694300518134716,72,193,193,0,137,193,0.5848484848484848
0.2,70,35,0.37305699481865284,-12.694300518134716,72,193,193,0,137,193,0.5848484848484848
0.2,70,30,0.37305699481865284,-12.694300518134716,72,193,193,0,137,193,0.5848484848484848
0.15,70,20,0.37073170731707317,-12.926829268292684,76,205,204,1,125,205,0.6212121212121212
0.15,70,25,0.37073170731707317,-12.926829268292684,76,205,204,1,125,205,0.6212121212121212
0.15,70,30,0.37073170731707317,-12.926829268292684,76,205,204,1,125,205,0.6212121212121212
0.15,70,35,0.37073170731707317,-12.926829268292684,76,205,204,1,125,205,0.6212121212121212
0.3,75,20,0.37037037037037035,-12.962962962962965,70,189,189,0,141,189,0.5727272727272728
0.3,75,35,0.37037037037037035,-12.962962962962965,70,189,189,0,141,189,0.5727272727272728
0.3,75,30,0.37037037037037035,-12.962962962962965,70,189,189,0,141,189,0.5727272727272728
0.4,75,30,0.37037037037037035,-12.962962962962965,60,162,162,0,168,162,0.4909090909090909
0.4,75,20,0.37037037037037035,-12.962962962962965,60,162,162,0,168,162,0.4909090909090909
0.3,75,25,0.37037037037037035,-12.962962962962965,70,189,189,0,141,189,0.5727272727272728
0.4,75,35,0.37037037037037035,-12.962962962962965,60,162,162,0,168,162,0.4909090909090909
0.4,75,25,0.37037037037037035,-12.962962962962965,60,162,162,0,168,162,0.4909090909090909
0.35,75,30,0.3672316384180791,-13.27683615819209,65,177,177,0,153,177,0.5363636363636364
0.35,75,35,0.3672316384180791,-13.27683615819209,65,177,177,0,153,177,0.5363636363636364
0.35,75,25,0.3672316384180791,-13.27683615819209,65,177,177,0,153,177,0.5363636363636364
0.35,75,20,0.3672316384180791,-13.27683615819209,65,177,177,0,153,177,0.5363636363636364
0.1,70,20,0.3669724770642202,-13.30275229357798,80,218,214,4,112,218,0.6606060606060606
0.1,70,30,0.3669724770642202,-13.30275229357798,80,218,214,4,112,218,0.6606060606060606
0.1,70,25,0.3669724770642202,-13.30275229357798,80,218,214,4,112,218,0.6606060606060606
0.25,70,35,0.3655913978494624,-13.440860215053762,68,186,186,0,144,186,0.5636363636363636
0.25,70,20,0.3655913978494624,-13.440860215053762,68,186,186,0,144,186,0.5636363636363636
