date,prediction,actual,best_strat,best_agg,best_q,best_child_prediction
2025-03-02,866.241,901.75,MSE_Only,median,0.02,867.239
2025-03-03,871.0646666666667,901.75,Accuracy_Heavy,mean,0.01,870.128
2025-03-04,869.657,907.8,MSE_Only,mean,0.02,871.354
2025-03-05,900.055,908.3,MSE_Only,mean,0.01,889.768
2025-03-06,907.2980000000001,912.65,MSE_Only,mean,0.01,920.948
2025-03-07,895.413,909.9,MSE_Only,median,0.01,907.123
2025-03-08,897.378,903.0,MSE_Only,median,0.01,901.818
2025-03-09,901.7966666666666,903.0,MSE_Only,mean,0.01,896.182
2025-03-10,896.5843333333332,903.0,MSE_Only,mean,0.01,896.284
2025-03-11,908.706,905.95,MSE_Only,mean,0.01,908.139
2025-03-12,912.2146666666667,916.95,MSE_Only,mean,0.01,913.058
2025-03-13,916.9396666666667,910.0,MSE_Only,mean,0.01,920.731
2025-03-14,915.5026666666666,901.6,MSE_Only,mean,0.01,906.934
2025-03-15,909.788,897.85,Accuracy_Heavy,median,0.01,909.788
2025-03-16,908.238,897.85,Accuracy_Heavy,median,0.01,908.238
2025-03-17,919.25,897.85,Accuracy_Heavy,median,0.01,919.838
2025-03-18,915.186,897.85,Accuracy_Heavy,median,0.01,918.583
2025-03-19,926.038,897.55,Accuracy_Heavy,median,0.01,926.038
2025-03-20,927.376,894.65,Accuracy_Heavy,median,0.01,927.376
2025-03-21,921.551,869.65,Accuracy_Heavy,median,0.01,921.551
2025-03-22,912.1540000000001,809.6,MSE_Only,mean,0.01,919.114
2025-03-23,912.285,809.6,Accuracy_Heavy,median,0.01,900.433
2025-03-24,906.3513333333334,809.6,MSE_Only,mean,0.01,905.423
2025-03-25,917.251,812.0,MSE_Only,median,0.01,917.251
2025-03-26,917.004,804.1,MSE_Only,median,0.01,917.085
2025-03-27,903.0521428571429,826.25,MSE_Only,mean,0.02,904.763
2025-03-28,904.503,830.85,Accuracy_Heavy,median,0.01,894.954
2025-03-29,896.875,844.6,MSE_Only,median,0.01,884.131
2025-03-30,892.6526666666667,844.6,MSE_Only,mean,0.01,881.806
2025-03-31,895.4446666666666,844.6,MSE_Only,mean,0.01,886.805
2025-04-01,887.113,852.3,MSE_Only,median,0.01,882.611
2025-04-02,884.351,843.7,MSE_Only,median,0.01,883.662
2025-04-03,865.517,849.4,MSE_Only,median,0.01,865.517
2025-04-04,813.07,850.7,MSE_Only,median,0.01,813.07
2025-04-05,817.37,850.7,MSE_Only,median,0.01,817.37
2025-04-06,818.671,850.7,MSE_Only,median,0.01,818.671
2025-04-07,822.178,850.7,MSE_Only,median,0.01,822.178
2025-04-08,814.69,850.8,MSE_Only,median,0.01,816.924
2025-04-09,836.832,858.7,MSE_Only,median,0.01,839.644
2025-04-10,837.463,861.35,MSE_Only,median,0.01,837.463
2025-04-11,853.937,863.15,MSE_Only,median,0.01,853.937
2025-04-12,853.516,857.7,MSE_Only,median,0.01,853.915
2025-04-13,848.552,857.7,MSE_Only,median,0.01,852.259
2025-04-14,858.017,857.7,MSE_Only,median,0.01,858.017
2025-04-15,849.578,857.35,MSE_Only,median,0.01,849.578
2025-04-16,855.712,857.05,MSE_Only,median,0.01,855.712
2025-04-17,859.052,828.1,MSE_Only,median,0.01,861.602
2025-04-18,852.292,834.05,MSE_Only,median,0.01,855.71
2025-04-19,844.976,844.35,MSE_Only,median,0.01,844.976
2025-04-20,849.667,844.35,MSE_Only,median,0.01,849.667
2025-04-21,849.144,844.35,MSE_Only,median,0.01,849.144
2025-04-22,862.274,845.95,MSE_Only,median,0.01,862.274
2025-04-23,863.992,853.85,MSE_Only,median,0.01,863.997
2025-04-24,867.978,849.6,MSE_Only,median,0.01,867.978
2025-04-25,860.548,849.6,MSE_Only,median,0.01,860.548
2025-04-26,845.21,854.95,MSE_Only,median,0.01,861.525
2025-04-27,853.154,854.95,MSE_Only,median,0.01,866.421
2025-04-28,854.007,854.95,MSE_Only,median,0.01,858.776
2025-04-29,852.031,855.3,MSE_Only,median,0.01,852.031
2025-04-30,825.533,863.95,MSE_Only,median,0.01,825.533
2025-05-01,834.657,864.1,MSE_Only,median,0.01,840.28
2025-05-02,858.244,866.35,MSE_Only,median,0.01,858.244
2025-05-03,846.968,857.4,MSE_Only,median,0.01,846.968
2025-05-04,844.956,857.4,MSE_Only,median,0.01,844.813
2025-05-05,852.152,857.4,MSE_Only,median,0.01,839.879
2025-05-06,860.554,857.4,MSE_Only,median,0.01,859.249
2025-05-07,856.04,863.1,MSE_Only,median,0.01,856.04
2025-05-08,852.084,860.75,MSE_Only,median,0.01,852.084
2025-05-09,862.411,864.35,MSE_Only,median,0.01,862.411
2025-05-10,859.062,866.85,MSE_Only,median,0.01,862.356
2025-05-11,852.948,866.85,MSE_Only,median,0.01,850.285
2025-05-12,854.5473333333333,866.85,MSE_Only,mean,0.01,851.958
2025-05-13,862.169,866.35,MSE_Only,median,0.01,849.66
2025-05-14,865.263,864.0,MSE_Only,median,0.01,856.994
2025-05-15,857.167,862.65,MSE_Only,median,0.01,852.145
2025-05-16,854.141,862.25,MSE_Only,median,0.01,856.073
2025-05-17,856.414,860.95,MSE_Only,median,0.01,852.217
2025-05-18,854.314,860.95,MSE_Only,median,0.01,865.247
2025-05-19,847.998,860.95,MSE_Only,median,0.01,843.372
2025-05-20,859.845,873.8,MSE_Only,median,0.01,859.845
2025-05-21,856.73,876.3,MSE_Only,median,0.01,853.884
2025-05-22,858.358,878.4,MSE_Only,median,0.01,859.101
2025-05-23,870.553,885.2,MSE_Only,median,0.01,860.488
2025-05-24,864.24,882.0,MSE_Only,median,0.01,864.24
2025-05-25,867.553,882.0,MSE_Only,median,0.01,866.114
2025-05-26,864.036,882.0,MSE_Only,median,0.01,873.283
2025-05-27,864.257,888.6,MSE_Only,median,0.01,864.257
2025-05-28,868.654,887.25,MSE_Only,median,0.01,869.134
2025-05-29,874.04,877.8,MSE_Only,median,0.01,871.458
2025-05-30,868.3606666666668,881.95,MSE_Only,mean,0.01,867.354
2025-05-31,876.67,882.1,MSE_Only,median,0.01,876.915
2025-06-01,871.481,882.1,MSE_Only,median,0.01,871.156
2025-06-02,885.3093333333333,882.1,MSE_Only,mean,0.01,878.998
2025-06-03,882.8423333333334,885.45,MSE_Only,mean,0.01,880.72
2025-06-04,887.6466666666666,887.75,MSE_Only,mean,0.01,884.217
2025-06-05,891.8596666666667,888.1,MSE_Only,mean,0.01,892.971
2025-06-06,883.0859999999999,885.95,MSE_Only,mean,0.01,884.349
2025-06-07,887.0590000000001,888.35,MSE_Only,mean,0.01,885.169
2025-06-08,883.5769999999999,888.35,MSE_Only,mean,0.01,882.276
2025-06-09,893.1592857142857,888.35,MSE_Only,mean,0.02,895.85
2025-06-10,891.682,890.25,MSE_Only,median,0.02,891.682
2025-06-11,878.963,884.65,MSE_Only,mean,0.02,878.952
2025-06-12,883.0350000000001,888.7,MSE_Only,mean,0.02,885.068
2025-06-13,883.8462857142858,898.9,MSE_Only,mean,0.02,884.786
