signal_threshold,rsi_overbought,rsi_oversold,accuracy,edge_pct,correct,total_tested,n_bullish,n_bearish,n_neutral,n_signals,signal_rate
0.25,65,20,0.4407894736842105,-5.921052631578949,67,152,143,10,177,153,0.4636363636363636
0.25,65,25,0.4407894736842105,-5.921052631578949,67,152,143,10,177,153,0.4636363636363636
0.25,65,30,0.4407894736842105,-5.921052631578949,67,152,143,10,177,153,0.4636363636363636
0.25,65,35,0.4407894736842105,-5.921052631578949,67,152,143,10,177,153,0.4636363636363636
0.15,65,25,0.43352601156069365,-6.6473988439306355,75,173,157,17,156,174,0.5272727272727272
0.15,65,20,0.43352601156069365,-6.6473988439306355,75,173,157,17,156,174,0.5272727272727272
0.15,65,35,0.43352601156069365,-6.6473988439306355,75,173,157,17,156,174,0.5272727272727272
0.15,65,30,0.43352601156069365,-6.6473988439306355,75,173,157,17,156,174,0.5272727272727272
0.2,65,25,0.4329268292682927,-6.707317073170732,71,164,151,14,165,165,0.5
0.2,65,20,0.4329268292682927,-6.707317073170732,71,164,151,14,165,165,0.5
0.2,65,35,0.4329268292682927,-6.707317073170732,71,164,151,14,165,165,0.5
0.2,65,30,0.4329268292682927,-6.707317073170732,71,164,151,14,165,165,0.5
0.1,65,20,0.43258426966292135,-6.741573033707865,77,178,161,18,151,179,0.5424242424242425
0.3,65,20,0.4295774647887324,-7.042253521126762,61,142,136,7,187,143,0.43333333333333335
0.3,65,30,0.4295774647887324,-7.042253521126762,61,142,136,7,187,143,0.43333333333333335
0.3,65,35,0.4295774647887324,-7.042253521126762,61,142,136,7,187,143,0.43333333333333335
0.3,65,25,0.4295774647887324,-7.042253521126762,61,142,136,7,187,143,0.43333333333333335
0.1,65,25,0.4293785310734463,-7.0621468926553685,76,177,161,17,152,178,0.5393939393939394
0.1,65,30,0.4293785310734463,-7.0621468926553685,76,177,161,17,152,178,0.5393939393939394
0.1,65,35,0.4293785310734463,-7.0621468926553685,76,177,161,17,152,178,0.5393939393939394
0.35,65,25,0.4263565891472868,-7.36434108527132,55,129,124,6,200,130,0.3939393939393939
0.35,65,20,0.4263565891472868,-7.36434108527132,55,129,124,6,200,130,0.3939393939393939
0.35,65,35,0.4263565891472868,-7.36434108527132,55,129,124,6,200,130,0.3939393939393939
0.35,65,30,0.4263565891472868,-7.36434108527132,55,129,124,6,200,130,0.3939393939393939
0.4,65,20,0.4180327868852459,-8.196721311475407,51,122,120,3,207,123,0.37272727272727274
