date,prediction,actual,best_strat,best_agg,best_q,best_child_prediction
2025-03-02,2133.301,1964.3,Balanced,median,0.01,2102.367
2025-03-03,2066.8285,1964.3,Balanced,median,0.01,2055.473
2025-03-04,2046.0674999999999,1971.9,Balanced,median,0.01,2022.109
2025-03-05,2082.3595,1983.6,Balanced,median,0.01,2047.803
2025-03-06,2042.257,1969.8,Balanced,median,0.01,2007.708
2025-03-07,2057.9764999999998,1982.0,Balanced,median,0.01,2024.139
2025-03-08,2066.8235,2026.8,Balanced,median,0.01,2051.458
2025-03-09,2076.625,2026.8,Balanced,median,0.01,2071.204
2025-03-10,2036.2425,2026.8,Balanced,median,0.01,2001.467
2025-03-11,2042.4144999999999,2010.9,Balanced,median,0.01,2018.01
2025-03-12,2043.2875,1988.9,MSE_Only,median,0.01,1988.607
2025-03-13,2011.8805,1995.3,MSE_Only,median,0.01,1982.143
2025-03-14,2056.288,2033.3,MSE_Only,median,0.01,2068.459
2025-03-15,2055.45,2028.8,MSE_Only,median,0.01,2034.042
2025-03-16,2056.3565,2028.8,MSE_Only,median,0.01,2056.619
2025-03-17,2101.06,2028.8,MSE_Only,median,0.01,2093.573
2025-03-18,2083.688,2100.3,MSE_Only,median,0.01,2089.48
2025-03-19,2117.221,2108.3,MSE_Only,median,0.01,2116.276
2025-03-20,2075.763,2089.2,MSE_Only,median,0.01,2062.316
2025-03-21,2106.0035,2101.4,MSE_Only,median,0.01,2093.948
2025-03-22,2090.501,2119.4,MSE_Only,median,0.01,2054.872
2025-03-23,2077.4945,2119.4,MSE_Only,median,0.01,2073.174
2025-03-24,2143.5975,2119.4,MSE_Only,median,0.01,2140.739
2025-03-25,2135.337,2109.5,MSE_Only,median,0.01,2108.96
2025-03-26,2112.1549999999997,2110.8,MSE_Only,median,0.01,2102.904
2025-03-27,2107.4245,2051.5,MSE_Only,median,0.01,2110.405
2025-03-28,2063.432,2050.2,MSE_Only,median,0.01,2055.053
2025-03-29,2078.122,2042.9,MSE_Only,median,0.01,2083.479
2025-03-30,2057.0605,2042.9,MSE_Only,median,0.01,2058.388
2025-03-31,2045.4395,2042.9,MSE_Only,median,0.01,2039.749
2025-04-01,2051.6425,2042.9,MSE_Only,median,0.01,2041.61
2025-04-02,2089.998,2093.7,MSE_Only,median,0.01,2093.241
2025-04-03,1948.9975,2072.3,MSE_Only,median,0.01,1973.628
2025-04-04,1876.6419999999998,2078.0,MSE_Only,median,0.01,1895.1
2025-04-05,1881.1055000000001,2068.3,MSE_Only,median,0.01,1893.183
2025-04-06,1878.7069999999999,2068.3,MSE_Only,median,0.01,1889.229
2025-04-07,1868.6505,2068.3,MSE_Only,median,0.01,1878.263
2025-04-08,1794.7595000000001,2073.3,MSE_Only,median,0.01,1811.184
2025-04-09,1965.8200000000002,2106.1,MSE_Only,median,0.01,1987.289
2025-04-10,1883.1799999999998,2100.3,MSE_Only,median,0.01,1906.764
2025-04-11,1904.501,2099.4,MSE_Only,median,0.01,1932.835
2025-04-12,1898.2585,2133.5,MSE_Only,median,0.01,1880.565
2025-04-13,1914.5904999999998,2133.5,MSE_Only,median,0.01,1894.485
2025-04-14,1948.6255,2133.5,MSE_Only,median,0.01,1938.489
2025-04-15,1954.2715,2147.4,MSE_Only,median,0.01,1951.766
2025-04-16,1914.839,2159.4,MSE_Only,median,0.01,1932.586
2025-04-17,1932.114,2150.4,MSE_Only,median,0.01,1937.516
2025-04-18,1948.566,2141.2,MSE_Only,median,0.01,1951.719
2025-04-19,1952.769,2118.3,MSE_Only,median,0.01,1948.077
2025-04-20,1948.9360000000001,2118.3,MSE_Only,median,0.01,1944.833
2025-04-21,1929.1145,2118.3,MSE_Only,median,0.01,1917.15
2025-04-22,1990.7127500000001,2142.0,MSE_Only,mean,0.01,1952.516
2025-04-23,2012.48,2118.9,MSE_Only,mean,0.01,2042.066
2025-04-24,2045.6062499999998,2129.3,MSE_Only,mean,0.01,2063.112
2025-04-25,2047.364,2129.3,MSE_Only,median,0.01,2063.866
2025-04-26,2030.79,2124.9,MSE_Only,median,0.01,1983.148
2025-04-27,2008.161,2124.9,MSE_Only,median,0.01,2063.588
2025-04-28,2041.971,2124.9,MSE_Only,median,0.01,2054.306
2025-04-29,2066.738,2149.5,MSE_Only,median,0.01,2017.424
2025-04-30,2038.0679999999998,2177.9,MSE_Only,median,0.01,2049.729
2025-05-01,2034.6480000000001,2153.3,MSE_Only,median,0.01,2048.507
2025-05-02,2102.2475,2187.6,MSE_Only,median,0.01,2127.698
2025-05-03,2096.83475,2188.8,MSE_Only,mean,0.01,2125.706
2025-05-04,2122.241,2188.8,MSE_Only,median,0.01,2126.18
2025-05-05,2092.3455,2188.8,MSE_Only,median,0.01,2115.71
2025-05-06,2072.032,2191.7,MSE_Only,median,0.01,2082.384
2025-05-07,2051.202,2213.4,MSE_Only,median,0.01,2078.441
2025-05-08,2111.648,2244.3,MSE_Only,median,0.01,2142.72
2025-05-09,2114.1135,2262.7,MSE_Only,median,0.01,2128.337
2025-05-10,2119.3265,2262.7,MSE_Only,median,0.01,2131.705
2025-05-11,2086.943,2262.7,MSE_Only,median,0.01,2110.934
2025-05-12,2156.163,2262.7,MSE_Only,median,0.01,2185.128
2025-05-13,2180.0200000000004,2229.1,MSE_Only,median,0.01,2182.338
2025-05-14,2145.682,2245.1,MSE_Only,median,0.01,2156.192
2025-05-15,2159.733,2268.4,MSE_Only,median,0.01,2173.774
2025-05-16,2182.4975,2280.0,MSE_Only,median,0.01,2187.953
2025-05-17,2171.7470000000003,2247.6,MSE_Only,median,0.01,2170.926
2025-05-18,2179.322,2247.6,MSE_Only,median,0.01,2179.092
2025-05-19,2154.4880000000003,2247.6,MSE_Only,median,0.01,2162.018
2025-05-20,2180.3975,2262.5,MSE_Only,median,0.01,2184.594
2025-05-21,2131.4579999999996,2218.3,MSE_Only,median,0.01,2146.786
2025-05-22,2098.5874999999996,2239.6,MSE_Only,median,0.01,2094.359
2025-05-23,2097.456,2267.5,MSE_Only,median,0.01,2158.437
2025-05-24,2083.192,2251.0,MSE_Only,median,0.01,2141.674
2025-05-25,2097.043,2251.0,MSE_Only,median,0.01,2160.464
2025-05-26,2112.591,2251.0,MSE_Only,median,0.01,2119.634
2025-05-27,2140.273,2242.3,MSE_Only,median,0.01,2181.945
2025-05-28,2109.4939999999997,2260.7,MSE_Only,median,0.01,2120.762
2025-05-29,2091.3745,2294.8,MSE_Only,median,0.01,2090.173
2025-05-30,2077.453,2263.6,MSE_Only,median,0.01,2093.986
2025-05-31,2089.8085,2271.3,MSE_Only,mean,0.01,2133.288
2025-06-01,2099.4404999999997,2271.3,MSE_Only,mean,0.01,2127.808
2025-06-02,2096.6155,2271.3,MSE_Only,mean,0.01,2120.512
2025-06-03,2156.443,2271.3,MSE_Only,median,0.01,2196.336
2025-06-04,2146.1335,2253.6,MSE_Only,median,0.01,2180.683
2025-06-05,2143.4305,2241.5,MSE_Only,median,0.01,2146.446
2025-06-06,2156.0105,2220.2,MSE_Only,median,0.01,2185.857
2025-06-07,2179.4629999999997,2173.1,MSE_Only,median,0.01,2194.292
2025-06-08,2204.2045,2173.1,MSE_Only,median,0.01,2190.744
2025-06-09,2195.307,2173.1,MSE_Only,median,0.01,2193.644
2025-06-10,2196.0935,2220.1,MSE_Only,median,0.01,2189.375
2025-06-11,2200.342,2232.1,MSE_Only,median,0.01,2182.708
2025-06-12,2174.8505,2229.1,MSE_Only,median,0.01,2149.735
2025-06-13,2157.971,2221.8,MSE_Only,median,0.01,2158.987
2025-06-14,2150.1710000000003,2226.1,MSE_Only,median,0.01,2172.738
2025-06-15,2112.953,2226.1,MSE_Only,median,0.01,2106.445
2025-06-16,2176.417,2226.1,MSE_Only,median,0.01,2155.975
2025-06-17,2164.4075,2224.8,MSE_Only,mean,0.01,2152.269
2025-06-18,2149.35975,2291.2,MSE_Only,mean,0.01,2120.829
2025-06-19,2165.152,2336.1,MSE_Only,mean,0.01,2157.282
2025-06-20,2162.174,2305.2,MSE_Only,mean,0.01,2150.214
2025-06-21,2171.0950000000003,2292.7,MSE_Only,mean,0.01,2188.23
2025-06-22,2162.7185,2292.7,MSE_Only,mean,0.01,2155.319
2025-06-23,2178.6459999999997,2292.7,MSE_Only,mean,0.01,2124.568
2025-06-24,2204.3725000000004,2301.6,MSE_Only,median,0.01,2177.748
2025-06-25,2180.2285,2283.6,MSE_Only,median,0.01,2159.101
2025-06-26,2233.0645000000004,2274.8,MSE_Only,median,0.01,2243.789
2025-06-27,2218.392,2280.6,MSE_Only,median,0.01,2249.052
2025-06-28,2223.2129999999997,2368.9,MSE_Only,median,0.01,2266.155
2025-06-29,2220.2892500000003,2368.9,MSE_Only,mean,0.01,2255.884
2025-06-30,2215.4545,2368.9,MSE_Only,mean,0.01,2242.194
2025-07-01,2249.4852499999997,2344.1,MSE_Only,mean,0.01,2230.814
2025-07-02,2311.2250000000004,2364.1,MSE_Only,median,0.01,2326.661
2025-07-03,2300.7619999999997,2379.7,MSE_Only,mean,0.01,2324.537
2025-07-04,2310.258,2382.2,MSE_Only,median,0.01,2303.113
2025-07-05,2295.0765,2369.8,MSE_Only,median,0.01,2264.443
2025-07-06,2320.00675,2369.8,MSE_Only,mean,0.01,2319.868
2025-07-07,2293.5455,2369.8,MSE_Only,median,0.01,2294.231
2025-07-08,2299.264,2369.8,MSE_Only,median,0.01,2262.96
2025-07-09,2321.87525,2369.8,MSE_Only,mean,0.01,2302.967
2025-07-10,2347.6445000000003,2353.7,MSE_Only,mean,0.01,2307.598
2025-07-11,2319.60875,2383.3,MSE_Only,mean,0.01,2284.267
2025-07-12,2324.66725,2393.5,MSE_Only,mean,0.01,2289.839
2025-07-13,2306.5164999999997,2393.5,MSE_Only,mean,0.01,2251.196
2025-07-14,2319.353,2393.5,MSE_Only,mean,0.01,2367.853
2025-07-15,2243.63325,2398.4,MSE_Only,mean,0.01,2297.104
2025-07-16,2269.4339999999997,2384.6,MSE_Only,mean,0.01,2334.937
2025-07-17,2300.561,2379.7,MSE_Only,mean,0.01,2330.55
2025-07-18,2289.54725,2423.1,MSE_Only,mean,0.01,2315.999
2025-07-19,2318.7960000000003,2397.9,Accuracy_Heavy,median,0.01,2327.521
2025-07-20,2296.5060000000003,2397.9,Accuracy_Heavy,median,0.01,2289.77
2025-07-21,2282.5065,2397.9,Accuracy_Heavy,median,0.01,2265.431
2025-07-22,2319.004,2425.6,Accuracy_Heavy,median,0.01,2310.692
2025-07-23,2353.495,2420.3,MSE_Only,median,0.01,2354.882
2025-07-24,2345.111,2427.0,MSE_Only,median,0.01,2332.005
2025-07-25,2344.6365,2487.5,MSE_Only,median,0.01,2336.11
2025-07-26,2335.5335,2466.3,Accuracy_Heavy,median,0.01,2321.805
2025-07-27,2335.448,2466.3,Accuracy_Heavy,median,0.01,2340.662
2025-07-28,2336.087,2466.3,Accuracy_Heavy,median,0.01,2341.534
2025-07-29,2305.864,2481.9,MSE_Only,mean,0.01,2292.436
2025-07-30,2329.89775,2477.0,MSE_Only,mean,0.01,2292.861
2025-07-31,2303.7245,2454.1,MSE_Only,mean,0.01,2281.098
2025-08-01,2249.2775,2430.0,MSE_Only,mean,0.01,2277.936
2025-08-02,2245.80975,2450.4,MSE_Only,mean,0.01,2273.374
2025-08-03,2269.7470000000003,2450.4,MSE_Only,median,0.01,2301.921
2025-08-04,2330.201,2450.4,MSE_Only,median,0.01,2373.081
2025-08-05,2325.875,2450.8,MSE_Only,median,0.01,2362.28
2025-08-06,2330.9125000000004,2455.5,MSE_Only,median,0.01,2353.148
2025-08-07,2299.089,2460.1,MSE_Only,median,0.01,2345.118
2025-08-08,2312.4835000000003,2474.1,MSE_Only,median,0.01,2327.105
2025-08-09,2326.858,2492.1,MSE_Only,median,0.01,2334.271
2025-08-10,2313.2015,2492.1,MSE_Only,median,0.01,2312.075
2025-08-11,2328.21025,2492.1,MSE_Only,mean,0.01,2309.26
2025-08-12,2393.255,2501.0,MSE_Only,mean,0.01,2436.275
2025-08-13,2460.9945,2473.5,MSE_Only,median,0.01,2470.103
2025-08-14,2403.2325,2499.5,MSE_Only,median,0.01,2459.268
2025-08-15,2402.2120000000004,2483.2,MSE_Only,median,0.01,2459.96
2025-08-16,2414.3959999999997,2408.5,MSE_Only,mean,0.01,2461.846
2025-08-17,2379.6580000000004,2408.5,MSE_Only,median,0.01,2477.662
2025-08-18,2396.219,2408.5,MSE_Only,median,0.01,2489.198
2025-08-19,2394.4865,2474.8,MSE_Only,mean,0.01,2376.817
