signal_threshold,rsi_overbought,rsi_oversold,accuracy,edge_pct,correct,total_tested,n_bullish,n_bearish,n_neutral,n_signals,signal_rate
0.4,65,25,0.44274809160305345,-5.725190839694655,58,131,131,0,199,131,0.396969696969697
0.4,65,35,0.44274809160305345,-5.725190839694655,58,131,131,0,199,131,0.396969696969697
0.4,65,20,0.44274809160305345,-5.725190839694655,58,131,131,0,199,131,0.396969696969697
0.4,65,30,0.44274809160305345,-5.725190839694655,58,131,131,0,199,131,0.396969696969697
0.35,65,25,0.42857142857142855,-7.142857142857145,63,147,147,0,183,147,0.44545454545454544
0.35,65,20,0.42857142857142855,-7.142857142857145,63,147,147,0,183,147,0.44545454545454544
0.35,65,30,0.42857142857142855,-7.142857142857145,63,147,147,0,183,147,0.44545454545454544
0.35,65,35,0.42857142857142855,-7.142857142857145,63,147,147,0,183,147,0.44545454545454544
0.3,65,25,0.425,-7.500000000000001,68,160,161,0,169,161,0.48787878787878786
0.3,65,35,0.425,-7.500000000000001,68,160,161,0,169,161,0.48787878787878786
0.3,65,30,0.425,-7.500000000000001,68,160,161,0,169,161,0.48787878787878786
0.3,65,20,0.425,-7.500000000000001,68,160,161,0,169,161,0.48787878787878786
0.4,75,30,0.42,-8.000000000000002,84,200,200,0,130,200,0.6060606060606061
0.4,75,35,0.42,-8.000000000000002,84,200,200,0,130,200,0.6060606060606061
0.4,75,20,0.42,-8.000000000000002,84,200,200,0,130,200,0.6060606060606061
0.4,75,25,0.42,-8.000000000000002,84,200,200,0,130,200,0.6060606060606061
0.4,80,20,0.41284403669724773,-8.715596330275227,90,218,218,0,112,218,0.6606060606060606
0.4,80,25,0.41284403669724773,-8.715596330275227,90,218,218,0,112,218,0.6606060606060606
0.4,80,30,0.41284403669724773,-8.715596330275227,90,218,218,0,112,218,0.6606060606060606
0.4,80,35,0.41284403669724773,-8.715596330275227,90,218,218,0,112,218,0.6606060606060606
0.35,75,35,0.4099099099099099,-9.009009009009011,91,222,222,0,108,222,0.6727272727272727
0.35,75,30,0.4099099099099099,-9.009009009009011,91,222,222,0,108,222,0.6727272727272727
0.35,75,25,0.4099099099099099,-9.009009009009011,91,222,222,0,108,222,0.6727272727272727
0.35,75,20,0.4099099099099099,-9.009009009009011,91,222,222,0,108,222,0.6727272727272727
0.4,70,20,0.40963855421686746,-9.036144578313255,68,166,166,0,164,166,0.503030303030303
0.4,70,35,0.40963855421686746,-9.036144578313255,68,166,166,0,164,166,0.503030303030303
0.4,70,25,0.40963855421686746,-9.036144578313255,68,166,166,0,164,166,0.503030303030303
0.4,70,30,0.40963855421686746,-9.036144578313255,68,166,166,0,164,166,0.503030303030303
0.25,65,30,0.40828402366863903,-9.171597633136097,69,169,170,0,160,170,0.5151515151515151
0.25,65,35,0.40828402366863903,-9.171597633136097,69,169,170,0,160,170,0.5151515151515151
0.25,65,25,0.40828402366863903,-9.171597633136097,69,169,170,0,160,170,0.5151515151515151
0.25,65,20,0.40828402366863903,-9.171597633136097,69,169,170,0,160,170,0.5151515151515151
0.15,65,20,0.4052631578947368,-9.473684210526317,77,190,189,2,139,191,0.5787878787878787
0.35,80,20,0.4024896265560166,-9.75103734439834,97,241,241,0,89,241,0.7303030303030303
0.35,80,25,0.4024896265560166,-9.75103734439834,97,241,241,0,89,241,0.7303030303030303
