date,prediction,actual,best_strat,best_agg,best_q,best_child_prediction
2025-03-02,5973.9465,5620.75,MSE_Only,mean,0.01,5980.921
2025-03-03,5877.737,5577.0,Accuracy_Heavy,mean,0.01,5875.296
2025-03-04,5795.678,5604.75,MSE_Only,median,0.02,5792.522
2025-03-05,5885.657999999999,5527.5,MSE_Only,mean,0.01,5859.713
2025-03-06,5763.205,5640.0,MSE_Only,median,0.01,5764.502
2025-03-07,5777.46725,5640.0,MSE_Only,mean,0.01,5795.533
2025-03-08,5762.016,5640.0,MSE_Only,mean,0.01,5750.726
2025-03-09,5744.59575,5732.25,MSE_Only,mean,0.01,5750.082
2025-03-10,5603.731749999999,5669.25,MSE_Only,mean,0.01,5580.525
2025-03-11,5573.62625,5729.75,MSE_Only,mean,0.01,5595.746
2025-03-12,5633.6975,5712.75,MSE_Only,mean,0.01,5605.888
2025-03-13,5527.95925,5718.25,MSE_Only,mean,0.01,5483.229
2025-03-14,5664.78125,5718.25,MSE_Only,mean,0.01,5709.854
2025-03-15,5644.68475,5718.25,MSE_Only,mean,0.01,5682.791
2025-03-16,5646.076000000001,5815.5,MSE_Only,mean,0.01,5693.3
2025-03-17,5775.303,5826.5,MSE_Only,median,0.01,5802.282
2025-03-18,5701.735,5759.5,MSE_Only,median,0.01,5726.663
2025-03-19,5736.51175,5739.25,MSE_Only,mean,0.01,5729.912
2025-03-20,5723.025,5623.0,MSE_Only,mean,0.01,5690.321
2025-03-21,5719.10475,5623.0,MSE_Only,mean,0.01,5696.345
2025-03-22,5713.334500000001,5623.0,MSE_Only,median,0.01,5698.08
2025-03-23,5715.308,5653.25,MSE_Only,median,0.01,5704.808
2025-03-24,5809.1355,5674.5,MSE_Only,median,0.01,5808.364
2025-03-25,5788.0075,5712.25,MSE_Only,median,0.01,5819.591
2025-03-26,5737.172500000001,5432.75,MSE_Only,mean,0.01,5747.415
2025-03-27,5690.066000000001,5110.25,MSE_Only,mean,0.01,5740.618
2025-03-28,5596.1179999999995,5110.25,MSE_Only,mean,0.01,5545.072
2025-03-29,5620.803,5110.25,MSE_Only,mean,0.01,5558.978
2025-03-30,5573.9484999999995,5097.25,MSE_Only,mean,0.01,5594.106
2025-03-31,5594.72775,5020.25,MSE_Only,mean,0.01,5592.335
2025-04-01,5612.46725,5491.0,MSE_Only,mean,0.01,5610.729
2025-04-02,5676.959999999999,5302.0,MSE_Only,mean,0.01,5712.76
2025-04-03,5421.706999999999,5391.25,MSE_Only,mean,0.01,5420.841
2025-04-04,5115.35475,5391.25,MSE_Only,mean,0.01,5101.904
2025-04-05,5144.188,5391.25,MSE_Only,mean,0.01,5134.187
2025-04-06,5134.34925,5440.75,MSE_Only,mean,0.01,5065.985
2025-04-07,5127.85225,5428.25,MSE_Only,mean,0.01,5185.27
2025-04-08,5059.915999999999,5305.75,MSE_Only,mean,0.01,5130.565
2025-04-09,5539.607,5312.75,MSE_Only,mean,0.01,5598.373
2025-04-10,5341.62775,5312.75,MSE_Only,mean,0.01,5421.274
2025-04-11,5427.7795,5312.75,MSE_Only,mean,0.01,5457.14
2025-04-12,5419.8285,5312.75,MSE_Only,mean,0.01,5441.858
2025-04-13,5422.01175,5184.75,MSE_Only,mean,0.01,5443.827
2025-04-14,5459.19725,5314.75,MSE_Only,mean,0.01,5488.709
