signal_threshold,rsi_overbought,rsi_oversold,accuracy,edge_pct,correct,total_tested,n_bullish,n_bearish,n_neutral,n_signals,signal_rate
0.15,70,20,0.40869565217391307,-9.130434782608694,94,230,231,0,99,231,0.7
0.25,70,35,0.40869565217391307,-9.130434782608694,94,230,231,0,99,231,0.7
0.2,70,35,0.40869565217391307,-9.130434782608694,94,230,231,0,99,231,0.7
0.2,70,30,0.40869565217391307,-9.130434782608694,94,230,231,0,99,231,0.7
0.2,70,25,0.40869565217391307,-9.130434782608694,94,230,231,0,99,231,0.7
0.2,70,20,0.40869565217391307,-9.130434782608694,94,230,231,0,99,231,0.7
0.35,70,25,0.40869565217391307,-9.130434782608694,94,230,231,0,99,231,0.7
0.3,70,20,0.40869565217391307,-9.130434782608694,94,230,231,0,99,231,0.7
0.35,70,20,0.40869565217391307,-9.130434782608694,94,230,231,0,99,231,0.7
0.25,70,20,0.40869565217391307,-9.130434782608694,94,230,231,0,99,231,0.7
0.15,70,35,0.40869565217391307,-9.130434782608694,94,230,231,0,99,231,0.7
0.15,70,30,0.40869565217391307,-9.130434782608694,94,230,231,0,99,231,0.7
0.15,70,25,0.40869565217391307,-9.130434782608694,94,230,231,0,99,231,0.7
0.35,70,30,0.40869565217391307,-9.130434782608694,94,230,231,0,99,231,0.7
0.25,70,25,0.40869565217391307,-9.130434782608694,94,230,231,0,99,231,0.7
0.25,70,30,0.40869565217391307,-9.130434782608694,94,230,231,0,99,231,0.7
0.35,70,35,0.40869565217391307,-9.130434782608694,94,230,231,0,99,231,0.7
0.4,70,25,0.40869565217391307,-9.130434782608694,94,230,231,0,99,231,0.7
0.4,70,30,0.40869565217391307,-9.130434782608694,94,230,231,0,99,231,0.7
0.4,70,35,0.40869565217391307,-9.130434782608694,94,230,231,0,99,231,0.7
0.3,70,35,0.40869565217391307,-9.130434782608694,94,230,231,0,99,231,0.7
0.3,70,30,0.40869565217391307,-9.130434782608694,94,230,231,0,99,231,0.7
0.3,70,25,0.40869565217391307,-9.130434782608694,94,230,231,0,99,231,0.7
0.1,70,20,0.40869565217391307,-9.130434782608694,94,230,231,0,99,231,0.7
0.1,70,25,0.40869565217391307,-9.130434782608694,94,230,231,0,99,231,0.7
