signal_threshold,rsi_overbought,rsi_oversold,accuracy,edge_pct,correct,total_tested,n_bullish,n_bearish,n_neutral,n_signals,signal_rate
0.4,80,35,0.5673076923076923,6.730769230769229,59,104,58,47,225,105,0.3181818181818182
0.35,80,35,0.5673076923076923,6.730769230769229,59,104,58,47,225,105,0.3181818181818182
0.35,65,35,0.5643564356435643,6.435643564356431,57,101,55,47,228,102,0.3090909090909091
0.4,65,35,0.5643564356435643,6.435643564356431,57,101,55,47,228,102,0.3090909090909091
0.35,75,35,0.5631067961165048,6.310679611650483,58,103,57,47,226,104,0.3151515151515151
0.4,70,35,0.5631067961165048,6.310679611650483,58,103,57,47,226,104,0.3151515151515151
0.35,70,35,0.5631067961165048,6.310679611650483,58,103,57,47,226,104,0.3151515151515151
0.4,75,35,0.5631067961165048,6.310679611650483,58,103,57,47,226,104,0.3151515151515151
0.35,80,25,0.5526315789473685,5.263157894736848,63,114,58,57,215,115,0.3484848484848485
0.4,80,25,0.5526315789473685,5.263157894736848,63,114,58,57,215,115,0.3484848484848485
0.4,80,20,0.5517241379310345,5.1724137931034475,64,116,58,59,213,117,0.35454545454545455
0.35,80,20,0.5517241379310345,5.1724137931034475,64,116,58,59,213,117,0.35454545454545455
0.35,65,25,0.5495495495495496,4.95495495495496,61,111,55,57,218,112,0.3393939393939394
0.4,65,25,0.5495495495495496,4.95495495495496,61,111,55,57,218,112,0.3393939393939394
0.4,65,20,0.5486725663716814,4.867256637168138,62,113,55,59,216,114,0.34545454545454546
0.35,75,25,0.5486725663716814,4.867256637168138,62,113,57,57,216,114,0.34545454545454546
0.35,65,20,0.5486725663716814,4.867256637168138,62,113,55,59,216,114,0.34545454545454546
0.35,70,25,0.5486725663716814,4.867256637168138,62,113,57,57,216,114,0.34545454545454546
0.4,75,25,0.5486725663716814,4.867256637168138,62,113,57,57,216,114,0.34545454545454546
0.4,70,25,0.5486725663716814,4.867256637168138,62,113,57,57,216,114,0.34545454545454546
0.35,70,20,0.5478260869565217,4.7826086956521685,63,115,57,59,214,116,0.3515151515151515
0.35,75,20,0.5478260869565217,4.7826086956521685,63,115,57,59,214,116,0.3515151515151515
0.4,75,20,0.5478260869565217,4.7826086956521685,63,115,57,59,214,116,0.3515151515151515
0.4,70,20,0.5478260869565217,4.7826086956521685,63,115,57,59,214,116,0.3515151515151515
0.4,80,30,0.5454545454545454,4.545454545454541,60,110,58,53,219,111,0.33636363636363636
0.35,80,30,0.5454545454545454,4.545454545454541,60,110,58,53,219,111,0.33636363636363636
0.4,65,30,0.5420560747663551,4.2056074766355085,58,107,55,53,222,108,0.32727272727272727
0.35,65,30,0.5420560747663551,4.2056074766355085,58,107,55,53,222,108,0.32727272727272727
0.4,70,30,0.5412844036697247,4.128440366972475,59,109,57,53,220,110,0.3333333333333333
0.35,75,30,0.5412844036697247,4.128440366972475,59,109,57,53,220,110,0.3333333333333333
0.35,70,30,0.5412844036697247,4.128440366972475,59,109,57,53,220,110,0.3333333333333333
0.4,75,30,0.5412844036697247,4.128440366972475,59,109,57,53,220,110,0.3333333333333333
0.3,65,25,0.537117903930131,3.7117903930131035,123,229,108,122,100,230,0.696969696969697
0.25,65,25,0.537117903930131,3.7117903930131035,123,229,108,122,100,230,0.696969696969697
0.2,65,25,0.537117903930131,3.7117903930131035,123,229,108,122,100,230,0.696969696969697
0.3,70,25,0.5367965367965368,3.6796536796536827,124,231,110,122,98,232,0.703030303030303
0.25,70,25,0.5367965367965368,3.6796536796536827,124,231,110,122,98,232,0.703030303030303
0.2,70,25,0.5367965367965368,3.6796536796536827,124,231,110,122,98,232,0.703030303030303
0.25,65,35,0.5358851674641149,3.5885167464114853,112,209,108,102,120,210,0.6363636363636364
0.3,65,35,0.5358851674641149,3.5885167464114853,112,209,108,102,120,210,0.6363636363636364
0.2,65,35,0.5358851674641149,3.5885167464114853,112,209,108,102,120,210,0.6363636363636364
0.25,65,20,0.5355648535564853,3.556485355648531,128,239,108,132,90,240,0.7272727272727273
0.3,65,20,0.5355648535564853,3.556485355648531,128,239,108,132,90,240,0.7272727272727273
0.2,65,20,0.5355648535564853,3.556485355648531,128,239,108,132,90,240,0.7272727272727273
0.3,70,35,0.5355450236966824,3.5545023696682443,113,211,110,102,118,212,0.6424242424242425
0.25,70,35,0.5355450236966824,3.5545023696682443,113,211,110,102,118,212,0.6424242424242425
0.2,70,35,0.5355450236966824,3.5545023696682443,113,211,110,102,118,212,0.6424242424242425
0.3,70,20,0.5352697095435685,3.526970954356845,129,241,110,132,88,242,0.7333333333333333
0.25,70,20,0.5352697095435685,3.526970954356845,129,241,110,132,88,242,0.7333333333333333
0.2,70,20,0.5352697095435685,3.526970954356845,129,241,110,132,88,242,0.7333333333333333
0.1,65,25,0.5347826086956522,3.4782608695652195,123,230,108,123,99,231,0.7
0.15,65,25,0.5347826086956522,3.4782608695652195,123,230,108,123,99,231,0.7
0.1,70,25,0.5344827586206896,3.4482758620689613,124,232,110,123,97,233,0.706060606060606
0.15,70,25,0.5344827586206896,3.4482758620689613,124,232,110,123,97,233,0.706060606060606
0.3,75,25,0.5341880341880342,3.4188034188034178,125,234,113,122,95,235,0.7121212121212122
