date,prediction,actual,best_strat,best_agg,best_q,best_child_prediction
2025-03-02,92179.7735,83665.141,MSE_Only,median,0.01,92167.828
2025-03-03,83915.43350000001,81081.43,MSE_Only,median,0.01,85109.406
2025-03-04,85694.7225,83995.469,MSE_Only,median,0.01,85862.906
2025-03-05,88719.72649999999,84355.922,MSE_Only,median,0.01,87427.039
2025-03-06,87744.0355,82572.367,MSE_Only,median,0.01,88723.102
2025-03-07,84009.391,84025.117,MSE_Only,median,0.01,82730.484
2025-03-08,84092.4105,82716.742,MSE_Only,median,0.01,85110.234
2025-03-09,79364.3945,86878.5,MSE_Only,median,0.01,79513.523
2025-03-10,78841.668,84178.312,MSE_Only,mean,0.01,78778.688
2025-03-11,83505.54816666667,84060.477,MSE_Only,mean,0.01,83472.266
2025-03-12,85058.43733333334,83837.391,MSE_Only,mean,0.01,83941.828
2025-03-13,82432.11600000001,86091.672,MSE_Only,mean,0.01,83315.297
2025-03-14,86144.36850000001,87520.477,MSE_Only,mean,0.01,86072.492
2025-03-15,86616.15999999999,87439.703,MSE_Only,mean,0.01,86310.953
2025-03-16,84494.91533333334,86923.953,MSE_Only,mean,0.01,83513.711
2025-03-17,85700.28766666667,87218.891,MSE_Only,mean,0.01,86380.148
2025-03-18,84075.811,84387.008,MSE_Only,mean,0.01,84608.523
2025-03-19,87259.98049999999,82625.648,MSE_Only,mean,0.01,87324.273
2025-03-20,84076.36733333334,82379.508,MSE_Only,mean,0.01,83764.836
2025-03-21,83963.26433333334,82539.523,MSE_Only,mean,0.01,84216.789
2025-03-22,83695.25799999999,85174.961,MSE_Only,mean,0.01,83510.766
2025-03-23,84156.51816666666,82490.578,MSE_Only,mean,0.01,83508.508
2025-03-24,86108.095,83158.797,MSE_Only,mean,0.01,85931.219
2025-03-25,84849.07316666665,83860.211,MSE_Only,mean,0.01,84426.68
2025-03-26,84772.49233333334,83503.367,MSE_Only,mean,0.01,84648.391
2025-03-27,84834.99450000002,78365.57,MSE_Only,mean,0.01,84955.609
2025-03-28,82059.72516666667,79143.062,MSE_Only,mean,0.01,82439.906
2025-03-29,81289.79149999999,76255.102,MSE_Only,mean,0.01,81974.734
2025-03-30,81417.53133333333,82587.031,MSE_Only,mean,0.01,80819.891
2025-03-31,82558.96233333333,79554.961,MSE_Only,mean,0.01,82742.719
2025-04-01,84689.28499999999,83386.0,MSE_Only,mean,0.01,85487.859
2025-04-02,83186.4985,85272.117,MSE_Only,mean,0.01,83254.273
2025-04-03,83900.344,83730.922,Accuracy_Heavy,median,0.01,83900.344
2025-04-04,84189.9805,84575.75,Accuracy_Heavy,median,0.01,83588.195
2025-04-05,84726.5585,83638.172,Accuracy_Heavy,median,0.01,85756.875
2025-04-06,80428.609,84029.398,Accuracy_Heavy,median,0.01,80428.609
2025-04-07,80401.5795,84943.422,MSE_Only,mean,0.01,79266.797
2025-04-08,77828.28933333333,84459.961,MSE_Only,mean,0.01,76986.836
2025-04-09,85112.41038461539,85061.539,MSE_Only,mean,0.02,84145.641
2025-04-10,82668.12015384615,85167.141,MSE_Only,mean,0.02,82758.508
2025-04-11,87355.05038461539,87515.57,MSE_Only,mean,0.02,86558.188
2025-04-12,89361.97546153844,93483.297,MSE_Only,mean,0.02,90277.953
2025-04-13,86735.6835,93729.227,MSE_Only,median,0.01,85408.242
2025-04-14,88772.2695,94022.477,MSE_Only,median,0.01,88622.195
2025-04-15,87325.9925,94711.242,MSE_Only,median,0.01,89274.016
2025-04-16,87051.5705,94663.656,MSE_Only,median,0.01,88315.688
2025-04-17,88484.51283333334,93777.438,MSE_Only,mean,0.01,88281.047
2025-04-18,88047.07033333334,95035.062,MSE_Only,mean,0.01,87086.297
2025-04-19,88813.026,94274.156,MSE_Only,mean,0.01,87066.359
2025-04-20,88085.586,94186.141,MSE_Only,median,0.01,86615.977
2025-04-21,89610.77350000001,96519.312,MSE_Only,median,0.01,88390.469
2025-04-22,94465.53899999999,96925.07,MSE_Only,median,0.01,95764.805
2025-04-23,94985.10683333332,95903.141,MSE_Only,mean,0.01,96516.789
2025-04-24,94698.10816666666,94394.094,MSE_Only,mean,0.01,95360.68
2025-04-25,95484.931,94767.953,MSE_Only,mean,0.01,93635.562
2025-04-26,96084.0365,96835.867,MSE_Only,mean,0.01,94573.852
2025-04-27,96075.5275,97052.273,MSE_Only,median,0.01,94416.344
2025-04-28,96805.98016666668,103259.0,MSE_Only,mean,0.01,97488.578
2025-04-29,96381.805,102982.297,MSE_Only,median,0.01,95084.703
2025-04-30,96525.96100000001,104814.078,MSE_Only,mean,0.01,97779.32
2025-05-01,98789.40116666666,104124.023,MSE_Only,mean,0.01,99090.883
2025-05-02,99429.0155,102802.438,MSE_Only,mean,0.01,100046.5
2025-05-03,98545.70433333334,104136.594,MSE_Only,mean,0.01,98794.531
2025-05-04,97672.54966666666,103543.758,MSE_Only,mean,0.01,97142.539
2025-05-05,99305.12616666667,103787.641,MSE_Only,mean,0.01,96846.062
2025-05-06,101286.33350000001,103499.602,MSE_Only,mean,0.01,102185.555
2025-05-07,102011.00666666665,103159.32,MSE_Only,mean,0.01,102373.352
2025-05-08,105115.48966666666,106488.617,MSE_Only,mean,0.01,105349.039
2025-05-09,105598.08850000001,105618.188,MSE_Only,mean,0.01,105478.547
2025-05-10,107099.19266666665,106875.883,MSE_Only,mean,0.01,108267.273
2025-05-11,106721.94783333332,109699.859,MSE_Only,mean,0.01,105625.102
2025-05-12,105621.56766666665,111722.109,MSE_Only,mean,0.01,105598.836
2025-05-13,105921.724,107332.906,MSE_Only,mean,0.01,104821.508
2025-05-14,106405.68883333332,107779.461,MSE_Only,mean,0.01,105520.938
