signal_threshold,rsi_overbought,rsi_oversold,accuracy,edge_pct,correct,total_tested,n_bullish,n_bearish,n_neutral,n_signals,signal_rate
0.4,75,30,0.6375,13.749999999999996,102,160,85,76,229,161,0.4128205128205128
0.35,75,30,0.6375,13.749999999999996,102,160,85,76,229,161,0.4128205128205128
0.4,65,30,0.636986301369863,13.698630136986301,93,146,71,76,243,147,0.3769230769230769
0.35,65,30,0.636986301369863,13.698630136986301,93,146,71,76,243,147,0.3769230769230769
0.35,70,30,0.6357615894039735,13.576158940397354,96,151,76,76,238,152,0.38974358974358975
0.4,70,30,0.6357615894039735,13.576158940397354,96,151,76,76,238,152,0.38974358974358975
0.35,75,25,0.6335403726708074,13.354037267080743,102,161,85,77,228,162,0.4153846153846154
0.4,75,25,0.6335403726708074,13.354037267080743,102,161,85,77,228,162,0.4153846153846154
0.4,65,25,0.6326530612244898,13.265306122448983,93,147,71,77,242,148,0.37948717948717947
0.35,65,25,0.6326530612244898,13.265306122448983,93,147,71,77,242,148,0.37948717948717947
0.4,75,35,0.632258064516129,13.225806451612899,98,155,85,71,234,156,0.4
0.35,75,35,0.632258064516129,13.225806451612899,98,155,85,71,234,156,0.4
0.35,75,20,0.6319018404907976,13.190184049079756,103,163,85,79,226,164,0.4205128205128205
0.4,75,20,0.6319018404907976,13.190184049079756,103,163,85,79,226,164,0.4205128205128205
0.35,70,25,0.631578947368421,13.157894736842103,96,152,76,77,237,153,0.3923076923076923
0.4,70,25,0.631578947368421,13.157894736842103,96,152,76,77,237,153,0.3923076923076923
0.4,65,35,0.6312056737588653,13.120567375886527,89,141,71,71,248,142,0.3641025641025641
0.35,65,35,0.6312056737588653,13.120567375886527,89,141,71,71,248,142,0.3641025641025641
0.4,65,20,0.6308724832214765,13.087248322147648,94,149,71,79,240,150,0.38461538461538464
0.35,65,20,0.6308724832214765,13.087248322147648,94,149,71,79,240,150,0.38461538461538464
0.4,70,35,0.6301369863013698,13.013698630136982,92,146,76,71,243,147,0.3769230769230769
0.35,70,35,0.6301369863013698,13.013698630136982,92,146,76,71,243,147,0.3769230769230769
0.3,75,30,0.63,13.0,126,200,108,93,189,201,0.5153846153846153
0.25,75,30,0.63,13.0,126,200,108,93,189,201,0.5153846153846153
0.2,75,30,0.63,13.0,126,200,108,93,189,201,0.5153846153846153
0.35,70,20,0.6298701298701299,12.987012987012992,97,154,76,79,235,155,0.3974358974358974
0.4,70,20,0.6298701298701299,12.987012987012992,97,154,76,79,235,155,0.3974358974358974
0.2,65,30,0.6270270270270271,12.702702702702705,116,185,93,93,204,186,0.47692307692307695
0.3,65,30,0.6270270270270271,12.702702702702705,116,185,93,93,204,186,0.47692307692307695
