method,mse,directional_accuracy,sharpe,total_return,n_models_used,params
accuracy,3.7533053309628737,28.333333333333332,-1.4033966188080627,-15.244080278987376,502,default
decay,3.754805278974581,28.333333333333332,-1.4033966188080627,-15.244080278987376,484,{'decay': 0.95}
decay,3.753954085487489,28.333333333333332,-1.4033966188080627,-15.244080278987376,538,{'decay': 0.99}
topk,3.5880364157868896,31.666666666666664,0.057967975249587675,0.632137338771227,49,{'top_pct': 0.05}
topk,3.6710533935277225,31.666666666666664,0.13321187448856797,1.4526257795819015,99,{'top_pct': 0.1}
topk,3.6951995986926782,30.833333333333336,-0.1832393330296097,-1.9980932333893289,198,{'top_pct': 0.2}
ridge,3.6917514925949284,27.500000000000004,-1.628003336363393,-17.659956033948536,347,{'alpha': 0.1}
ridge,3.6904017970195984,27.500000000000004,-1.628003336363393,-17.659956033948536,348,{'alpha': 1.0}
ridge,3.6792918387971714,27.500000000000004,-1.628003336363393,-17.659956033948536,351,{'alpha': 10.0}
inverse_var,3.7408302100817608,28.333333333333332,-1.4033966188080627,-15.244080278987376,568,default
