date,prediction,actual,best_strat,best_agg,best_q,best_child_prediction
2025-03-02,87.81450000000001,85.475,Balanced,mean,0.01,87.941
2025-03-03,87.33850000000001,85.503,Balanced,mean,0.01,87.028
2025-03-04,87.422,85.435,MSE_Only,mean,0.02,87.349
2025-03-05,87.142,85.24,Balanced,mean,0.01,87.042
2025-03-06,87.1655,85.24,Balanced,mean,0.01,86.892
2025-03-07,86.9255,85.24,Balanced,mean,0.01,86.672
2025-03-08,86.9445,85.84,Balanced,mean,0.01,86.661
2025-03-09,86.96199999999999,86.27,Balanced,mean,0.01,86.734
2025-03-10,87.2355,86.692,Balanced,mean,0.01,86.866
2025-03-11,87.455,86.692,Balanced,mean,0.01,87.42
2025-03-12,87.628,86.045,Balanced,mean,0.01,87.761
2025-03-13,87.253,86.045,Balanced,mean,0.01,87.05
2025-03-14,86.97550000000001,86.045,Accuracy_Heavy,mean,0.01,87.068
2025-03-15,87.0995,86.045,Balanced,mean,0.01,87.084
2025-03-16,87.1875,85.777,Balanced,mean,0.01,87.103
2025-03-17,86.995,85.683,Balanced,mean,0.01,86.942
2025-03-18,86.47800000000001,85.372,Balanced,mean,0.01,86.653
2025-03-19,86.481,85.372,Risk_Heavy,mean,0.01,86.552
2025-03-20,86.424,85.372,Risk_Heavy,mean,0.01,86.517
2025-03-21,86.133,85.372,Risk_Heavy,mean,0.01,86.108
2025-03-22,86.2225,85.132,Risk_Heavy,mean,0.01,86.086
2025-03-23,85.956,85.192,Risk_Heavy,mean,0.01,85.948
2025-03-24,86.11,85.425,Risk_Heavy,mean,0.01,85.692
2025-03-25,85.937,85.265,Risk_Heavy,mean,0.01,85.871
2025-03-26,85.8355,85.455,Balanced,mean,0.01,85.814
2025-03-27,86.11179999999999,85.455,Risk_Heavy,mean,0.02,85.914
2025-03-28,85.69,85.455,Balanced,mean,0.01,85.557
2025-03-29,85.56,85.035,Balanced,mean,0.01,85.579
2025-03-30,85.197,85.268,Profit_Heavy,mean,0.01,85.619
2025-03-31,85.36850000000001,84.493,Profit_Heavy,mean,0.01,85.665
2025-04-01,85.234,84.493,Profit_Heavy,mean,0.01,85.555
2025-04-02,85.479,84.585,Profit_Heavy,mean,0.01,85.68
2025-04-03,85.34450000000001,84.585,Profit_Heavy,mean,0.01,85.587
