signal_threshold,rsi_overbought,rsi_oversold,accuracy,edge_pct,correct,total_tested,n_bullish,n_bearish,n_neutral,n_signals,signal_rate
0.15,80,20,0.3449612403100775,-15.503875968992247,89,258,246,13,71,259,0.7848484848484848
0.1,80,35,0.3449612403100775,-15.503875968992247,89,258,246,13,71,259,0.7848484848484848
0.15,80,35,0.3449612403100775,-15.503875968992247,89,258,246,13,71,259,0.7848484848484848
0.15,80,30,0.3449612403100775,-15.503875968992247,89,258,246,13,71,259,0.7848484848484848
0.15,80,25,0.3449612403100775,-15.503875968992247,89,258,246,13,71,259,0.7848484848484848
0.1,80,30,0.3449612403100775,-15.503875968992247,89,258,246,13,71,259,0.7848484848484848
0.1,80,25,0.3449612403100775,-15.503875968992247,89,258,246,13,71,259,0.7848484848484848
0.1,80,20,0.3449612403100775,-15.503875968992247,89,258,246,13,71,259,0.7848484848484848
0.15,75,35,0.34297520661157027,-15.702479338842974,83,242,230,13,87,243,0.7363636363636363
0.1,75,35,0.34297520661157027,-15.702479338842974,83,242,230,13,87,243,0.7363636363636363
0.15,75,30,0.34297520661157027,-15.702479338842974,83,242,230,13,87,243,0.7363636363636363
0.1,75,25,0.34297520661157027,-15.702479338842974,83,242,230,13,87,243,0.7363636363636363
0.1,75,30,0.34297520661157027,-15.702479338842974,83,242,230,13,87,243,0.7363636363636363
0.15,75,20,0.34297520661157027,-15.702479338842974,83,242,230,13,87,243,0.7363636363636363
0.1,75,20,0.34297520661157027,-15.702479338842974,83,242,230,13,87,243,0.7363636363636363
0.15,75,25,0.34297520661157027,-15.702479338842974,83,242,230,13,87,243,0.7363636363636363
0.3,80,35,0.34285714285714286,-15.714285714285714,84,245,241,4,85,245,0.7424242424242424
0.3,80,30,0.34285714285714286,-15.714285714285714,84,245,241,4,85,245,0.7424242424242424
0.3,80,25,0.34285714285714286,-15.714285714285714,84,245,241,4,85,245,0.7424242424242424
0.2,80,25,0.34285714285714286,-15.714285714285714,84,245,241,4,85,245,0.7424242424242424
