date,prediction,actual,best_strat,best_agg,best_q,best_child_prediction
2025-03-02,20998.389,19961.0,MSE_Only,mean,0.01,20998.389
2025-03-03,20622.402,20374.25,MSE_Only,mean,0.01,20622.402
2025-03-04,20629.621,20488.5,MSE_Only,mean,0.01,20629.621
2025-03-05,20948.613,20116.5,MSE_Only,mean,0.01,20948.613
2025-03-06,20399.627,19990.25,MSE_Only,mean,0.01,20399.627
2025-03-07,20580.785,19457.0,MSE_Only,mean,0.01,20580.785
2025-03-08,20655.938,19457.0,MSE_Only,mean,0.01,20655.938
2025-03-09,20733.285,19457.0,Balanced,mean,0.01,20733.285
2025-03-10,20011.615,19439.5,Balanced,mean,0.01,20011.615
2025-03-11,20031.051,19604.5,Balanced,mean,0.01,20031.051
2025-03-12,20325.477,19758.0,Balanced,mean,0.01,20325.477
2025-03-13,20014.139,18675.5,Balanced,mean,0.01,20014.139
2025-03-14,20560.375,17539.0,Balanced,mean,0.01,20560.375
2025-03-15,20542.332,17539.0,Accuracy_Heavy,mean,0.01,20542.332
2025-03-16,20589.982,17539.0,Accuracy_Heavy,mean,0.01,20589.982
2025-03-17,20979.715,17563.25,Accuracy_Heavy,mean,0.01,20979.715
2025-03-18,20247.199500000002,17243.75,Balanced,mean,0.01,20674.846
2025-03-19,20527.4626,19288.75,MSE_Only,mean,0.02,20954.684
2025-03-20,20494.1836,18484.5,MSE_Only,mean,0.02,20933.309
2025-03-21,20440.623,18807.5,Accuracy_Heavy,mean,0.01,19829.922
2025-03-22,20349.504,18807.5,Accuracy_Heavy,mean,0.01,19638.154
2025-03-23,20342.768,18807.5,Accuracy_Heavy,mean,0.01,19611.098
2025-03-24,20111.128,18934.75,MSE_Only,mean,0.01,20015.434
2025-03-25,20200.914,18960.25,MSE_Only,mean,0.01,20061.93
2025-03-26,19750.253,18385.25,MSE_Only,mean,0.01,19503.178
2025-03-27,19620.0245,18380.75,MSE_Only,mean,0.01,19364.326
