signal_threshold,rsi_overbought,rsi_oversold,accuracy,edge_pct,correct,total_tested,n_bullish,n_bearish,n_neutral,n_signals,signal_rate
0.4,70,35,0.41621621621621624,-8.378378378378375,77,185,185,0,146,185,0.5589123867069486
0.4,70,20,0.41621621621621624,-8.378378378378375,77,185,185,0,146,185,0.5589123867069486
0.4,70,25,0.41621621621621624,-8.378378378378375,77,185,185,0,146,185,0.5589123867069486
0.4,70,30,0.41621621621621624,-8.378378378378375,77,185,185,0,146,185,0.5589123867069486
0.4,75,20,0.41013824884792627,-8.986175115207374,89,217,217,0,114,217,0.6555891238670695
0.4,75,35,0.41013824884792627,-8.986175115207374,89,217,217,0,114,217,0.6555891238670695
0.4,75,30,0.41013824884792627,-8.986175115207374,89,217,217,0,114,217,0.6555891238670695
0.4,75,25,0.41013824884792627,-8.986175115207374,89,217,217,0,114,217,0.6555891238670695
0.4,80,35,0.4098360655737705,-9.016393442622949,100,244,244,0,87,244,0.7371601208459214
0.4,80,20,0.4098360655737705,-9.016393442622949,100,244,244,0,87,244,0.7371601208459214
0.4,80,25,0.4098360655737705,-9.016393442622949,100,244,244,0,87,244,0.7371601208459214
0.4,80,30,0.4098360655737705,-9.016393442622949,100,244,244,0,87,244,0.7371601208459214
0.35,70,35,0.4072164948453608,-9.278350515463918,79,194,194,0,137,194,0.5861027190332326
0.35,70,20,0.4072164948453608,-9.278350515463918,79,194,194,0,137,194,0.5861027190332326
0.35,70,25,0.4072164948453608,-9.278350515463918,79,194,194,0,137,194,0.5861027190332326
0.35,70,30,0.4072164948453608,-9.278350515463918,79,194,194,0,137,194,0.5861027190332326
0.3,70,20,0.40703517587939697,-9.296482412060303,81,199,200,0,131,200,0.6042296072507553
0.3,70,35,0.40703517587939697,-9.296482412060303,81,199,200,0,131,200,0.6042296072507553
0.3,70,25,0.40703517587939697,-9.296482412060303,81,199,200,0,131,200,0.6042296072507553
0.3,70,30,0.40703517587939697,-9.296482412060303,81,199,200,0,131,200,0.6042296072507553
0.35,80,25,0.4031620553359684,-9.683794466403162,102,253,253,0,78,253,0.7643504531722054
0.35,80,30,0.4031620553359684,-9.683794466403162,102,253,253,0,78,253,0.7643504531722054
0.35,80,35,0.4031620553359684,-9.683794466403162,102,253,253,0,78,253,0.7643504531722054
0.35,80,20,0.4031620553359684,-9.683794466403162,102,253,253,0,78,253,0.7643504531722054
0.3,80,35,0.40310077519379844,-9.689922480620156,104,258,259,0,72,259,0.7824773413897281
0.3,80,30,0.40310077519379844,-9.689922480620156,104,258,259,0,72,259,0.7824773413897281
0.3,80,25,0.40310077519379844,-9.689922480620156,104,258,259,0,72,259,0.7824773413897281
0.3,80,20,0.40310077519379844,-9.689922480620156,104,258,259,0,72,259,0.7824773413897281
0.35,75,25,0.4026548672566372,-9.734513274336281,91,226,226,0,105,226,0.6827794561933535
0.35,75,35,0.4026548672566372,-9.734513274336281,91,226,226,0,105,226,0.6827794561933535
0.35,75,30,0.4026548672566372,-9.734513274336281,91,226,226,0,105,226,0.6827794561933535
0.35,75,20,0.4026548672566372,-9.734513274336281,91,226,226,0,105,226,0.6827794561933535
0.3,75,25,0.4025974025974026,-9.740259740259738,93,231,232,0,99,232,0.7009063444108762
0.3,75,30,0.4025974025974026,-9.740259740259738,93,231,232,0,99,232,0.7009063444108762
0.3,75,35,0.4025974025974026,-9.740259740259738,93,231,232,0,99,232,0.7009063444108762
0.3,75,20,0.4025974025974026,-9.740259740259738,93,231,232,0,99,232,0.7009063444108762
0.4,65,25,0.4,-9.999999999999998,68,170,170,0,161,170,0.513595166163142
0.4,65,35,0.4,-9.999999999999998,68,170,170,0,161,170,0.513595166163142
0.4,65,30,0.4,-9.999999999999998,68,170,170,0,161,170,0.513595166163142
0.25,70,20,0.4,-9.999999999999998,84,210,211,0,120,211,0.6374622356495468
0.4,65,20,0.4,-9.999999999999998,68,170,170,0,161,170,0.513595166163142
0.25,70,35,0.4,-9.999999999999998,84,210,211,0,120,211,0.6374622356495468
0.25,70,25,0.4,-9.999999999999998,84,210,211,0,120,211,0.6374622356495468
0.25,70,30,0.4,-9.999999999999998,84,210,211,0,120,211,0.6374622356495468
0.15,80,30,0.3978494623655914,-10.215053763440862,111,279,280,0,51,280,0.8459214501510574
0.15,80,35,0.3978494623655914,-10.215053763440862,111,279,280,0,51,280,0.8459214501510574
0.15,80,25,0.3978494623655914,-10.215053763440862,111,279,280,0,51,280,0.8459214501510574
0.15,80,20,0.3978494623655914,-10.215053763440862,111,279,280,0,51,280,0.8459214501510574
0.25,80,20,0.39776951672862454,-10.223048327137546,107,269,270,0,61,270,0.8157099697885196
0.25,80,35,0.39776951672862454,-10.223048327137546,107,269,270,0,61,270,0.8157099697885196
0.25,80,30,0.39776951672862454,-10.223048327137546,107,269,270,0,61,270,0.8157099697885196
0.25,80,25,0.39776951672862454,-10.223048327137546,107,269,270,0,61,270,0.8157099697885196
0.15,70,35,0.3972602739726027,-10.273972602739729,87,219,220,0,111,220,0.6646525679758308
0.15,70,30,0.3972602739726027,-10.273972602739729,87,219,220,0,111,220,0.6646525679758308
0.15,70,25,0.3972602739726027,-10.273972602739729,87,219,220,0,111,220,0.6646525679758308
0.15,70,20,0.3972602739726027,-10.273972602739729,87,219,220,0,111,220,0.6646525679758308
0.15,75,35,0.3968253968253968,-10.31746031746032,100,252,253,0,78,253,0.7643504531722054
0.15,75,30,0.3968253968253968,-10.31746031746032,100,252,253,0,78,253,0.7643504531722054
0.15,75,25,0.3968253968253968,-10.31746031746032,100,252,253,0,78,253,0.7643504531722054
0.15,75,20,0.3968253968253968,-10.31746031746032,100,252,253,0,78,253,0.7643504531722054
0.25,75,20,0.39669421487603307,-10.330578512396693,96,242,243,0,88,243,0.7341389728096677
0.25,75,35,0.39669421487603307,-10.330578512396693,96,242,243,0,88,243,0.7341389728096677
0.25,75,25,0.39669421487603307,-10.330578512396693,96,242,243,0,88,243,0.7341389728096677
0.25,75,30,0.39669421487603307,-10.330578512396693,96,242,243,0,88,243,0.7341389728096677
0.2,80,25,0.3956043956043956,-10.439560439560442,108,273,274,0,57,274,0.8277945619335347
0.2,80,20,0.3956043956043956,-10.439560439560442,108,273,274,0,57,274,0.8277945619335347
0.2,80,35,0.3956043956043956,-10.439560439560442,108,273,274,0,57,274,0.8277945619335347
0.2,80,30,0.3956043956043956,-10.439560439560442,108,273,274,0,57,274,0.8277945619335347
0.1,80,20,0.39501779359430605,-10.498220640569395,111,281,282,0,49,282,0.851963746223565
0.1,80,25,0.39501779359430605,-10.498220640569395,111,281,282,0,49,282,0.851963746223565
0.1,80,30,0.39501779359430605,-10.498220640569395,111,281,282,0,49,282,0.851963746223565
0.1,80,35,0.39501779359430605,-10.498220640569395,111,281,282,0,49,282,0.851963746223565
0.2,70,20,0.39436619718309857,-10.563380281690144,84,213,214,0,117,214,0.6465256797583081
0.2,70,25,0.39436619718309857,-10.563380281690144,84,213,214,0,117,214,0.6465256797583081
0.2,70,35,0.39436619718309857,-10.563380281690144,84,213,214,0,117,214,0.6465256797583081
0.2,70,30,0.39436619718309857,-10.563380281690144,84,213,214,0,117,214,0.6465256797583081
0.2,75,30,0.3943089430894309,-10.569105691056912,97,246,247,0,84,247,0.7462235649546828
0.2,75,25,0.3943089430894309,-10.569105691056912,97,246,247,0,84,247,0.7462235649546828
0.2,75,20,0.3943089430894309,-10.569105691056912,97,246,247,0,84,247,0.7462235649546828
0.2,75,35,0.3943089430894309,-10.569105691056912,97,246,247,0,84,247,0.7462235649546828
0.1,75,35,0.3937007874015748,-10.629921259842517,100,254,255,0,76,255,0.770392749244713
0.1,75,30,0.3937007874015748,-10.629921259842517,100,254,255,0,76,255,0.770392749244713
0.1,75,25,0.3937007874015748,-10.629921259842517,100,254,255,0,76,255,0.770392749244713
0.1,75,20,0.3937007874015748,-10.629921259842517,100,254,255,0,76,255,0.770392749244713
0.1,70,20,0.3936651583710407,-10.633484162895929,87,221,222,0,109,222,0.6706948640483383
0.1,70,30,0.3936651583710407,-10.633484162895929,87,221,222,0,109,222,0.6706948640483383
0.1,70,35,0.3936651583710407,-10.633484162895929,87,221,222,0,109,222,0.6706948640483383
0.1,70,25,0.3936651583710407,-10.633484162895929,87,221,222,0,109,222,0.6706948640483383
0.3,65,30,0.391304347826087,-10.869565217391303,72,184,185,0,146,185,0.5589123867069486
0.3,65,35,0.391304347826087,-10.869565217391303,72,184,185,0,146,185,0.5589123867069486
0.3,65,25,0.391304347826087,-10.869565217391303,72,184,185,0,146,185,0.5589123867069486
0.3,65,20,0.391304347826087,-10.869565217391303,72,184,185,0,146,185,0.5589123867069486
0.35,65,35,0.39106145251396646,-10.893854748603355,70,179,179,0,152,179,0.540785498489426
0.35,65,30,0.39106145251396646,-10.893854748603355,70,179,179,0,152,179,0.540785498489426
0.35,65,25,0.39106145251396646,-10.893854748603355,70,179,179,0,152,179,0.540785498489426
0.35,65,20,0.39106145251396646,-10.893854748603355,70,179,179,0,152,179,0.540785498489426
0.25,65,35,0.38461538461538464,-11.538461538461537,75,195,196,0,135,196,0.5921450151057401
0.25,65,30,0.38461538461538464,-11.538461538461537,75,195,196,0,135,196,0.5921450151057401
0.25,65,25,0.38461538461538464,-11.538461538461537,75,195,196,0,135,196,0.5921450151057401
0.25,65,20,0.38461538461538464,-11.538461538461537,75,195,196,0,135,196,0.5921450151057401
0.15,65,30,0.38235294117647056,-11.764705882352944,78,204,205,0,126,205,0.6193353474320241
0.15,65,20,0.38235294117647056,-11.764705882352944,78,204,205,0,126,205,0.6193353474320241
0.15,65,25,0.38235294117647056,-11.764705882352944,78,204,205,0,126,205,0.6193353474320241
0.15,65,35,0.38235294117647056,-11.764705882352944,78,204,205,0,126,205,0.6193353474320241
0.2,65,20,0.3787878787878788,-12.121212121212121,75,198,199,0,132,199,0.6012084592145015
0.2,65,25,0.3787878787878788,-12.121212121212121,75,198,199,0,132,199,0.6012084592145015
0.2,65,30,0.3787878787878788,-12.121212121212121,75,198,199,0,132,199,0.6012084592145015
0.2,65,35,0.3787878787878788,-12.121212121212121,75,198,199,0,132,199,0.6012084592145015
0.1,65,25,0.3786407766990291,-12.135922330097088,78,206,207,0,124,207,0.6253776435045317
0.1,65,35,0.3786407766990291,-12.135922330097088,78,206,207,0,124,207,0.6253776435045317
0.1,65,30,0.3786407766990291,-12.135922330097088,78,206,207,0,124,207,0.6253776435045317
0.1,65,20,0.3786407766990291,-12.135922330097088,78,206,207,0,124,207,0.6253776435045317
