date,prediction,actual,best_strat,best_agg,best_q,best_child_prediction
2025-01-01,74.828,86.0,single_model,none,1.0,74.828
2025-01-02,73.64,86.16,single_model,none,1.0,73.64
2025-01-03,72.899,85.7,single_model,none,1.0,72.899
2025-01-04,73.376,84.9,single_model,none,1.0,73.376
2025-01-05,73.933,79.47,single_model,none,1.0,73.933
2025-01-06,71.544,79.47,single_model,none,1.0,71.544
2025-01-07,70.889,79.47,single_model,none,1.0,70.889
2025-01-08,70.575,73.06,single_model,none,1.0,70.575
2025-01-09,71.101,71.89,single_model,none,1.0,71.101
2025-01-10,68.777,76.54,single_model,none,1.0,68.777
2025-01-11,71.365,76.2,single_model,none,1.0,71.365
2025-01-12,69.514,79.06,single_model,none,1.0,69.514
2025-01-13,70.513,79.06,single_model,none,1.0,70.513
2025-01-14,70.523,79.06,single_model,none,1.0,70.523
2025-01-15,71.063,80.26,single_model,none,1.0,71.063
2025-01-16,71.582,79.52,single_model,none,1.0,71.582
2025-01-17,73.191,78.07,single_model,none,1.0,73.191
2025-01-18,71.932,78.1,single_model,none,1.0,71.932
2025-01-19,72.413,78.1,single_model,none,1.0,72.413
2025-01-20,72.681,78.1,single_model,none,1.0,72.681
2025-01-21,74.908,78.1,single_model,none,1.0,74.908
2025-01-22,73.866,78.57,single_model,none,1.0,73.866
2025-01-23,72.335,80.75,single_model,none,1.0,72.335
2025-01-24,75.096,81.66,single_model,none,1.0,75.096
2025-01-25,76.544,82.19,single_model,none,1.0,76.544
2025-01-26,73.436,81.95,single_model,none,1.0,73.436
2025-01-27,70.281,81.95,single_model,none,1.0,70.281
2025-01-28,70.382,81.95,single_model,none,1.0,70.382
2025-01-29,74.688,81.83,single_model,none,1.0,74.688
2025-01-30,69.354,81.58,single_model,none,1.0,69.354
2025-01-31,78.575,81.82,single_model,none,1.0,78.575
2025-02-01,76.671,81.54,single_model,none,1.0,76.671
2025-02-02,67.679,84.2,single_model,none,1.0,67.679
2025-02-03,63.091,84.2,single_model,none,1.0,63.091
2025-02-04,75.26,84.2,single_model,none,1.0,75.26
2025-02-05,75.644,84.27,single_model,none,1.0,75.644
2025-02-06,67.42,85.01,single_model,none,1.0,67.42
2025-02-07,82.447,83.17,single_model,none,1.0,82.447
2025-02-08,83.357,84.16,single_model,none,1.0,83.357
2025-02-09,91.27,83.88,single_model,none,1.0,91.27
2025-02-10,69.27,83.88,single_model,none,1.0,69.27
2025-02-11,75.36,83.88,single_model,none,1.0,75.36
2025-02-12,89.924,86.6,single_model,none,1.0,89.924
2025-02-13,84.661,86.12,single_model,none,1.0,84.661
2025-02-14,83.012,87.19,single_model,none,1.0,83.012
2025-02-15,83.6,85.5,single_model,none,1.0,83.6
2025-02-16,100.743,85.49,single_model,none,1.0,100.743
2025-02-17,84.217,85.49,single_model,none,1.0,84.217
2025-02-18,102.645,85.49,single_model,none,1.0,102.645
2025-02-19,88.81,85.95,single_model,none,1.0,88.81
2025-02-20,85.755,86.66,single_model,none,1.0,85.755
2025-02-21,80.325,86.46,single_model,none,1.0,80.325
2025-02-22,91.322,85.98,single_model,none,1.0,91.322
2025-02-23,72.032,86.0,single_model,none,1.0,72.032
2025-02-24,82.336,86.0,single_model,none,1.0,82.336
2025-02-25,82.918,86.0,single_model,none,1.0,82.918
2025-02-26,83.857,86.0,single_model,none,1.0,83.857
2025-02-27,81.863,85.01,single_model,none,1.0,81.863
2025-02-28,85.229,84.15,single_model,none,1.0,85.229
2025-03-01,80.829,85.11,single_model,none,1.0,80.829
2025-03-02,96.839,83.68,single_model,none,1.0,96.839
2025-03-03,73.122,83.68,single_model,none,1.0,73.122
2025-03-04,88.104,83.68,single_model,none,1.0,88.104
2025-03-05,86.342,84.27,single_model,none,1.0,86.342
2025-03-06,83.378,84.97,single_model,none,1.0,83.378
2025-03-07,96.761,86.55,single_model,none,1.0,96.761
2025-03-08,96.472,86.82,single_model,none,1.0,96.472
2025-03-09,95.459,86.79,single_model,none,1.0,95.459
2025-03-10,82.945,86.79,single_model,none,1.0,82.945
2025-03-11,87.347,86.79,single_model,none,1.0,87.347
