date,prediction,actual,best_strat,best_agg,best_q,best_child_prediction
2025-03-02,44041.47933333333,42319.0,MSE_Only,mean,0.01,43732.301
2025-03-03,43008.47,42898.0,MSE_Only,mean,0.02,43016.305
2025-03-04,42699.012833333334,42906.0,MSE_Only,mean,0.02,42404.98
2025-03-05,43257.67833333333,42746.0,MSE_Only,mean,0.02,42896.371
2025-03-06,42991.513166666664,42602.0,MSE_Only,mean,0.02,42467.27
2025-03-07,43196.03516666667,41851.0,MSE_Only,mean,0.02,42726.773
2025-03-08,43097.80466666667,41851.0,MSE_Only,mean,0.02,42506.008
2025-03-09,42997.05866666667,41851.0,MSE_Only,mean,0.01,42797.25
2025-03-10,42560.31633333333,42259.0,MSE_Only,mean,0.01,41940.605
2025-03-11,41953.32166666666,42241.0,MSE_Only,mean,0.01,41410.41
2025-03-12,41603.72266666667,42492.0,MSE_Only,mean,0.01,41136.016
2025-03-13,41129.91533333334,40776.0,MSE_Only,mean,0.01,40431.008
2025-03-14,41737.647333333334,38530.0,MSE_Only,mean,0.01,41260.051
2025-03-15,41853.905,38530.0,MSE_Only,mean,0.01,41698.316
2025-03-16,41841.897,38530.0,MSE_Only,mean,0.01,41853.066
2025-03-17,42724.329666666665,38165.0,MSE_Only,mean,0.01,42943.395
2025-03-18,42153.51433333333,37862.0,MSE_Only,mean,0.01,42894.48
2025-03-19,42327.106999999996,40836.0,MSE_Only,mean,0.01,43103.02
2025-03-20,42546.66,39797.0,MSE_Only,mean,0.01,41624.285
2025-03-21,42976.909,40399.0,MSE_Only,mean,0.01,43045.457
2025-03-22,42538.524666666664,40399.0,MSE_Only,mean,0.01,43068.844
2025-03-23,42556.75,40399.0,MSE_Only,mean,0.01,43289.629
2025-03-24,43221.636999999995,40741.0,MSE_Only,mean,0.01,43431.258
2025-03-25,43309.50266666667,40575.0,MSE_Only,mean,0.01,44011.922
2025-03-26,42991.467333333334,39853.0,MSE_Only,mean,0.01,43548.117
2025-03-27,42768.878666666664,39329.0,MSE_Only,mean,0.01,42808.707
2025-03-28,41893.612,39329.0,MSE_Only,mean,0.01,42255.953
2025-03-29,42026.664,39329.0,MSE_Only,mean,0.01,42332.062
2025-03-30,41972.582,39329.0,MSE_Only,mean,0.01,42309.066
2025-03-31,42187.67333333333,38328.0,MSE_Only,mean,0.01,41969.699
2025-04-01,42690.608,39357.0,MSE_Only,mean,0.01,43292.609
2025-04-02,42983.64966666667,39775.0,MSE_Only,mean,0.01,42417.41
2025-04-03,41174.78633333333,40262.0,MSE_Only,mean,0.02,40634.781
2025-04-04,38993.25666666666,40254.0,MSE_Only,mean,0.02,38520.793
2025-04-05,38894.028666666665,40254.0,MSE_Only,mean,0.02,38321.477
2025-04-06,38825.563,40254.0,MSE_Only,mean,0.02,38543.652
2025-04-07,38428.99733333333,40368.0,MSE_Only,mean,0.02,38711.859
2025-04-08,38333.512,40658.0,MSE_Only,median,0.01,38450.996
2025-04-09,41463.61983333334,40770.0,MSE_Only,mean,0.02,41458.324
2025-04-10,40522.28666666667,40855.0,Accuracy_Heavy,mean,0.01,40493.559
2025-04-11,41027.42066666667,41427.0,Accuracy_Heavy,mean,0.01,41094.07
2025-04-12,40957.42866666667,41427.0,Accuracy_Heavy,mean,0.01,41173.02
2025-04-13,41061.04033333334,41427.0,Accuracy_Heavy,mean,0.01,41209.012
2025-04-14,41412.051999999996,41319.0,Accuracy_Heavy,mean,0.01,41580.32
2025-04-15,40912.549666666666,40918.0,MSE_Only,mean,0.01,41399.746
2025-04-16,40275.08066666667,41214.0,MSE_Only,mean,0.01,40645.488
2025-04-17,39745.40466666667,41468.0,MSE_Only,mean,0.01,40134.828
2025-04-18,39724.176,41323.0,MSE_Only,median,0.01,40076.461
2025-04-19,39566.402,41323.0,MSE_Only,median,0.01,40138.18
2025-04-20,39478.301,41323.0,MSE_Only,median,0.01,40032.676
2025-04-21,38482.145,42493.0,MSE_Only,median,0.01,38846.824
2025-04-22,39710.752,42228.0,MSE_Only,median,0.02,40023.527
2025-04-23,40210.375,42117.0,MSE_Only,median,0.01,40210.375
2025-04-24,40838.5,42385.0,MSE_Only,median,0.01,40838.5
2025-04-25,40743.789,42736.0,MSE_Only,median,0.01,40743.789
2025-04-26,40871.898,42736.0,Accuracy_Heavy,median,0.01,40719.652
2025-04-27,40721.391,42736.0,Accuracy_Heavy,median,0.01,40774.266
2025-04-28,40686.086,42885.0,Accuracy_Heavy,median,0.01,40716.945
2025-04-29,41022.645,42772.0,Accuracy_Heavy,median,0.01,41762.227
2025-04-30,41231.051,41947.0,Accuracy_Heavy,median,0.01,41935.805
2025-05-01,41287.809,41925.0,Accuracy_Heavy,median,0.01,42010.754
2025-05-02,41900.922,41674.0,MSE_Only,median,0.01,42496.215
2025-05-03,41671.711,41674.0,MSE_Only,median,0.01,42451.457
2025-05-04,42045.664,41674.0,MSE_Only,median,0.01,42393.566
2025-05-05,41685.59366666666,41674.0,MSE_Only,mean,0.01,41331.16
2025-05-06,41312.513,42410.0,MSE_Only,mean,0.01,41047.617
2025-05-07,41633.35666666667,42170.0,MSE_Only,mean,0.01,42038.691
2025-05-08,41873.965,42267.0,MSE_Only,mean,0.01,42173.844
2025-05-09,41667.09633333333,42294.0,MSE_Only,mean,0.01,41874.789
2025-05-10,41759.72,42294.0,MSE_Only,mean,0.01,42005.547
2025-05-11,41613.513,42294.0,MSE_Only,mean,0.01,41797.934
2025-05-12,42923.62233333333,42374.0,MSE_Only,mean,0.01,43114.559
2025-05-13,42511.090000000004,42598.0,MSE_Only,mean,0.01,42781.727
2025-05-14,42459.809,42500.0,MSE_Only,median,0.01,42516.258
2025-05-15,42761.031,42369.0,MSE_Only,median,0.01,42611.504
2025-05-16,43064.164,42809.0,MSE_Only,median,0.01,43067.148
2025-05-17,43025.559,42809.0,MSE_Only,median,0.01,43032.934
2025-05-18,42893.645,42809.0,MSE_Only,median,0.01,43146.992
2025-05-19,43151.926,42796.0,MSE_Only,median,0.01,43244.609
2025-05-20,42983.84,42911.0,MSE_Only,mean,0.01,43172.949
2025-05-21,42169.452,42908.0,MSE_Only,mean,0.01,42492.328
2025-05-22,42131.73166666667,42990.0,MSE_Only,mean,0.01,42458.945
2025-05-23,41838.634,42523.0,MSE_Only,mean,0.01,42131.875
2025-05-24,41864.04033333334,42523.0,MSE_Only,mean,0.01,42258.309
2025-05-25,41867.65233333333,42523.0,MSE_Only,mean,0.01,42253.254
2025-05-26,41809.061,42864.0,MSE_Only,mean,0.01,42187.289
2025-05-27,42656.77866666667,42556.0,MSE_Only,mean,0.01,42716.086
2025-05-28,42424.74600000001,42512.0,MSE_Only,mean,0.01,42394.926
2025-05-29,42522.841,42512.0,MSE_Only,mean,0.02,42496.062
2025-05-30,42589.306333333334,42515.0,MSE_Only,mean,0.01,42631.559
2025-05-31,42541.22133333333,42515.0,MSE_Only,mean,0.01,42846.453
2025-06-01,42534.341,42515.0,MSE_Only,mean,0.01,42278.031
2025-06-02,42426.607500000006,42901.0,MSE_Only,mean,0.02,42333.992
2025-06-03,42758.833333333336,43424.0,MSE_Only,mean,0.01,42589.875
2025-06-04,42746.136666666665,43306.0,MSE_Only,mean,0.01,42462.492
2025-06-05,42721.548,43718.0,MSE_Only,mean,0.01,42291.832
2025-06-06,42990.09633333333,44125.0,MSE_Only,mean,0.01,42732.797
2025-06-07,43000.532333333336,44125.0,MSE_Only,mean,0.01,42691.0
2025-06-08,43022.34933333334,44125.0,MSE_Only,mean,0.01,43503.059
2025-06-09,43008.27866666667,44389.0,MSE_Only,mean,0.01,43484.125
2025-06-10,43099.0,44807.0,MSE_Only,mean,0.01,43544.672
2025-06-11,43099.642,44776.0,MSE_Only,mean,0.01,43559.574
2025-06-12,43140.108,45098.0,MSE_Only,mean,0.01,43625.121
2025-06-13,42726.27333333333,45098.0,MSE_Only,mean,0.01,43085.07
