signal_threshold,rsi_overbought,rsi_oversold,accuracy,edge_pct,correct,total_tested,n_bullish,n_bearish,n_neutral,n_signals,signal_rate
0.4,65,35,0.4175257731958763,-8.24742268041237,81,194,195,0,135,195,0.5909090909090909
0.4,65,30,0.4175257731958763,-8.24742268041237,81,194,195,0,135,195,0.5909090909090909
0.4,65,25,0.4175257731958763,-8.24742268041237,81,194,195,0,135,195,0.5909090909090909
0.4,65,20,0.4175257731958763,-8.24742268041237,81,194,195,0,135,195,0.5909090909090909
0.35,65,25,0.4174757281553398,-8.252427184466022,86,206,207,0,123,207,0.6272727272727273
0.35,65,35,0.4174757281553398,-8.252427184466022,86,206,207,0,123,207,0.6272727272727273
0.35,65,30,0.4174757281553398,-8.252427184466022,86,206,207,0,123,207,0.6272727272727273
0.35,65,20,0.4174757281553398,-8.252427184466022,86,206,207,0,123,207,0.6272727272727273
0.25,65,20,0.4036697247706422,-9.633027522935777,88,218,219,0,111,219,0.6636363636363637
0.25,65,25,0.4036697247706422,-9.633027522935777,88,218,219,0,111,219,0.6636363636363637
0.25,65,30,0.4036697247706422,-9.633027522935777,88,218,219,0,111,219,0.6636363636363637
0.25,65,35,0.4036697247706422,-9.633027522935777,88,218,219,0,111,219,0.6636363636363637
0.3,65,20,0.4027777777777778,-9.722222222222221,87,216,217,0,113,217,0.6575757575757576
0.3,65,35,0.4027777777777778,-9.722222222222221,87,216,217,0,113,217,0.6575757575757576
0.3,65,30,0.4027777777777778,-9.722222222222221,87,216,217,0,113,217,0.6575757575757576
0.3,65,25,0.4027777777777778,-9.722222222222221,87,216,217,0,113,217,0.6575757575757576
0.15,65,35,0.4009009009009009,-9.909909909909908,89,222,223,0,107,223,0.6757575757575758
0.1,65,25,0.4009009009009009,-9.909909909909908,89,222,223,0,107,223,0.6757575757575758
0.1,65,20,0.4009009009009009,-9.909909909909908,89,222,223,0,107,223,0.6757575757575758
0.15,65,30,0.4009009009009009,-9.909909909909908,89,222,223,0,107,223,0.6757575757575758
0.1,65,30,0.4009009009009009,-9.909909909909908,89,222,223,0,107,223,0.6757575757575758
0.1,65,35,0.4009009009009009,-9.909909909909908,89,222,223,0,107,223,0.6757575757575758
0.15,65,25,0.4009009009009009,-9.909909909909908,89,222,223,0,107,223,0.6757575757575758
0.15,65,20,0.4009009009009009,-9.909909909909908,89,222,223,0,107,223,0.6757575757575758
0.35,70,35,0.39915966386554624,-10.084033613445376,95,238,239,0,91,239,0.7242424242424242
0.35,70,20,0.39915966386554624,-10.084033613445376,95,238,239,0,91,239,0.7242424242424242
0.35,70,25,0.39915966386554624,-10.084033613445376,95,238,239,0,91,239,0.7242424242424242
0.35,70,30,0.39915966386554624,-10.084033613445376,95,238,239,0,91,239,0.7242424242424242
0.4,70,25,0.39823008849557523,-10.176991150442477,90,226,227,0,103,227,0.6878787878787879
0.4,70,35,0.39823008849557523,-10.176991150442477,90,226,227,0,103,227,0.6878787878787879
0.4,70,30,0.39823008849557523,-10.176991150442477,90,226,227,0,103,227,0.6878787878787879
0.4,70,20,0.39823008849557523,-10.176991150442477,90,226,227,0,103,227,0.6878787878787879
0.2,65,20,0.39819004524886875,-10.180995475113125,88,221,222,0,108,222,0.6727272727272727
0.2,65,25,0.39819004524886875,-10.180995475113125,88,221,222,0,108,222,0.6727272727272727
0.2,65,30,0.39819004524886875,-10.180995475113125,88,221,222,0,108,222,0.6727272727272727
0.2,65,35,0.39819004524886875,-10.180995475113125,88,221,222,0,108,222,0.6727272727272727
0.35,75,30,0.3923076923076923,-10.76923076923077,102,260,261,0,69,261,0.7909090909090909
0.35,75,35,0.3923076923076923,-10.76923076923077,102,260,261,0,69,261,0.7909090909090909
0.35,75,25,0.3923076923076923,-10.76923076923077,102,260,261,0,69,261,0.7909090909090909
0.35,75,20,0.3923076923076923,-10.76923076923077,102,260,261,0,69,261,0.7909090909090909
0.4,75,35,0.3911290322580645,-10.88709677419355,97,248,249,0,81,249,0.7545454545454545
0.4,75,30,0.3911290322580645,-10.88709677419355,97,248,249,0,81,249,0.7545454545454545
0.4,75,20,0.3911290322580645,-10.88709677419355,97,248,249,0,81,249,0.7545454545454545
0.4,75,25,0.3911290322580645,-10.88709677419355,97,248,249,0,81,249,0.7545454545454545
0.25,70,35,0.388,-11.2,97,250,251,0,79,251,0.7606060606060606
0.25,70,20,0.388,-11.2,97,250,251,0,79,251,0.7606060606060606
0.25,70,25,0.388,-11.2,97,250,251,0,79,251,0.7606060606060606
0.25,70,30,0.388,-11.2,97,250,251,0,79,251,0.7606060606060606
0.3,70,25,0.3870967741935484,-11.290322580645162,96,248,249,0,81,249,0.7545454545454545
0.3,70,20,0.3870967741935484,-11.290322580645162,96,248,249,0,81,249,0.7545454545454545
0.3,70,30,0.3870967741935484,-11.290322580645162,96,248,249,0,81,249,0.7545454545454545
0.3,70,35,0.3870967741935484,-11.290322580645162,96,248,249,0,81,249,0.7545454545454545
0.15,70,30,0.3858267716535433,-11.41732283464567,98,254,255,0,75,255,0.7727272727272727
0.15,70,25,0.3858267716535433,-11.41732283464567,98,254,255,0,75,255,0.7727272727272727
0.1,70,20,0.3858267716535433,-11.41732283464567,98,254,255,0,75,255,0.7727272727272727
