date,price,signal,net_prob,strength,strength_tier,bullish_slopes,bearish_slopes,total_slopes,agreement_ratio,agreement_tier,correct_1d,actual_move_1d,correct_3d,actual_move_3d,correct_5d,actual_move_5d,correct_10d,actual_move_10d
2025-03-02,43889.0,BULLISH,0.7222222222222222,0.7222222222222222,strong,31,5,36,0.8611111111111112,majority,False,-1.4627811068832737,False,-1.8751851261136048,False,-2.39467748182916,False,-5.682517259449976
2025-03-03,43247.0,BULLISH,0.2222222222222222,0.2222222222222222,medium,22,14,36,0.6111111111111112,majority,False,-1.5099313247161654,False,-1.4590607440978565,False,-0.9457303396767406,False,-5.512521099729461
2025-03-04,42594.0,BULLISH,0.7777777777777778,0.7777777777777778,strong,32,4,36,0.8888888888888888,majority,True,1.1081372963328169,True,0.572850636239846,True,0.572850636239846,False,-2.544959383950791
2025-03-05,43066.0,BULLISH,0.5,0.5,strong,27,9,36,0.75,majority,False,-1.044907815910463,False,-0.5294199600613013,False,-2.598337435564018,False,-3.6130590256815123
2025-03-06,42616.0,BULLISH,0.3888888888888889,0.3888888888888889,medium,25,11,36,0.6944444444444444,majority,True,0.5209311056880045,True,0.5209311056880045,False,-2.6773981603153745,False,-2.59526938239159
2025-03-07,42838.0,BULLISH,0.3888888888888889,0.3888888888888889,medium,25,11,36,0.6944444444444444,majority,False,0.0,False,-2.079929034968953,False,-3.3685045987207616,False,-1.4309725010504692
2025-03-08,42838.0,BULLISH,0.3333333333333333,0.3333333333333333,medium,24,12,36,0.6666666666666666,majority,False,0.0,False,-3.1817545170176014,False,-4.610392642046781,False,-2.1009384191605585
2025-03-09,42838.0,BULLISH,0.5,0.5,strong,27,9,36,0.75,majority,False,-2.079929034968953,False,-3.3685045987207616,False,-3.1000513562724685,False,-1.1858630188150707
2025-03-10,41947.0,BULLISH,0.3888888888888889,0.3888888888888889,medium,25,11,36,0.6944444444444444,majority,False,-1.1252294562185616,False,-2.5842134121629674,False,-1.0417908312871003,True,0.8081626814790093
2025-03-11,41475.0,BULLISH,0.6666666666666666,0.6666666666666666,strong,30,6,36,0.8333333333333334,majority,False,-0.19288728149487644,True,0.08438818565400844,True,0.08438818565400844,True,2.0349608197709466
2025-03-12,41395.0,BULLISH,0.3333333333333333,0.3333333333333333,medium,24,12,36,0.6666666666666666,majority,False,-1.2851793694890687,True,0.27781132987075735,True,2.0050730764585096,True,2.232153641744172
2025-03-13,40863.0,BULLISH,0.6666666666666666,0.6666666666666666,strong,30,6,36,0.8333333333333334,majority,True,1.583339451337396,True,1.583339451337396,True,2.63074174681252,True,3.563125565915376
2025-03-14,41510.0,BULLISH,0.3333333333333333,0.3333333333333333,medium,24,12,36,0.6666666666666666,majority,False,0.0,True,1.7224765116839316,True,1.975427607805348,True,3.3437725849192965
2025-03-15,41510.0,BULLISH,0.3888888888888889,0.3888888888888889,medium,25,11,36,0.6944444444444444,majority,False,0.0,True,1.0310768489520596,True,1.869429053240183,True,3.36304504938569
