date,prediction,actual,best_strat,best_agg,best_q,best_child_prediction
2025-03-02,37696.34,32345.0,MSE_Only,mean,0.01,37547.035
2025-03-03,37219.4005,32345.0,MSE_Only,mean,0.01,37299.781
2025-03-04,36870.24,32340.0,MSE_Only,mean,0.01,36933.664
2025-03-05,37560.697,32345.0,MSE_Only,mean,0.01,37667.074
2025-03-06,36687.539000000004,35000.0,MSE_Only,mean,0.01,36690.508
2025-03-07,37033.961,33530.0,MSE_Only,mean,0.01,37070.387
2025-03-08,37012.9845,33815.0,MSE_Only,mean,0.01,37021.25
2025-03-09,36913.841499999995,33815.0,MSE_Only,mean,0.01,36906.445
2025-03-10,36149.7465,33815.0,MSE_Only,mean,0.01,36198.891
2025-03-11,36161.206999999995,34410.0,MSE_Only,mean,0.01,36170.445
2025-03-12,36750.506,34590.0,MSE_Only,mean,0.01,36692.379
2025-03-13,36281.494000000006,33950.0,MSE_Only,mean,0.01,36173.402
2025-03-14,37157.291,34570.0,MSE_Only,mean,0.01,37074.445
2025-03-15,37105.4375,34570.0,MSE_Only,mean,0.01,37026.766
2025-03-16,37080.5335,34570.0,MSE_Only,mean,0.01,36986.297
2025-03-17,37466.039,34570.0,MSE_Only,mean,0.01,37423.219
2025-03-18,37330.3865,34255.0,MSE_Only,mean,0.01,37300.285
2025-03-19,37464.043,34945.0,MSE_Only,mean,0.01,37401.441
2025-03-20,37170.70225,35455.0,MSE_Only,mean,0.02,37202.27
2025-03-21,37153.9395,35660.0,MSE_Only,median,0.02,37124.082
2025-03-22,37096.459,36105.0,MSE_Only,mean,0.01,37111.191
2025-03-23,37098.730500000005,36105.0,MSE_Only,mean,0.01,37102.023
2025-03-24,37317.6835,36105.0,MSE_Only,median,0.02,37494.844
2025-03-25,37417.16,36005.0,MSE_Only,median,0.02,37635.414
2025-03-26,37095.449,36155.0,MSE_Only,mean,0.01,36943.328
2025-03-27,37183.947,36235.0,MSE_Only,mean,0.01,36830.566
2025-03-28,36175.756,36915.0,MSE_Only,mean,0.01,35906.504
2025-03-29,36102.8165,37280.0,MSE_Only,mean,0.01,35826.797
2025-03-30,36165.2675,37280.0,MSE_Only,mean,0.01,35961.594
2025-03-31,35784.8615,37280.0,MSE_Only,mean,0.01,35454.297
2025-04-01,35648.123,37220.0,MSE_Only,mean,0.01,35403.199
2025-04-02,35794.996499999994,36820.0,MSE_Only,mean,0.01,35561.848
2025-04-03,33697.295,37030.0,MSE_Only,mean,0.01,33935.465
2025-04-04,32143.912,37535.0,MSE_Only,mean,0.01,32325.664
2025-04-05,32215.6165,37530.0,MSE_Only,mean,0.01,32347.436
2025-04-06,32110.855499999998,37530.0,MSE_Only,mean,0.01,32346.547
2025-04-07,32543.724000000002,37530.0,MSE_Only,mean,0.01,32793.352
2025-04-08,32571.1335,38820.0,MSE_Only,mean,0.01,32724.484
2025-04-09,35385.59,38410.0,MSE_Only,mean,0.01,35490.508
2025-04-10,33900.887,37765.0,MSE_Only,mean,0.01,33698.188
2025-04-11,35634.19236363637,37810.0,Accuracy_Heavy,mean,0.05,34048.492
2025-04-12,36850.996,38035.0,Accuracy_Heavy,mean,0.01,35166.512
2025-04-13,36741.7175,38035.0,Accuracy_Heavy,mean,0.02,37579.879
2025-04-14,38626.72875,38035.0,Accuracy_Heavy,mean,0.02,39763.637
2025-04-15,39663.81125,37635.0,Accuracy_Heavy,mean,0.02,41202.34
2025-04-16,39178.61225,37650.0,Accuracy_Heavy,mean,0.02,40883.734
2025-04-17,38146.489,36955.0,Accuracy_Heavy,mean,0.02,39177.531
2025-04-18,40277.58825,37075.0,Accuracy_Heavy,mean,0.02,42223.895
2025-04-19,40180.4925,36890.0,Accuracy_Heavy,mean,0.02,42223.895
2025-04-20,38308.509999999995,36890.0,Accuracy_Heavy,mean,0.01,34393.125
2025-04-21,35980.11818181818,36890.0,MSE_Only,mean,0.05,31576.135
2025-04-22,37138.79490909092,36890.0,Accuracy_Heavy,mean,0.05,35231.566
2025-04-23,35861.69713043479,38375.0,MSE_Only,mean,0.1,36720.828
2025-04-24,36821.6835,37885.0,Accuracy_Heavy,mean,0.01,35544.52
2025-04-25,38316.635,37940.0,Accuracy_Heavy,mean,0.01,36501.738
2025-04-26,38189.1895,37725.0,Accuracy_Heavy,mean,0.01,36764.637
2025-04-27,38196.7595,37725.0,Accuracy_Heavy,mean,0.01,38351.168
2025-04-28,38355.174,37725.0,Accuracy_Heavy,mean,0.01,38412.922
2025-04-29,38614.2165,37825.0,Accuracy_Heavy,mean,0.01,37636.098
2025-04-30,38263.10925,37775.0,Accuracy_Heavy,mean,0.02,37726.836
2025-05-01,38577.2295,37590.0,Accuracy_Heavy,mean,0.02,37893.125
2025-05-02,37286.771363636355,37495.0,Accuracy_Heavy,mean,0.05,38239.434
2025-05-03,37329.031363636364,38125.0,Accuracy_Heavy,mean,0.05,38464.023
2025-05-04,37016.26463636363,38125.0,Accuracy_Heavy,mean,0.05,37125.547
2025-05-05,36937.28763636364,38125.0,Accuracy_Heavy,mean,0.05,36955.336
2025-05-06,36613.011695652174,38360.0,MSE_Only,mean,0.1,36676.5
2025-05-07,36862.74178260869,38495.0,MSE_Only,mean,0.1,36810.406
2025-05-08,37803.873,38455.0,MSE_Only,mean,0.01,37836.941
2025-05-09,37525.7385,38310.0,MSE_Only,mean,0.01,37538.844
2025-05-10,31869.915999999997,38060.0,MSE_Only,mean,0.01,31855.305
2025-05-11,34945.3655,38060.0,MSE_Only,mean,0.01,39163.766
2025-05-12,39157.57034782609,38060.0,Accuracy_Heavy,mean,0.1,40504.734
2025-05-13,38513.259999999995,38640.0,Accuracy_Heavy,mean,0.1,39930.305
2025-05-14,38296.5955,38360.0,MSE_Only,mean,0.02,39256.953
2025-05-15,38485.4005,38745.0,MSE_Only,mean,0.01,39300.453
2025-05-16,38423.715,38745.0,MSE_Only,mean,0.01,39507.621
2025-05-17,38956.2385,38405.0,MSE_Only,mean,0.01,39978.543
2025-05-18,39351.967000000004,38405.0,MSE_Only,mean,0.01,38703.922
2025-05-19,39422.5195,38405.0,MSE_Only,mean,0.01,39370.891
2025-05-20,38992.0995,38695.0,MSE_Only,mean,0.01,38561.254
2025-05-21,38247.230500000005,38865.0,MSE_Only,mean,0.01,37926.195
2025-05-22,38147.3265,39030.0,MSE_Only,mean,0.01,37651.512
2025-05-23,37748.109500000006,39835.0,MSE_Only,mean,0.01,37193.641
2025-05-24,37961.1095,40625.0,MSE_Only,mean,0.01,37759.348
2025-05-25,38124.3145,40625.0,MSE_Only,mean,0.01,38055.457
2025-05-26,38183.9905,40625.0,MSE_Only,mean,0.01,38250.508
2025-05-27,40078.873,40395.0,MSE_Only,mean,0.01,39750.242
2025-05-28,39770.532999999996,39750.0,MSE_Only,mean,0.01,40281.992
2025-05-29,38390.031,39800.0,MSE_Only,mean,0.01,37695.23
2025-05-30,37706.8105,40205.0,MSE_Only,mean,0.01,36569.734
2025-05-31,38096.1815,40205.0,MSE_Only,mean,0.01,38793.062
2025-06-01,38125.994,40205.0,MSE_Only,mean,0.01,38971.992
2025-06-02,38388.83,40205.0,MSE_Only,mean,0.01,39046.738
2025-06-03,37692.9825,39540.0,MSE_Only,mean,0.01,38909.434
2025-06-04,37565.308999999994,40055.0,MSE_Only,mean,0.01,38567.973
2025-06-05,37284.59,39985.0,Accuracy_Heavy,mean,0.01,38282.684
2025-06-06,38393.5195,39750.0,Accuracy_Heavy,mean,0.01,39009.324
2025-06-07,38850.613,39560.0,MSE_Only,mean,0.01,39035.941
2025-06-08,38963.456999999995,39560.0,MSE_Only,mean,0.01,39162.047
2025-06-09,39285.095499999996,39560.0,MSE_Only,mean,0.01,39423.488
2025-06-10,39395.230500000005,39565.0,MSE_Only,mean,0.01,39534.949
2025-06-11,39286.8245,39665.0,MSE_Only,mean,0.01,39417.516
2025-06-12,39217.414000000004,39610.0,MSE_Only,mean,0.01,39098.887
2025-06-13,39092.95725,40095.0,MSE_Only,mean,0.02,38654.293
2025-06-14,38910.2295,39750.0,MSE_Only,mean,0.02,38636.262
2025-06-15,38853.75975,39750.0,MSE_Only,mean,0.02,38721.91
2025-06-16,39458.9735,39750.0,MSE_Only,mean,0.02,39289.824
2025-06-17,39362.1185,39840.0,MSE_Only,mean,0.02,38933.637
2025-06-18,39657.608250000005,39655.0,MSE_Only,mean,0.02,39486.25
2025-06-19,39785.36899999999,41700.0,MSE_Only,mean,0.02,39703.367
2025-06-20,39315.0805,41655.0,MSE_Only,mean,0.01,39470.766
2025-06-21,39774.166,41430.0,MSE_Only,mean,0.01,39491.406
2025-06-22,39347.898499999996,41430.0,MSE_Only,mean,0.01,39302.574
2025-06-23,40042.3925,41430.0,MSE_Only,mean,0.01,39710.223
2025-06-24,39880.962499999994,41430.0,MSE_Only,mean,0.01,39907.234
2025-06-25,40113.73325,40690.0,MSE_Only,mean,0.02,40183.672
2025-06-26,41203.092000000004,40680.0,MSE_Only,mean,0.01,41193.336
2025-06-27,41845.727,40795.0,Profit_Heavy,median,0.05,41966.422
2025-06-28,42055.316,40045.0,Profit_Heavy,median,0.05,42207.43
2025-06-29,42132.38475,40045.0,Risk_Heavy,mean,0.02,42416.129
2025-06-30,41243.205,40045.0,Risk_Heavy,mean,0.01,42019.629
2025-07-01,41005.581999999995,40625.0,Balanced,mean,0.01,41453.309
2025-07-02,41010.389749999995,40570.0,Balanced,mean,0.02,41315.797
2025-07-03,41426.09375,40890.0,Balanced,mean,0.02,41766.973
2025-07-04,41837.54975,41125.0,MSE_Only,mean,0.02,41894.414
2025-07-05,41970.242,42315.0,MSE_Only,mean,0.01,41970.242
2025-07-06,41775.273,42315.0,MSE_Only,mean,0.01,41775.273
2025-07-07,41416.395,42315.0,MSE_Only,mean,0.01,41416.395
2025-07-08,41677.02,42325.0,Accuracy_Heavy,mean,0.01,41677.02
2025-07-09,41832.027,43295.0,Accuracy_Heavy,mean,0.01,41832.027
2025-07-10,41395.23,43170.0,Accuracy_Heavy,median,0.02,41395.23
2025-07-11,41201.445,42865.0,Accuracy_Heavy,mean,0.01,41201.445
2025-07-12,41179.398,43475.0,Accuracy_Heavy,mean,0.01,41179.398
2025-07-13,41208.52,43475.0,Accuracy_Heavy,mean,0.01,41208.52
2025-07-14,41237.922,43475.0,MSE_Only,mean,0.01,41237.922
2025-07-15,41443.957,43830.0,MSE_Only,mean,0.01,41443.957
2025-07-16,41260.809,43410.0,MSE_Only,mean,0.01,41260.809
2025-07-17,41933.211,42860.0,MSE_Only,mean,0.01,41933.211
2025-07-18,41353.73,42670.0,MSE_Only,mean,0.01,41353.73
2025-07-19,41523.629,42980.0,MSE_Only,mean,0.01,41523.629
2025-07-20,41319.09,42980.0,MSE_Only,mean,0.01,41319.09
2025-07-21,41511.406,42980.0,MSE_Only,mean,0.01,41511.406
2025-07-22,41294.027,42550.0,MSE_Only,mean,0.01,41294.027
2025-07-23,43388.949,42515.0,MSE_Only,mean,0.01,43388.949
2025-07-24,43587.387,42580.0,MSE_Only,mean,0.01,43587.387
2025-07-25,43201.82,42935.0,MSE_Only,mean,0.01,43201.82
2025-07-26,43438.523,42100.0,MSE_Only,mean,0.01,43438.523
2025-07-27,43204.246,42100.0,MSE_Only,mean,0.01,43204.246
2025-07-28,43043.57025,42100.0,MSE_Only,mean,0.02,43149.871
2025-07-29,42311.62175,42100.0,MSE_Only,mean,0.02,42443.695
2025-07-30,42321.80875,42100.0,MSE_Only,mean,0.02,42476.289
2025-07-31,42310.946500000005,42120.0,MSE_Only,mean,0.02,42412.555
2025-08-01,41405.76375,42895.0,MSE_Only,mean,0.02,41485.543
2025-08-02,41293.5645,42775.0,MSE_Only,mean,0.02,41336.75
2025-08-03,41348.18075,42775.0,MSE_Only,mean,0.02,41428.668
2025-08-04,42102.344750000004,42775.0,MSE_Only,mean,0.02,42188.746
2025-08-05,41811.5545,43880.0,MSE_Only,mean,0.01,41731.484
2025-08-06,42081.9125,43395.0,MSE_Only,mean,0.01,41956.723
2025-08-07,42445.99125,43795.0,MSE_Only,mean,0.02,42532.883
2025-08-08,43691.056500000006,44620.0,MSE_Only,mean,0.02,43764.035
2025-08-09,43480.539749999996,44535.0,MSE_Only,mean,0.02,43504.605
2025-08-10,43506.2165,44535.0,MSE_Only,mean,0.02,43525.23
2025-08-11,43687.0165,44535.0,MSE_Only,mean,0.02,43784.039
2025-08-12,44612.367,44740.0,MSE_Only,mean,0.02,44669.91
2025-08-13,44487.56174999999,44605.0,MSE_Only,mean,0.02,44551.301
2025-08-14,44069.619000000006,44660.0,MSE_Only,mean,0.02,44080.785
2025-08-15,44712.1795,45685.0,MSE_Only,mean,0.02,44708.078
2025-08-16,44870.9845,45100.0,Balanced,mean,0.02,44779.375
2025-08-17,44767.545750000005,45100.0,Accuracy_Heavy,mean,0.02,44798.785
2025-08-18,45261.27225,45100.0,MSE_Only,mean,0.02,45312.035
2025-08-19,45036.4685,45555.0,MSE_Only,mean,0.01,44740.277
2025-08-20,44466.1445,45395.0,MSE_Only,mean,0.01,44233.629
2025-08-21,44053.1075,45460.0,MSE_Only,mean,0.01,44100.258
2025-08-22,44405.980500000005,45460.0,MSE_Only,mean,0.01,44501.203
2025-08-23,44535.291,45215.0,MSE_Only,mean,0.01,44883.641
2025-08-24,43615.609363636366,45215.0,Profit_Heavy,mean,0.05,44838.238
2025-08-25,43798.1049090909,45215.0,Profit_Heavy,mean,0.05,43981.809
2025-08-26,44090.314000000006,45260.0,Profit_Heavy,mean,0.05,44066.465
2025-08-27,43761.054818181816,44940.0,Profit_Heavy,mean,0.05,43946.418
2025-08-28,44140.88409090909,44915.0,Profit_Heavy,mean,0.05,44566.887
2025-08-29,43400.31909090909,45175.0,Profit_Heavy,mean,0.05,43602.289
2025-08-30,44185.13518181819,46100.0,Profit_Heavy,mean,0.05,43684.988
2025-08-31,43948.75163636363,46100.0,Risk_Heavy,mean,0.05,43541.758
2025-09-01,43919.31754545454,46100.0,Risk_Heavy,mean,0.05,43576.551
2025-09-02,44012.75009090909,48665.0,Risk_Heavy,mean,0.05,43463.023
2025-09-03,43249.1565,48090.0,Accuracy_Heavy,mean,0.01,43536.602
2025-09-04,43239.91825,48215.0,Risk_Heavy,mean,0.02,44695.953
2025-09-05,43993.5355,48745.0,Accuracy_Heavy,mean,0.01,44326.426
2025-09-06,44473.182,46090.0,MSE_Only,mean,0.01,44827.977
2025-09-07,44356.7305,46090.0,MSE_Only,mean,0.01,44593.164
2025-09-08,45565.242,46090.0,MSE_Only,mean,0.01,45870.91
2025-09-09,44949.8305,47125.0,MSE_Only,mean,0.01,45078.145
2025-09-10,45349.7325,47095.0,MSE_Only,mean,0.01,45465.516
2025-09-11,46164.988,48100.0,Accuracy_Heavy,mean,0.01,46743.16
2025-09-12,46262.765499999994,48135.0,Accuracy_Heavy,mean,0.01,46371.734
2025-09-13,46744.094,48365.0,MSE_Only,mean,0.01,46475.887
2025-09-14,46714.7225,48365.0,MSE_Only,mean,0.01,46322.629
2025-09-15,46947.639,48365.0,MSE_Only,mean,0.01,46616.266
2025-09-16,46747.855500000005,49775.0,MSE_Only,mean,0.01,46311.949
2025-09-17,46576.713,49450.0,MSE_Only,mean,0.01,46758.844
2025-09-18,47678.92,48915.0,MSE_Only,mean,0.01,47867.863
2025-09-19,46842.244,49095.0,MSE_Only,mean,0.01,46784.488
2025-09-20,46795.861000000004,49635.0,MSE_Only,mean,0.01,46571.273
2025-09-21,46843.383,49635.0,MSE_Only,mean,0.01,46555.926
2025-09-22,48266.976500000004,49635.0,MSE_Only,mean,0.01,48074.398
2025-09-23,48231.1175,50575.0,MSE_Only,mean,0.01,48005.727
2025-09-24,48236.67,50785.0,MSE_Only,mean,0.01,48114.84
2025-09-25,48391.0785,51200.0,MSE_Only,mean,0.01,48000.137
2025-09-26,48174.734500000006,51405.0,MSE_Only,mean,0.01,47812.453
2025-09-27,48373.707,52360.0,MSE_Only,mean,0.01,48905.008
2025-09-28,48346.121,52360.0,MSE_Only,mean,0.01,48836.375
2025-09-29,48224.738,52360.0,MSE_Only,mean,0.01,48534.32
2025-09-30,47583.6995,52620.0,MSE_Only,mean,0.01,47522.805
2025-10-01,47514.115000000005,51265.0,MSE_Only,mean,0.01,47441.48
2025-10-02,47048.826,51280.0,MSE_Only,mean,0.01,46339.906
2025-10-03,47994.5665,50290.0,MSE_Only,mean,0.01,47150.828
2025-10-04,47986.516,50490.0,MSE_Only,mean,0.01,48810.188
2025-10-05,48009.9375,50490.0,MSE_Only,mean,0.01,48842.16
2025-10-06,50670.0545,50490.0,MSE_Only,mean,0.01,51543.207
