signal_threshold,rsi_overbought,rsi_oversold,accuracy,edge_pct,correct,total_tested,n_bullish,n_bearish,n_neutral,n_signals,signal_rate
0.1,65,30,0.4756756756756757,-2.43243243243243,88,185,163,24,144,187,0.5649546827794562
0.1,65,20,0.47368421052631576,-2.631578947368424,90,190,163,29,139,192,0.5800604229607251
0.1,70,30,0.4719626168224299,-2.8037383177570097,101,214,192,24,115,216,0.6525679758308157
0.1,65,25,0.4708994708994709,-2.9100529100529124,89,189,163,28,140,191,0.5770392749244713
0.1,70,20,0.4703196347031963,-2.9680365296803677,103,219,192,29,110,221,0.6676737160120846
0.1,70,25,0.46788990825688076,-3.211009174311924,102,218,192,28,111,220,0.6646525679758308
0.2,65,30,0.46368715083798884,-3.6312849162011163,83,179,161,20,150,181,0.5468277945619335
0.15,65,30,0.46368715083798884,-3.6312849162011163,83,179,161,20,150,181,0.5468277945619335
0.15,65,20,0.46195652173913043,-3.804347826086957,85,184,161,25,145,186,0.5619335347432024
0.2,65,20,0.46195652173913043,-3.804347826086957,85,184,161,25,145,186,0.5619335347432024
0.2,70,30,0.46116504854368934,-3.8834951456310662,95,206,188,20,123,208,0.6283987915407855
0.15,70,30,0.46116504854368934,-3.8834951456310662,95,206,188,20,123,208,0.6283987915407855
0.1,65,35,0.46111111111111114,-3.888888888888886,83,180,163,19,149,182,0.5498489425981873
0.2,70,20,0.4597156398104265,-4.028436018957349,97,211,188,25,118,213,0.6435045317220544
0.15,70,20,0.4597156398104265,-4.028436018957349,97,211,188,25,118,213,0.6435045317220544
0.1,70,35,0.45933014354066987,-4.066985645933014,96,209,192,19,120,211,0.6374622356495468
0.2,65,25,0.45901639344262296,-4.098360655737704,84,183,161,24,146,185,0.5589123867069486
0.15,65,25,0.45901639344262296,-4.098360655737704,84,183,161,24,146,185,0.5589123867069486
0.25,65,30,0.4583333333333333,-4.166666666666669,77,168,156,14,161,170,0.513595166163142
0.2,70,25,0.45714285714285713,-4.285714285714287,96,210,188,24,119,212,0.6404833836858006
0.15,70,25,0.45714285714285713,-4.285714285714287,96,210,188,24,119,212,0.6404833836858006
0.25,70,30,0.4564102564102564,-4.35897435897436,89,195,183,14,134,197,0.595166163141994
0.25,65,25,0.45614035087719296,-4.385964912280704,78,171,156,17,158,173,0.5226586102719033
0.25,65,20,0.45614035087719296,-4.385964912280704,78,171,156,17,158,173,0.5226586102719033
0.1,75,30,0.4553191489361702,-4.468085106382979,107,235,213,24,94,237,0.716012084592145
0.25,70,25,0.45454545454545453,-4.545454545454547,90,198,183,17,131,200,0.6042296072507553
0.25,70,20,0.45454545454545453,-4.545454545454547,90,198,183,17,131,200,0.6042296072507553
0.1,75,20,0.45416666666666666,-4.583333333333334,109,240,213,29,89,242,0.7311178247734139
0.1,75,25,0.45188284518828453,-4.811715481171547,108,239,213,28,90,241,0.7280966767371602
0.4,70,30,0.45180722891566266,-4.819277108433734,75,166,162,6,163,168,0.5075528700906344
0.4,65,30,0.4507042253521127,-4.929577464788731,64,142,138,6,187,144,0.4350453172205438
0.4,70,20,0.4491017964071856,-5.089820359281438,75,167,162,7,162,169,0.5105740181268882
0.4,70,25,0.4491017964071856,-5.089820359281438,75,167,162,7,162,169,0.5105740181268882
0.25,65,35,0.4484848484848485,-5.151515151515151,74,165,156,11,164,167,0.5045317220543807
0.2,65,35,0.4482758620689655,-5.1724137931034475,78,174,161,15,155,176,0.5317220543806647
0.15,65,35,0.4482758620689655,-5.1724137931034475,78,174,161,15,155,176,0.5317220543806647
0.25,70,35,0.4479166666666667,-5.208333333333331,86,192,183,11,137,194,0.5861027190332326
0.2,70,35,0.44776119402985076,-5.223880597014924,90,201,188,15,128,203,0.6132930513595166
0.15,70,35,0.44776119402985076,-5.223880597014924,90,201,188,15,128,203,0.6132930513595166
0.4,65,20,0.44755244755244755,-5.244755244755245,64,143,138,7,186,145,0.4380664652567976
0.4,65,25,0.44755244755244755,-5.244755244755245,64,143,138,7,186,145,0.4380664652567976
0.3,70,30,0.44751381215469616,-5.248618784530384,81,181,174,9,148,183,0.552870090634441
0.35,70,30,0.44751381215469616,-5.248618784530384,81,181,174,9,148,183,0.552870090634441
0.35,70,25,0.44565217391304346,-5.434782608695654,82,184,174,12,145,186,0.5619335347432024
0.35,70,20,0.44565217391304346,-5.434782608695654,82,184,174,12,145,186,0.5619335347432024
0.3,70,25,0.44565217391304346,-5.434782608695654,82,184,174,12,145,186,0.5619335347432024
0.3,70,20,0.44565217391304346,-5.434782608695654,82,184,174,12,145,186,0.5619335347432024
0.35,65,30,0.44516129032258067,-5.483870967741932,69,155,148,9,174,157,0.4743202416918429
0.3,65,30,0.44516129032258067,-5.483870967741932,69,155,148,9,174,157,0.4743202416918429
0.4,70,35,0.4451219512195122,-5.48780487804878,73,164,162,4,165,166,0.5015105740181269
0.15,75,30,0.44493392070484583,-5.5066079295154164,101,227,209,20,102,229,0.6918429003021148
0.2,75,30,0.44493392070484583,-5.5066079295154164,101,227,209,20,102,229,0.6918429003021148
0.15,75,20,0.44396551724137934,-5.603448275862066,103,232,209,25,97,234,0.7069486404833837
0.2,75,20,0.44396551724137934,-5.603448275862066,103,232,209,25,97,234,0.7069486404833837
0.1,75,35,0.4434782608695652,-5.6521739130434785,102,230,213,19,99,232,0.7009063444108762
0.35,65,20,0.4430379746835443,-5.696202531645572,70,158,148,12,171,160,0.48338368580060426
0.3,65,20,0.4430379746835443,-5.696202531645572,70,158,148,12,171,160,0.48338368580060426
0.35,65,25,0.4430379746835443,-5.696202531645572,70,158,148,12,171,160,0.48338368580060426
0.3,65,25,0.4430379746835443,-5.696202531645572,70,158,148,12,171,160,0.48338368580060426
0.4,65,35,0.44285714285714284,-5.714285714285716,62,140,138,4,189,142,0.42900302114803623
0.2,75,25,0.44155844155844154,-5.844155844155846,102,231,209,24,98,233,0.7039274924471299
0.15,75,25,0.44155844155844154,-5.844155844155846,102,231,209,24,98,233,0.7039274924471299
0.3,70,35,0.441340782122905,-5.8659217877095,79,179,174,7,150,181,0.5468277945619335
0.35,70,35,0.441340782122905,-5.8659217877095,79,179,174,7,150,181,0.5468277945619335
0.25,75,30,0.4398148148148148,-6.018518518518517,95,216,204,14,113,218,0.6586102719033232
0.25,75,20,0.4383561643835616,-6.164383561643838,96,219,204,17,110,221,0.6676737160120846
0.25,75,25,0.4383561643835616,-6.164383561643838,96,219,204,17,110,221,0.6676737160120846
0.3,65,35,0.43790849673202614,-6.209150326797386,67,153,148,7,176,155,0.46827794561933533
0.35,65,35,0.43790849673202614,-6.209150326797386,67,153,148,7,176,155,0.46827794561933533
0.2,75,35,0.43243243243243246,-6.756756756756754,96,222,209,15,107,224,0.676737160120846
0.15,75,35,0.43243243243243246,-6.756756756756754,96,222,209,15,107,224,0.676737160120846
0.25,75,35,0.431924882629108,-6.8075117370892,92,213,204,11,116,215,0.649546827794562
0.1,80,30,0.42803030303030304,-7.196969696969696,113,264,242,24,65,266,0.8036253776435045
0.35,75,30,0.42786069651741293,-7.213930348258707,86,201,194,9,128,203,0.6132930513595166
0.3,75,30,0.42786069651741293,-7.213930348258707,86,201,194,9,128,203,0.6132930513595166
0.1,80,20,0.4275092936802974,-7.249070631970262,115,269,242,29,60,271,0.8187311178247734
0.4,75,30,0.42702702702702705,-7.297297297297295,79,185,181,6,144,187,0.5649546827794562
0.35,75,20,0.4264705882352941,-7.35294117647059,87,204,194,12,125,206,0.622356495468278
0.3,75,25,0.4264705882352941,-7.35294117647059,87,204,194,12,125,206,0.622356495468278
0.3,75,20,0.4264705882352941,-7.35294117647059,87,204,194,12,125,206,0.622356495468278
0.35,75,25,0.4264705882352941,-7.35294117647059,87,204,194,12,125,206,0.622356495468278
0.1,80,25,0.4253731343283582,-7.462686567164178,114,268,242,28,61,270,0.8157099697885196
0.4,75,25,0.42473118279569894,-7.526881720430106,79,186,181,7,143,188,0.56797583081571
0.4,75,20,0.42473118279569894,-7.526881720430106,79,186,181,7,143,188,0.56797583081571
0.3,75,35,0.4221105527638191,-7.788944723618091,84,199,194,7,130,201,0.6072507552870091
0.35,75,35,0.4221105527638191,-7.788944723618091,84,199,194,7,130,201,0.6072507552870091
0.4,75,35,0.4207650273224044,-7.9234972677595605,77,183,181,4,146,185,0.5589123867069486
