date,prediction,actual,best_strat,best_agg,best_q,best_child_prediction
2025-03-02,2866.194,3001.1,MSE_Only,mean,0.01,2859.021
2025-03-03,2936.8107142857143,3001.1,MSE_Only,mean,0.02,2930.125
2025-03-04,2961.190666666667,3006.1,MSE_Only,mean,0.01,2993.606
2025-03-05,2961.7164285714284,3040.8,MSE_Only,mean,0.02,2971.083
2025-03-06,2951.6438571428575,3041.2,MSE_Only,mean,0.02,2956.916
2025-03-07,2937.4805714285717,3043.8,MSE_Only,mean,0.02,2949.361
2025-03-08,2949.378,3021.4,MSE_Only,mean,0.01,2925.594
2025-03-09,2954.4410000000003,3021.4,MSE_Only,mean,0.01,2911.962
2025-03-10,2931.6773333333335,3021.4,MSE_Only,mean,0.01,2967.221
2025-03-11,2957.6453333333334,3015.6,MSE_Only,mean,0.01,2981.368
2025-03-12,2979.0346666666665,3025.9,MSE_Only,mean,0.01,3028.961
2025-03-13,3003.824,3022.5,MSE_Only,mean,0.01,3023.154
2025-03-14,3013.1258571428575,3061.0,MSE_Only,mean,0.02,3019.3
2025-03-15,2998.619,3114.3,MSE_Only,mean,0.01,3016.884
2025-03-16,2996.728,3114.3,MSE_Only,median,0.01,2996.728
2025-03-17,3025.4996666666666,3114.3,MSE_Only,mean,0.01,2994.732
2025-03-18,3061.2212857142854,3150.3,MSE_Only,mean,0.02,3047.601
2025-03-19,3061.08,3146.0,MSE_Only,mean,0.01,3036.325
2025-03-20,3073.1253333333334,3166.2,MSE_Only,mean,0.01,3079.287
2025-03-21,3039.152,3121.7,MSE_Only,mean,0.01,3023.411
2025-03-22,3064.9354285714285,3035.4,MSE_Only,mean,0.02,3026.831
2025-03-23,3056.3305714285716,3035.4,MSE_Only,mean,0.02,3020.667
2025-03-24,3056.2544285714284,3035.4,MSE_Only,mean,0.02,3049.515
2025-03-25,3050.527666666667,2973.6,MSE_Only,mean,0.01,3046.662
2025-03-26,3074.9673333333335,2990.2,MSE_Only,mean,0.01,3097.2
2025-03-27,3090.6683333333335,3079.4,MSE_Only,mean,0.01,3099.116
2025-03-28,3130.9573333333333,3177.5,MSE_Only,mean,0.01,3151.076
2025-03-29,3140.0409999999997,3244.6,MSE_Only,mean,0.01,3169.053
2025-03-30,3138.0939999999996,3244.6,Accuracy_Heavy,mean,0.01,3171.306
2025-03-31,3166.783,3244.6,Accuracy_Heavy,mean,0.01,3155.057
2025-04-01,3178.183,3226.3,MSE_Only,median,0.02,3157.542
2025-04-02,3202.363,3240.4,MSE_Only,median,0.05,3202.363
2025-04-03,3158.756,3346.4,MSE_Only,median,0.05,3158.756
2025-04-04,3097.87,3328.4,MSE_Only,median,0.02,3097.87
2025-04-05,3104.825,3328.4,MSE_Only,median,0.01,3104.825
2025-04-06,3104.372,3328.4,MSE_Only,median,0.01,3106.886
2025-04-07,3040.811,3328.4,MSE_Only,median,0.01,3038.165
2025-04-08,3059.582,3425.3,MSE_Only,median,0.01,3058.672
2025-04-09,3145.212,3419.4,MSE_Only,median,0.01,3148.726
2025-04-10,3229.0946666666664,3294.1,MSE_Only,mean,0.01,3249.969
2025-04-11,3317.46,3348.6,MSE_Only,median,0.01,3317.436
2025-04-12,3318.281,3298.4,MSE_Only,median,0.01,3322.561
2025-04-13,3302.2344285714285,3298.4,MSE_Only,mean,0.02,3314.641
2025-04-14,3282.1411428571423,3298.4,MSE_Only,mean,0.02,3294.57
2025-04-15,3305.802,3347.7,MSE_Only,median,0.01,3304.916
2025-04-16,3402.915,3333.6,MSE_Only,median,0.01,3400.829
2025-04-17,3379.6613333333335,3319.1,MSE_Only,mean,0.01,3377.894
2025-04-18,3365.5489999999995,3222.2,MSE_Only,mean,0.01,3365.06
2025-04-19,3347.2486666666664,3243.3,MSE_Only,mean,0.01,3355.192
2025-04-20,3348.697666666667,3243.3,MSE_Only,mean,0.01,3334.49
2025-04-21,3444.616666666667,3243.3,MSE_Only,mean,0.01,3442.875
2025-04-22,3422.5679999999998,3322.3,MSE_Only,mean,0.01,3396.901
2025-04-23,3308.9123333333337,3422.8,MSE_Only,mean,0.01,3314.034
2025-04-24,3355.0376666666666,3391.9,MSE_Only,mean,0.01,3341.38
2025-04-25,3297.7353333333335,3306.0,MSE_Only,mean,0.01,3287.612
2025-04-26,3298.1696666666667,3344.0,MSE_Only,mean,0.01,3293.887
2025-04-27,3297.2703333333334,3344.0,MSE_Only,mean,0.01,3300.962
2025-04-28,3342.656333333334,3344.0,MSE_Only,mean,0.01,3338.618
