signal_threshold,rsi_overbought,rsi_oversold,accuracy,edge_pct,correct,total_tested,n_bullish,n_bearish,n_neutral,n_signals,signal_rate
0.15,80,25,0.4269230769230769,-7.307692307692309,111,260,260,0,70,260,0.7878787878787878
0.15,80,20,0.4269230769230769,-7.307692307692309,111,260,260,0,70,260,0.7878787878787878
0.15,80,30,0.4269230769230769,-7.307692307692309,111,260,260,0,70,260,0.7878787878787878
0.15,80,35,0.4269230769230769,-7.307692307692309,111,260,260,0,70,260,0.7878787878787878
0.2,80,20,0.4269230769230769,-7.307692307692309,111,260,260,0,70,260,0.7878787878787878
0.2,80,25,0.4269230769230769,-7.307692307692309,111,260,260,0,70,260,0.7878787878787878
0.2,80,30,0.4269230769230769,-7.307692307692309,111,260,260,0,70,260,0.7878787878787878
0.2,80,35,0.4269230769230769,-7.307692307692309,111,260,260,0,70,260,0.7878787878787878
0.4,80,20,0.4262295081967213,-7.377049180327871,104,244,244,0,86,244,0.7393939393939394
0.35,80,35,0.4262295081967213,-7.377049180327871,104,244,244,0,86,244,0.7393939393939394
0.35,80,30,0.4262295081967213,-7.377049180327871,104,244,244,0,86,244,0.7393939393939394
0.4,80,35,0.4262295081967213,-7.377049180327871,104,244,244,0,86,244,0.7393939393939394
0.35,80,25,0.4262295081967213,-7.377049180327871,104,244,244,0,86,244,0.7393939393939394
0.35,80,20,0.4262295081967213,-7.377049180327871,104,244,244,0,86,244,0.7393939393939394
0.4,80,25,0.4262295081967213,-7.377049180327871,104,244,244,0,86,244,0.7393939393939394
0.4,80,30,0.4262295081967213,-7.377049180327871,104,244,244,0,86,244,0.7393939393939394
0.1,80,20,0.42585551330798477,-7.414448669201523,112,263,263,0,67,263,0.796969696969697
0.1,80,30,0.42585551330798477,-7.414448669201523,112,263,263,0,67,263,0.796969696969697
0.1,80,35,0.42585551330798477,-7.414448669201523,112,263,263,0,67,263,0.796969696969697
0.1,80,25,0.42585551330798477,-7.414448669201523,112,263,263,0,67,263,0.796969696969697
0.25,80,20,0.4235294117647059,-7.647058823529412,108,255,255,0,75,255,0.7727272727272727
0.25,80,25,0.4235294117647059,-7.647058823529412,108,255,255,0,75,255,0.7727272727272727
0.25,80,30,0.4235294117647059,-7.647058823529412,108,255,255,0,75,255,0.7727272727272727
0.25,80,35,0.4235294117647059,-7.647058823529412,108,255,255,0,75,255,0.7727272727272727
0.3,80,35,0.4235294117647059,-7.647058823529412,108,255,255,0,75,255,0.7727272727272727
0.3,80,30,0.4235294117647059,-7.647058823529412,108,255,255,0,75,255,0.7727272727272727
0.3,80,20,0.4235294117647059,-7.647058823529412,108,255,255,0,75,255,0.7727272727272727
0.3,80,25,0.4235294117647059,-7.647058823529412,108,255,255,0,75,255,0.7727272727272727
0.15,75,35,0.415929203539823,-8.407079646017701,94,226,226,0,104,226,0.6848484848484848
0.2,75,20,0.415929203539823,-8.407079646017701,94,226,226,0,104,226,0.6848484848484848
0.15,75,25,0.415929203539823,-8.407079646017701,94,226,226,0,104,226,0.6848484848484848
0.15,75,20,0.415929203539823,-8.407079646017701,94,226,226,0,104,226,0.6848484848484848
0.15,75,30,0.415929203539823,-8.407079646017701,94,226,226,0,104,226,0.6848484848484848
0.2,75,35,0.415929203539823,-8.407079646017701,94,226,226,0,104,226,0.6848484848484848
0.2,75,30,0.415929203539823,-8.407079646017701,94,226,226,0,104,226,0.6848484848484848
0.2,75,25,0.415929203539823,-8.407079646017701,94,226,226,0,104,226,0.6848484848484848
0.15,70,20,0.415,-8.500000000000002,83,200,200,0,130,200,0.6060606060606061
0.15,70,25,0.415,-8.500000000000002,83,200,200,0,130,200,0.6060606060606061
0.15,70,30,0.415,-8.500000000000002,83,200,200,0,130,200,0.6060606060606061
0.2,70,35,0.415,-8.500000000000002,83,200,200,0,130,200,0.6060606060606061
0.2,70,30,0.415,-8.500000000000002,83,200,200,0,130,200,0.6060606060606061
0.2,70,25,0.415,-8.500000000000002,83,200,200,0,130,200,0.6060606060606061
0.2,70,20,0.415,-8.500000000000002,83,200,200,0,130,200,0.6060606060606061
0.15,70,35,0.415,-8.500000000000002,83,200,200,0,130,200,0.6060606060606061
0.1,75,30,0.4148471615720524,-8.515283842794757,95,229,229,0,101,229,0.693939393939394
0.1,75,25,0.4148471615720524,-8.515283842794757,95,229,229,0,101,229,0.693939393939394
0.1,75,35,0.4148471615720524,-8.515283842794757,95,229,229,0,101,229,0.693939393939394
0.1,75,20,0.4148471615720524,-8.515283842794757,95,229,229,0,101,229,0.693939393939394
0.15,65,25,0.4147727272727273,-8.52272727272727,73,176,176,0,154,176,0.5333333333333333
0.15,65,20,0.4147727272727273,-8.52272727272727,73,176,176,0,154,176,0.5333333333333333
0.15,65,30,0.4147727272727273,-8.52272727272727,73,176,176,0,154,176,0.5333333333333333
0.2,65,30,0.4147727272727273,-8.52272727272727,73,176,176,0,154,176,0.5333333333333333
0.2,65,20,0.4147727272727273,-8.52272727272727,73,176,176,0,154,176,0.5333333333333333
0.15,65,35,0.4147727272727273,-8.52272727272727,73,176,176,0,154,176,0.5333333333333333
0.2,65,35,0.4147727272727273,-8.52272727272727,73,176,176,0,154,176,0.5333333333333333
0.2,65,25,0.4147727272727273,-8.52272727272727,73,176,176,0,154,176,0.5333333333333333
0.4,75,20,0.4142857142857143,-8.57142857142857,87,210,210,0,120,210,0.6363636363636364
0.35,75,20,0.4142857142857143,-8.57142857142857,87,210,210,0,120,210,0.6363636363636364
0.4,75,25,0.4142857142857143,-8.57142857142857,87,210,210,0,120,210,0.6363636363636364
0.35,75,30,0.4142857142857143,-8.57142857142857,87,210,210,0,120,210,0.6363636363636364
0.35,75,35,0.4142857142857143,-8.57142857142857,87,210,210,0,120,210,0.6363636363636364
0.4,75,35,0.4142857142857143,-8.57142857142857,87,210,210,0,120,210,0.6363636363636364
0.4,75,30,0.4142857142857143,-8.57142857142857,87,210,210,0,120,210,0.6363636363636364
0.35,75,25,0.4142857142857143,-8.57142857142857,87,210,210,0,120,210,0.6363636363636364
0.1,70,35,0.41379310344827586,-8.620689655172415,84,203,203,0,127,203,0.6151515151515151
0.1,70,30,0.41379310344827586,-8.620689655172415,84,203,203,0,127,203,0.6151515151515151
0.1,70,25,0.41379310344827586,-8.620689655172415,84,203,203,0,127,203,0.6151515151515151
0.1,70,20,0.41379310344827586,-8.620689655172415,84,203,203,0,127,203,0.6151515151515151
0.1,65,20,0.4134078212290503,-8.65921787709497,74,179,179,0,151,179,0.5424242424242425
0.1,65,30,0.4134078212290503,-8.65921787709497,74,179,179,0,151,179,0.5424242424242425
0.1,65,35,0.4134078212290503,-8.65921787709497,74,179,179,0,151,179,0.5424242424242425
0.1,65,25,0.4134078212290503,-8.65921787709497,74,179,179,0,151,179,0.5424242424242425
0.35,70,20,0.41304347826086957,-8.695652173913043,76,184,184,0,146,184,0.5575757575757576
0.4,70,35,0.41304347826086957,-8.695652173913043,76,184,184,0,146,184,0.5575757575757576
0.4,70,30,0.41304347826086957,-8.695652173913043,76,184,184,0,146,184,0.5575757575757576
0.4,70,25,0.41304347826086957,-8.695652173913043,76,184,184,0,146,184,0.5575757575757576
0.4,70,20,0.41304347826086957,-8.695652173913043,76,184,184,0,146,184,0.5575757575757576
0.35,70,35,0.41304347826086957,-8.695652173913043,76,184,184,0,146,184,0.5575757575757576
0.35,70,30,0.41304347826086957,-8.695652173913043,76,184,184,0,146,184,0.5575757575757576
0.35,70,25,0.41304347826086957,-8.695652173913043,76,184,184,0,146,184,0.5575757575757576
0.25,75,30,0.4117647058823529,-8.823529411764708,91,221,221,0,109,221,0.6696969696969697
0.25,75,25,0.4117647058823529,-8.823529411764708,91,221,221,0,109,221,0.6696969696969697
0.25,75,35,0.4117647058823529,-8.823529411764708,91,221,221,0,109,221,0.6696969696969697
0.25,75,20,0.4117647058823529,-8.823529411764708,91,221,221,0,109,221,0.6696969696969697
0.3,75,20,0.4117647058823529,-8.823529411764708,91,221,221,0,109,221,0.6696969696969697
0.3,75,25,0.4117647058823529,-8.823529411764708,91,221,221,0,109,221,0.6696969696969697
0.3,75,30,0.4117647058823529,-8.823529411764708,91,221,221,0,109,221,0.6696969696969697
0.3,75,35,0.4117647058823529,-8.823529411764708,91,221,221,0,109,221,0.6696969696969697
0.3,70,25,0.41025641025641024,-8.974358974358976,80,195,195,0,135,195,0.5909090909090909
0.3,70,35,0.41025641025641024,-8.974358974358976,80,195,195,0,135,195,0.5909090909090909
0.25,70,20,0.41025641025641024,-8.974358974358976,80,195,195,0,135,195,0.5909090909090909
0.3,70,30,0.41025641025641024,-8.974358974358976,80,195,195,0,135,195,0.5909090909090909
0.25,70,35,0.41025641025641024,-8.974358974358976,80,195,195,0,135,195,0.5909090909090909
0.25,70,30,0.41025641025641024,-8.974358974358976,80,195,195,0,135,195,0.5909090909090909
0.25,70,25,0.41025641025641024,-8.974358974358976,80,195,195,0,135,195,0.5909090909090909
0.3,70,20,0.41025641025641024,-8.974358974358976,80,195,195,0,135,195,0.5909090909090909
0.35,65,30,0.40993788819875776,-9.006211180124224,66,161,161,0,169,161,0.48787878787878786
0.4,65,35,0.40993788819875776,-9.006211180124224,66,161,161,0,169,161,0.48787878787878786
