date,prediction,actual,best_strat,best_agg,best_q,best_child_prediction
2025-03-02,107.3295,103.953,Accuracy_Heavy,mean,0.02,107.034
2025-03-03,106.599,103.273,Accuracy_Heavy,median,0.02,106.492
2025-03-04,104.78075000000001,103.257,Risk_Heavy,mean,0.02,105.024
2025-03-05,102.34450000000001,103.499,Accuracy_Heavy,mean,0.01,104.331
2025-03-06,104.3195,103.365,Accuracy_Heavy,mean,0.01,104.485
2025-03-07,103.7005,103.365,MSE_Only,median,0.02,103.954
2025-03-08,103.7855,103.365,MSE_Only,median,0.02,103.813
2025-03-09,103.842,103.005,MSE_Only,median,0.02,103.898
2025-03-10,104.28925,102.892,Profit_Heavy,mean,0.02,104.042
2025-03-11,103.29,103.093,Profit_Heavy,mean,0.02,103.364
2025-03-12,103.16975000000001,103.497,Profit_Heavy,mean,0.02,103.429
2025-03-13,103.6265,103.744,Accuracy_Heavy,mean,0.02,103.71
2025-03-14,101.881,103.744,Profit_Heavy,mean,0.02,103.436
2025-03-15,103.5395,103.744,Profit_Heavy,mean,0.02,103.392
2025-03-16,104.112,103.936,Profit_Heavy,mean,0.02,103.405
2025-03-17,103.80775,103.831,Profit_Heavy,mean,0.02,103.198
2025-03-18,103.24475,104.207,Profit_Heavy,mean,0.02,103.004
2025-03-19,103.17750000000001,103.992,Accuracy_Heavy,mean,0.02,103.112
2025-03-20,103.51825,103.709,Accuracy_Heavy,mean,0.02,103.308
2025-03-21,103.99600000000001,103.709,Accuracy_Heavy,mean,0.02,104.324
2025-03-22,103.98525000000001,103.709,Accuracy_Heavy,mean,0.02,104.278
2025-03-23,103.82749999999999,103.883,Accuracy_Heavy,mean,0.02,104.164
2025-03-24,104.06649999999999,103.949,Risk_Heavy,mean,0.02,104.401
2025-03-25,103.94800000000001,103.491,Risk_Heavy,mean,0.02,104.493
2025-03-26,104.19200000000001,101.795,Balanced,mean,0.02,104.315
2025-03-27,103.9795,102.768,Balanced,mean,0.02,104.296
2025-03-28,103.53925000000001,102.768,Balanced,mean,0.02,103.726
2025-03-29,103.56925,102.768,Balanced,mean,0.02,103.666
2025-03-30,103.566,102.972,Balanced,mean,0.02,103.565
2025-03-31,103.8355,102.701,Accuracy_Heavy,mean,0.01,103.753
2025-04-01,103.87950000000001,102.623,Accuracy_Heavy,mean,0.01,103.906
2025-04-02,104.663,100.61,Profit_Heavy,mean,0.02,103.549
2025-04-03,101.4565,99.892,Accuracy_Heavy,mean,0.01,101.452
2025-04-04,102.44550000000001,99.892,Accuracy_Heavy,mean,0.01,102.539
