signal_threshold,rsi_overbought,rsi_oversold,accuracy,edge_pct,correct,total_tested,n_bullish,n_bearish,n_neutral,n_signals,signal_rate
0.4,65,20,0.7033898305084746,20.33898305084746,83,118,25,94,211,119,0.3606060606060606
0.35,65,20,0.7033898305084746,20.33898305084746,83,118,25,94,211,119,0.3606060606060606
0.4,70,20,0.688,18.799999999999994,86,125,32,94,204,126,0.38181818181818183
0.35,70,20,0.688,18.799999999999994,86,125,32,94,204,126,0.38181818181818183
0.35,65,30,0.6862745098039216,18.627450980392158,70,102,25,77,228,102,0.3090909090909091
0.4,65,30,0.6862745098039216,18.627450980392158,70,102,25,77,228,102,0.3090909090909091
0.4,65,25,0.6851851851851852,18.518518518518523,74,108,25,83,222,108,0.32727272727272727
0.35,65,25,0.6851851851851852,18.518518518518523,74,108,25,83,222,108,0.32727272727272727
0.4,65,35,0.6842105263157895,18.42105263157895,65,95,25,70,235,95,0.2878787878787879
0.35,65,35,0.6842105263157895,18.42105263157895,65,95,25,70,235,95,0.2878787878787879
0.4,75,20,0.6796875,17.96875,87,128,35,94,201,129,0.39090909090909093
0.35,75,20,0.6796875,17.96875,87,128,35,94,201,129,0.39090909090909093
0.4,80,20,0.6796875,17.96875,87,128,35,94,201,129,0.39090909090909093
0.35,80,20,0.6796875,17.96875,87,128,35,94,201,129,0.39090909090909093
0.4,70,30,0.6697247706422018,16.972477064220183,73,109,32,77,221,109,0.3303030303030303
0.35,70,30,0.6697247706422018,16.972477064220183,73,109,32,77,221,109,0.3303030303030303
0.35,70,25,0.6695652173913044,16.956521739130437,77,115,32,83,215,115,0.3484848484848485
0.4,70,25,0.6695652173913044,16.956521739130437,77,115,32,83,215,115,0.3484848484848485
0.35,70,35,0.6666666666666666,16.666666666666664,68,102,32,70,228,102,0.3090909090909091
0.4,70,35,0.6666666666666666,16.666666666666664,68,102,32,70,228,102,0.3090909090909091
0.35,75,25,0.6610169491525424,16.10169491525424,78,118,35,83,212,118,0.3575757575757576
0.4,75,25,0.6610169491525424,16.10169491525424,78,118,35,83,212,118,0.3575757575757576
0.35,80,25,0.6610169491525424,16.10169491525424,78,118,35,83,212,118,0.3575757575757576
0.4,80,25,0.6610169491525424,16.10169491525424,78,118,35,83,212,118,0.3575757575757576
0.4,80,30,0.6607142857142857,16.07142857142857,74,112,35,77,218,112,0.3393939393939394
0.4,75,30,0.6607142857142857,16.07142857142857,74,112,35,77,218,112,0.3393939393939394
0.35,75,30,0.6607142857142857,16.07142857142857,74,112,35,77,218,112,0.3393939393939394
0.35,80,30,0.6607142857142857,16.07142857142857,74,112,35,77,218,112,0.3393939393939394
0.4,75,35,0.6571428571428571,15.714285714285714,69,105,35,70,225,105,0.3181818181818182
0.35,75,35,0.6571428571428571,15.714285714285714,69,105,35,70,225,105,0.3181818181818182
0.35,80,35,0.6571428571428571,15.714285714285714,69,105,35,70,225,105,0.3181818181818182
0.4,80,35,0.6571428571428571,15.714285714285714,69,105,35,70,225,105,0.3181818181818182
0.1,65,20,0.6425531914893617,14.255319148936174,151,235,65,171,94,236,0.7151515151515152
0.3,65,20,0.6405228758169934,14.052287581699341,98,153,36,118,176,154,0.4666666666666667
