time,symbol,close,high,low,open,volume
2024-02-13,CF_ES_NN,-215778.0,-215778.0,-215778.0,-215778.0,0.0
2024-02-20,CF_ES_NN,-218530.0,-218530.0,-218530.0,-218530.0,0.0
2024-02-27,CF_ES_NN,-224223.0,-224223.0,-224223.0,-224223.0,0.0
2024-03-05,CF_ES_NN,-204440.0,-204440.0,-204440.0,-204440.0,0.0
2024-03-12,CF_ES_NN,-239827.0,-239827.0,-239827.0,-239827.0,0.0
2024-03-19,CF_ES_NN,-194169.0,-194169.0,-194169.0,-194169.0,0.0
2024-03-26,CF_ES_NN,-169439.0,-169439.0,-169439.0,-169439.0,0.0
2024-04-02,CF_ES_NN,-78122.0,-78122.0,-78122.0,-78122.0,0.0
2024-04-09,CF_ES_NN,-62914.0,-62914.0,-62914.0,-62914.0,0.0
2024-04-16,CF_ES_NN,74114.0,74114.0,74114.0,74114.0,0.0
2024-04-23,CF_ES_NN,67678.0,67678.0,67678.0,67678.0,0.0
2024-04-30,CF_ES_NN,43133.0,43133.0,43133.0,43133.0,0.0
2024-05-07,CF_ES_NN,-9695.0,-9695.0,-9695.0,-9695.0,0.0
2024-05-14,CF_ES_NN,-25284.0,-25284.0,-25284.0,-25284.0,0.0
2024-05-21,CF_ES_NN,-22774.0,-22774.0,-22774.0,-22774.0,0.0
2024-05-28,CF_ES_NN,-2208.0,-2208.0,-2208.0,-2208.0,0.0
2024-06-04,CF_ES_NN,-65000.0,-65000.0,-65000.0,-65000.0,0.0
2024-06-11,CF_ES_NN,-111414.0,-111414.0,-111414.0,-111414.0,0.0
2024-06-18,CF_ES_NN,-114110.0,-114110.0,-114110.0,-114110.0,0.0
2024-06-25,CF_ES_NN,-65247.0,-65247.0,-65247.0,-65247.0,0.0
2024-07-02,CF_ES_NN,-11808.0,-11808.0,-11808.0,-11808.0,0.0
2024-07-09,CF_ES_NN,-55011.0,-55011.0,-55011.0,-55011.0,0.0
2024-07-16,CF_ES_NN,-65444.0,-65444.0,-65444.0,-65444.0,0.0
2024-07-23,CF_ES_NN,-13221.0,-13221.0,-13221.0,-13221.0,0.0
2024-07-30,CF_ES_NN,11956.0,11956.0,11956.0,11956.0,0.0
2024-08-06,CF_ES_NN,33990.0,33990.0,33990.0,33990.0,0.0
2024-08-13,CF_ES_NN,-23451.0,-23451.0,-23451.0,-23451.0,0.0
2024-08-20,CF_ES_NN,-84803.0,-84803.0,-84803.0,-84803.0,0.0
2024-08-27,CF_ES_NN,-81908.0,-81908.0,-81908.0,-81908.0,0.0
2024-09-03,CF_ES_NN,-48819.0,-48819.0,-48819.0,-48819.0,0.0
2024-09-10,CF_ES_NN,-59388.0,-59388.0,-59388.0,-59388.0,0.0
2024-09-17,CF_ES_NN,-122948.0,-122948.0,-122948.0,-122948.0,0.0
2024-09-24,CF_ES_NN,-35753.0,-35753.0,-35753.0,-35753.0,0.0
2024-10-01,CF_ES_NN,7545.0,7545.0,7545.0,7545.0,0.0
2024-10-08,CF_ES_NN,-5644.0,-5644.0,-5644.0,-5644.0,0.0
2024-10-15,CF_ES_NN,28135.0,28135.0,28135.0,28135.0,0.0
2024-10-22,CF_ES_NN,22981.0,22981.0,22981.0,22981.0,0.0
2024-10-29,CF_ES_NN,62698.0,62698.0,62698.0,62698.0,0.0
2024-11-05,CF_ES_NN,113440.0,113440.0,113440.0,113440.0,0.0
2024-11-12,CF_ES_NN,25001.0,25001.0,25001.0,25001.0,0.0
2024-11-19,CF_ES_NN,34911.0,34911.0,34911.0,34911.0,0.0
2024-11-26,CF_ES_NN,-78894.0,-78894.0,-78894.0,-78894.0,0.0
2024-12-03,CF_ES_NN,-108610.0,-108610.0,-108610.0,-108610.0,0.0
2024-12-10,CF_ES_NN,-83333.0,-83333.0,-83333.0,-83333.0,0.0
2024-12-17,CF_ES_NN,-39862.0,-39862.0,-39862.0,-39862.0,0.0
2024-12-24,CF_ES_NN,-63791.0,-63791.0,-63791.0,-63791.0,0.0
2024-12-31,CF_ES_NN,-56802.0,-56802.0,-56802.0,-56802.0,0.0
2025-01-07,CF_ES_NN,-62203.0,-62203.0,-62203.0,-62203.0,0.0
2025-01-14,CF_ES_NN,-30542.0,-30542.0,-30542.0,-30542.0,0.0
2025-01-21,CF_ES_NN,-75715.0,-75715.0,-75715.0,-75715.0,0.0
