time,symbol,close,high,low,open,volume
2021-02-09,QHG#,3.72,3.7255,3.667,3.6785,96421.0
2021-02-10,QHG#,3.7725,3.7955,3.714,3.717,102122.0
2021-02-11,QHG#,3.7715,3.792,3.75,3.774,68115.0
2021-02-12,QHG#,3.788,3.805,3.721,3.7805,64856.0
2021-02-16,QHG#,3.834,3.845,3.795,3.803,100873.0
2021-02-17,QHG#,3.8205,3.8405,3.794,3.8355,80347.0
2021-02-18,QHG#,3.901,3.931,3.819,3.821,133930.0
2021-02-19,QHG#,4.074,4.091,3.8865,3.902,184505.0
2021-02-22,QHG#,4.141,4.216,4.0665,4.0715,152165.0
2021-02-23,QHG#,4.1785,4.2245,4.0875,4.1505,143343.0
2021-02-24,QHG#,4.2945,4.3195,4.1395,4.2145,77484.0
2021-02-25,QHG#,4.2635,4.3755,4.191,4.3215,167033.0
2021-02-26,QHG#,4.0925,4.2555,4.0765,4.2055,176035.0
2021-03-01,QHG#,4.113,4.181,4.089,4.106,106832.0
2021-03-02,QHG#,4.222,4.2275,4.0415,4.1005,125090.0
2021-03-03,QHG#,4.142,4.2215,4.102,4.208,106174.0
2021-03-04,QHG#,3.9785,4.1505,3.849,4.1065,172329.0
2021-03-05,QHG#,4.0755,4.1105,3.9015,3.9535,130261.0
2021-03-08,QHG#,4.093,4.1705,3.9965,4.117,111996.0
2021-03-09,QHG#,4.0085,4.121,3.972,4.0795,105189.0
2021-03-10,QHG#,4.0325,4.0625,3.9815,4.0135,74705.0
2021-03-11,QHG#,4.139,4.15,4.0095,4.0355,89649.0
2021-03-12,QHG#,4.14,4.158,4.0665,4.144,68502.0
2021-03-15,QHG#,4.1405,4.19,4.1105,4.16,60223.0
2021-03-16,QHG#,4.0715,4.1495,4.0405,4.1415,72254.0
2021-03-17,QHG#,4.119,4.1615,4.046,4.0625,58922.0
2021-03-18,QHG#,4.108,4.157,4.048,4.144,67413.0
2021-03-19,QHG#,4.113,4.1215,4.0105,4.063,75166.0
2021-03-22,QHG#,4.1395,4.148,4.076,4.1075,58807.0
2021-03-23,QHG#,4.0795,4.165,4.016,4.1445,81754.0
2021-03-24,QHG#,4.064,4.105,4.017,4.0265,73576.0
2021-03-25,QHG#,3.978,4.046,3.942,4.026,108973.0
2021-03-26,QHG#,4.068,4.083,3.994,3.997,63828.0
2021-03-29,QHG#,4.0345,4.0825,4.008,4.08,61605.0
2021-03-30,QHG#,3.9785,4.0505,3.964,4.0365,62904.0
2021-03-31,QHG#,3.9955,4.0175,3.9545,3.9785,68973.0
2021-04-01,QHG#,3.9905,4.019,3.9435,3.984,73101.0
2021-04-02,QHG#,3.9905,3.9905,3.9905,3.9905,0.0
2021-04-05,QHG#,4.1375,4.16,4.024,4.028,54601.0
2021-04-06,QHG#,4.1165,4.152,4.0715,4.14,78936.0
2021-04-07,QHG#,4.0545,4.118,4.0355,4.1065,67422.0
2021-04-08,QHG#,4.0945,4.0975,4.045,4.063,69130.0
2021-04-09,QHG#,4.04,4.1075,4.036,4.093,64474.0
2021-04-12,QHG#,4.0185,4.059,3.988,4.046,73232.0
2021-04-13,QHG#,4.0315,4.059,3.9985,4.013,70226.0
2021-04-14,QHG#,4.1285,4.133,4.0295,4.039,98365.0
2021-04-15,QHG#,4.2185,4.236,4.105,4.105,107276.0
2021-04-16,QHG#,4.168,4.244,4.1605,4.2255,95421.0
2021-04-19,QHG#,4.238,4.277,4.152,4.166,92518.0
2021-04-20,QHG#,4.213,4.2965,4.2015,4.238,76203.0
2021-04-21,QHG#,4.279,4.296,4.205,4.2085,69517.0
2021-04-22,QHG#,4.273,4.292,4.2465,4.286,64945.0
2021-04-23,QHG#,4.336,4.344,4.26,4.2645,70988.0
2021-04-26,QHG#,4.441,4.4515,4.3295,4.338,86204.0
2021-04-27,QHG#,4.488,4.517,4.439,4.447,92539.0
2021-04-28,QHG#,4.498,4.5175,4.417,4.482,48303.0
2021-04-29,QHG#,4.4865,4.551,4.4645,4.5,92263.0
2021-04-30,QHG#,4.468,4.5305,4.446,4.483,74275.0
2021-05-03,QHG#,4.5285,4.5355,4.435,4.462,40973.0
2021-05-04,QHG#,4.5215,4.5625,4.49,4.5285,64432.0
2021-05-05,QHG#,4.524,4.5725,4.5035,4.556,64609.0
2021-05-06,QHG#,4.6025,4.6125,4.5005,4.519,79803.0
2021-05-07,QHG#,4.7485,4.751,4.5975,4.609,120249.0
2021-05-10,QHG#,4.716,4.888,4.6875,4.78,160246.0
