time,symbol,close,high,low,open,volume
2021-02-09,QNG#,2.835,2.927,2.788,2.883,196927.0
2021-02-10,QNG#,2.911,2.982,2.741,2.819,266986.0
2021-02-11,QNG#,2.868,3.045,2.839,2.975,261922.0
2021-02-12,QNG#,2.912,2.987,2.834,2.87,190054.0
2021-02-16,QNG#,3.129,3.214,2.976,3.046,288942.0
2021-02-17,QNG#,3.219,3.316,3.049,3.098,218620.0
2021-02-18,QNG#,3.082,3.298,3.041,3.267,171654.0
2021-02-19,QNG#,3.069,3.148,2.991,3.067,67064.0
2021-02-22,QNG#,2.936,2.962,2.865,2.934,150480.0
2021-02-23,QNG#,2.857,2.932,2.842,2.921,129778.0
2021-02-24,QNG#,2.795,2.868,2.791,2.866,113572.0
2021-02-25,QNG#,2.777,2.855,2.761,2.806,123990.0
2021-02-26,QNG#,2.771,2.786,2.697,2.77,132989.0
2021-03-01,QNG#,2.777,2.809,2.724,2.8,75971.0
2021-03-02,QNG#,2.839,2.857,2.757,2.783,109635.0
2021-03-03,QNG#,2.816,2.887,2.801,2.848,93789.0
2021-03-04,QNG#,2.746,2.826,2.684,2.803,138699.0
2021-03-05,QNG#,2.701,2.755,2.681,2.743,116201.0
2021-03-08,QNG#,2.664,2.734,2.623,2.691,130867.0
2021-03-09,QNG#,2.662,2.69,2.624,2.662,96803.0
2021-03-10,QNG#,2.692,2.707,2.615,2.653,93180.0
2021-03-11,QNG#,2.668,2.714,2.636,2.689,119770.0
2021-03-12,QNG#,2.6,2.693,2.584,2.669,104726.0
2021-03-15,QNG#,2.484,2.561,2.478,2.558,136038.0
2021-03-16,QNG#,2.562,2.566,2.479,2.494,99293.0
2021-03-17,QNG#,2.528,2.565,2.489,2.562,91676.0
2021-03-18,QNG#,2.481,2.526,2.422,2.523,143768.0
2021-03-19,QNG#,2.535,2.554,2.456,2.489,74375.0
2021-03-22,QNG#,2.582,2.592,2.478,2.507,108225.0
2021-03-23,QNG#,2.508,2.581,2.502,2.578,89372.0
2021-03-24,QNG#,2.518,2.545,2.503,2.515,48420.0
2021-03-25,QNG#,2.616,2.629,2.526,2.563,105286.0
2021-03-26,QNG#,2.619,2.64,2.603,2.617,77940.0
2021-03-29,QNG#,2.653,2.656,2.582,2.624,103898.0
2021-03-30,QNG#,2.623,2.688,2.597,2.643,100807.0
2021-03-31,QNG#,2.608,2.656,2.575,2.621,92080.0
2021-04-01,QNG#,2.639,2.663,2.578,2.605,116692.0
2021-04-02,QNG#,2.639,2.639,2.639,2.639,0.0
2021-04-05,QNG#,2.511,2.616,2.488,2.593,146892.0
2021-04-06,QNG#,2.456,2.568,2.453,2.511,142675.0
2021-04-07,QNG#,2.52,2.546,2.458,2.464,132266.0
2021-04-08,QNG#,2.522,2.535,2.478,2.51,140798.0
2021-04-09,QNG#,2.526,2.552,2.503,2.52,121593.0
2021-04-12,QNG#,2.561,2.605,2.53,2.53,144317.0
2021-04-13,QNG#,2.619,2.638,2.529,2.554,166000.0
2021-04-14,QNG#,2.618,2.666,2.609,2.62,129020.0
2021-04-15,QNG#,2.658,2.685,2.583,2.617,135586.0
2021-04-16,QNG#,2.68,2.7,2.658,2.663,94879.0
2021-04-19,QNG#,2.749,2.753,2.694,2.707,105072.0
2021-04-20,QNG#,2.727,2.759,2.719,2.741,96682.0
2021-04-21,QNG#,2.692,2.725,2.666,2.724,99733.0
2021-04-22,QNG#,2.749,2.779,2.657,2.696,126330.0
2021-04-23,QNG#,2.73,2.764,2.72,2.747,50602.0
2021-04-26,QNG#,2.874,2.884,2.774,2.788,101667.0
2021-04-27,QNG#,2.942,2.948,2.864,2.873,131138.0
2021-04-28,QNG#,2.96,2.988,2.93,2.939,131127.0
2021-04-29,QNG#,2.911,2.971,2.883,2.951,123113.0
2021-04-30,QNG#,2.931,2.962,2.891,2.906,101566.0
2021-05-03,QNG#,2.966,2.975,2.9,2.938,101038.0
2021-05-04,QNG#,2.967,3.001,2.932,2.961,102051.0
2021-05-05,QNG#,2.938,2.991,2.913,2.975,90213.0
2021-05-06,QNG#,2.928,2.971,2.908,2.948,83813.0
2021-05-07,QNG#,2.958,2.989,2.905,2.93,102868.0
2021-05-10,QNG#,2.932,2.971,2.898,2.97,92283.0
2021-05-11,QNG#,2.955,2.97,2.881,2.927,107218.0
2021-05-12,QNG#,2.969,2.988,2.926,2.953,90583.0
2021-05-13,QNG#,2.973,2.998,2.937,2.983,96118.0
2021-05-14,QNG#,2.961,3.016,2.945,2.977,84204.0
2021-05-17,QNG#,3.109,3.15,3.019,3.019,169013.0
2021-05-18,QNG#,3.012,3.135,3.003,3.121,129179.0
2021-05-19,QNG#,2.964,3.015,2.94,3.009,100252.0
2021-05-20,QNG#,2.925,2.985,2.907,2.962,85088.0
2021-05-21,QNG#,2.906,2.983,2.894,2.948,58274.0
2021-05-24,QNG#,2.96,2.967,2.903,2.92,102499.0
2021-05-25,QNG#,2.974,3.003,2.951,2.956,99665.0
2021-05-26,QNG#,3.027,3.046,2.975,2.995,120871.0
2021-05-27,QNG#,2.958,3.024,2.914,3.021,123065.0
2021-05-28,QNG#,2.986,3.042,2.955,2.963,110003.0
2021-06-01,QNG#,3.104,3.15,3.015,3.036,193404.0
2021-06-02,QNG#,3.075,3.126,3.05,3.093,114984.0
2021-06-03,QNG#,3.041,3.09,3.032,3.073,100521.0
2021-06-04,QNG#,3.097,3.121,3.01,3.063,118036.0
2021-06-07,QNG#,3.07,3.115,3.033,3.109,138844.0
2021-06-08,QNG#,3.128,3.198,3.092,3.092,208576.0
2021-06-09,QNG#,3.129,3.168,3.106,3.128,131717.0
2021-06-10,QNG#,3.149,3.2,3.131,3.154,151565.0
2021-06-11,QNG#,3.296,3.33,3.149,3.153,194488.0
2021-06-14,QNG#,3.352,3.364,3.273,3.315,113120.0
2021-06-15,QNG#,3.24,3.369,3.213,3.351,154414.0
2021-06-16,QNG#,3.251,3.274,3.187,3.222,111287.0
2021-06-17,QNG#,3.253,3.264,3.187,3.244,150052.0
2021-06-18,QNG#,3.215,3.258,3.166,3.218,104935.0
2021-06-21,QNG#,3.191,3.214,3.137,3.206,103038.0
2021-06-22,QNG#,3.258,3.281,3.188,3.198,77088.0
2021-06-23,QNG#,3.333,3.383,3.25,3.257,75394.0
2021-06-24,QNG#,3.437,3.46,3.318,3.337,124963.0
2021-06-25,QNG#,3.52,3.538,3.43,3.439,137646.0
2021-06-28,QNG#,3.593,3.653,3.505,3.525,163568.0
2021-06-29,QNG#,3.63,3.811,3.571,3.583,205478.0
2021-06-30,QNG#,3.65,3.814,3.604,3.651,187005.0
2021-07-01,QNG#,3.661,3.764,3.591,3.746,149422.0
2021-07-02,QNG#,3.7,3.741,3.598,3.663,111464.0
2021-07-06,QNG#,3.637,3.822,3.608,3.704,152231.0
2021-07-07,QNG#,3.596,3.707,3.52,3.673,124615.0
2021-07-08,QNG#,3.688,3.72,3.54,3.579,148554.0
2021-07-09,QNG#,3.674,3.742,3.657,3.686,115679.0
2021-07-12,QNG#,3.749,3.763,3.623,3.673,127071.0
2021-07-13,QNG#,3.696,3.769,3.673,3.744,104041.0
2021-07-14,QNG#,3.66,3.755,3.624,3.694,137354.0
2021-07-15,QNG#,3.614,3.686,3.605,3.67,117594.0
2021-07-16,QNG#,3.674,3.688,3.584,3.617,89982.0
2021-07-19,QNG#,3.779,3.788,3.686,3.703,124163.0
2021-07-20,QNG#,3.876,3.934,3.74,3.772,118404.0
2021-07-21,QNG#,3.959,3.965,3.891,3.927,111932.0
2021-07-22,QNG#,4.003,4.006,3.876,3.922,102159.0
2021-07-23,QNG#,4.06,4.071,3.976,3.996,73870.0
2021-07-26,QNG#,4.082,4.165,3.99,4.0,138934.0
2021-07-27,QNG#,3.942,4.094,3.907,4.075,145924.0
2021-07-28,QNG#,3.967,4.025,3.837,3.925,134730.0
2021-07-29,QNG#,4.059,4.097,3.927,3.941,118446.0
2021-07-30,QNG#,3.914,4.055,3.855,4.051,161866.0
2021-08-02,QNG#,3.935,4.042,3.928,3.973,110953.0
2021-08-03,QNG#,4.027,4.077,3.915,3.959,120858.0
2021-08-04,QNG#,4.158,4.205,4.056,4.066,142586.0
2021-08-05,QNG#,4.14,4.205,4.116,4.152,125228.0
2021-08-06,QNG#,4.14,4.191,4.098,4.159,153153.0
2021-08-09,QNG#,4.06,4.185,4.002,4.168,179998.0
2021-08-10,QNG#,4.089,4.126,4.016,4.039,157513.0
2021-08-11,QNG#,4.059,4.129,3.979,4.11,161899.0
2021-08-12,QNG#,3.933,4.067,3.9,4.057,186993.0
2021-08-13,QNG#,3.861,3.953,3.846,3.915,123011.0
2021-08-16,QNG#,3.946,3.988,3.817,3.846,101673.0
2021-08-17,QNG#,3.837,3.954,3.803,3.938,131222.0
2021-08-18,QNG#,3.852,3.875,3.789,3.826,95512.0
2021-08-19,QNG#,3.83,3.881,3.734,3.826,121756.0
2021-08-20,QNG#,3.851,3.951,3.833,3.863,108518.0
2021-08-23,QNG#,3.945,3.953,3.838,3.862,85497.0
2021-08-24,QNG#,3.896,3.97,3.884,3.929,57633.0
2021-08-25,QNG#,3.925,4.021,3.877,3.914,132020.0
2021-08-26,QNG#,4.211,4.251,3.931,3.949,242845.0
2021-08-27,QNG#,4.388,4.417,4.221,4.237,210959.0
2021-08-30,QNG#,4.305,4.526,4.222,4.499,167098.0
2021-08-31,QNG#,4.377,4.417,4.215,4.312,147419.0
2021-09-01,QNG#,4.615,4.706,4.378,4.403,241159.0
2021-09-02,QNG#,4.641,4.727,4.577,4.639,176845.0
2021-09-03,QNG#,4.712,4.718,4.586,4.627,110953.0
2021-09-07,QNG#,4.568,4.774,4.557,4.71,163663.0
2021-09-08,QNG#,4.914,5.01,4.585,4.598,244742.0
2021-09-09,QNG#,5.031,5.047,4.82,4.917,234848.0
2021-09-10,QNG#,4.938,5.058,4.913,5.002,151036.0
2021-09-13,QNG#,5.231,5.289,4.879,4.945,201770.0
2021-09-14,QNG#,5.26,5.369,5.171,5.199,200943.0
2021-09-15,QNG#,5.46,5.65,5.266,5.28,279117.0
2021-09-16,QNG#,5.335,5.6,5.228,5.41,221139.0
2021-09-17,QNG#,5.105,5.394,5.044,5.27,164579.0
2021-09-20,QNG#,4.985,5.172,4.905,5.015,156870.0
2021-09-21,QNG#,4.805,5.046,4.735,4.962,163097.0
2021-09-22,QNG#,4.805,4.898,4.744,4.811,108777.0
2021-09-23,QNG#,4.976,5.037,4.741,4.758,105201.0
2021-09-24,QNG#,5.2,5.241,5.045,5.105,130654.0
2021-09-27,QNG#,5.731,5.894,5.238,5.26,230180.0
2021-09-28,QNG#,5.88,6.318,5.647,5.854,338968.0
2021-09-29,QNG#,5.477,5.955,5.421,5.857,226344.0
2021-09-30,QNG#,5.867,5.994,5.341,5.457,243240.0
2021-10-01,QNG#,5.619,6.01,5.533,5.975,178941.0
2021-10-04,QNG#,5.766,6.064,5.628,5.628,209582.0
2021-10-05,QNG#,6.312,6.392,5.79,5.83,219522.0
2021-10-06,QNG#,5.675,6.466,5.663,6.321,274653.0
2021-10-07,QNG#,5.677,5.835,5.393,5.71,239503.0
2021-10-08,QNG#,5.565,5.876,5.548,5.761,163349.0
2021-10-11,QNG#,5.345,5.799,5.308,5.695,188699.0
2021-10-12,QNG#,5.505,5.523,5.168,5.408,215447.0
2021-10-13,QNG#,5.59,5.693,5.35,5.456,198786.0
2021-10-14,QNG#,5.687,5.964,5.604,5.676,169162.0
2021-10-15,QNG#,5.41,5.789,5.4,5.641,184583.0
2021-10-18,QNG#,4.989,5.37,4.955,5.299,167896.0
2021-10-19,QNG#,5.088,5.1,4.825,4.985,152725.0
2021-10-20,QNG#,5.17,5.221,4.912,5.066,140026.0
2021-10-21,QNG#,5.115,5.227,5.006,5.151,107707.0
2021-10-22,QNG#,5.28,5.379,5.121,5.196,74365.0
2021-10-25,QNG#,6.056,6.161,5.629,5.629,163914.0
2021-10-26,QNG#,6.003,6.233,5.731,6.119,188892.0
2021-10-27,QNG#,6.198,6.281,5.886,5.946,187421.0
2021-10-28,QNG#,5.782,6.206,5.713,6.138,165632.0
2021-10-29,QNG#,5.426,5.837,5.401,5.732,154410.0
2021-11-01,QNG#,5.186,5.497,5.116,5.31,163258.0
2021-11-02,QNG#,5.542,5.565,5.206,5.22,153757.0
2021-11-03,QNG#,5.67,5.865,5.465,5.553,141498.0
2021-11-04,QNG#,5.716,5.876,5.535,5.86,147035.0
2021-11-05,QNG#,5.516,5.76,5.501,5.67,133344.0
2021-11-08,QNG#,5.427,5.663,5.38,5.605,154221.0
2021-11-09,QNG#,4.979,5.467,4.91,5.41,202741.0
2021-11-10,QNG#,4.88,5.046,4.725,4.962,170388.0
2021-11-11,QNG#,5.149,5.176,4.889,4.917,135953.0
2021-11-12,QNG#,4.791,5.141,4.752,5.129,137099.0
2021-11-15,QNG#,5.017,5.065,4.713,4.903,117666.0
2021-11-16,QNG#,5.177,5.394,5.024,5.058,141140.0
2021-11-17,QNG#,4.816,5.165,4.8,5.159,145607.0
2021-11-18,QNG#,4.902,5.032,4.83,4.896,111027.0
2021-11-19,QNG#,5.065,5.156,4.838,4.895,110058.0
2021-11-22,QNG#,4.789,4.957,4.648,4.91,96186.0
2021-11-23,QNG#,5.035,5.149,4.833,4.865,122012.0
2021-11-24,QNG#,5.114,5.205,4.945,5.061,118412.0
2021-11-26,QNG#,5.477,5.518,5.026,5.069,141778.0
2021-11-29,QNG#,4.854,5.2,4.818,5.199,172471.0
2021-11-30,QNG#,4.567,4.9,4.482,4.873,171822.0
2021-12-01,QNG#,4.258,4.664,4.22,4.606,171938.0
2021-12-02,QNG#,4.056,4.335,4.042,4.265,145506.0
2021-12-03,QNG#,4.132,4.285,4.066,4.105,124765.0
2021-12-06,QNG#,3.657,3.886,3.63,3.826,176715.0
2021-12-07,QNG#,3.708,3.829,3.657,3.68,162973.0
2021-12-08,QNG#,3.815,3.931,3.723,3.734,146872.0
2021-12-09,QNG#,3.814,3.924,3.725,3.818,141107.0
2021-12-10,QNG#,3.925,3.965,3.76,3.798,133283.0
2021-12-13,QNG#,3.794,4.085,3.77,3.975,162586.0
2021-12-14,QNG#,3.747,3.84,3.686,3.802,116826.0
2021-12-15,QNG#,3.802,3.926,3.766,3.785,110311.0
2021-12-16,QNG#,3.766,3.976,3.729,3.814,122851.0
2021-12-17,QNG#,3.69,3.814,3.617,3.783,101625.0
2021-12-20,QNG#,3.834,3.924,3.642,3.645,128582.0
2021-12-21,QNG#,3.869,3.947,3.719,3.84,128438.0
2021-12-22,QNG#,3.976,4.041,3.816,3.87,86619.0
2021-12-23,QNG#,3.731,4.006,3.599,3.97,82233.0
2021-12-27,QNG#,3.942,3.97,3.632,3.815,125280.0
2021-12-28,QNG#,3.885,4.031,3.805,3.935,116122.0
