time,symbol,close,high,low,open,volume
2021-02-09,@DX#C,90.38,90.846,90.356,90.831,22446.0
2021-02-10,@DX#C,90.314,90.466,90.186,90.406,24626.0
2021-02-11,@DX#C,90.364,90.431,90.201,90.401,18990.0
2021-02-12,@DX#C,90.421,90.686,90.306,90.361,22473.0
2021-02-15,@DX#C,90.421,90.421,90.201,90.371,13831.0
2021-02-16,@DX#C,90.454,90.581,90.046,90.261,30617.0
2021-02-17,@DX#C,90.9,91.001,90.561,90.656,33419.0
2021-02-18,@DX#C,90.551,90.946,90.486,90.821,32788.0
2021-02-19,@DX#C,90.314,90.611,90.116,90.491,27096.0
2021-02-22,@DX#C,89.95,90.526,89.931,90.296,35650.0
2021-02-23,@DX#C,90.118,90.216,89.876,89.931,22814.0
2021-02-24,@DX#C,90.121,90.396,89.911,90.041,30510.0
2021-02-25,@DX#C,90.086,90.246,89.626,90.026,44235.0
2021-02-26,@DX#C,90.833,90.931,90.086,90.286,49289.0
2021-03-01,@DX#C,90.987,91.101,90.636,90.851,36781.0
2021-03-02,@DX#C,90.741,91.356,90.681,91.021,30960.0
2021-03-03,@DX#C,90.893,91.026,90.586,90.751,28972.0
2021-03-04,@DX#C,91.595,91.646,90.936,90.976,36468.0
2021-03-05,@DX#C,91.941,92.176,91.591,91.591,47694.0
2021-03-08,@DX#C,92.285,92.391,91.816,91.891,41680.0
2021-03-09,@DX#C,91.915,92.481,91.871,92.396,41054.0
2021-03-10,@DX#C,91.783,92.215,91.73,91.965,17655.0
2021-03-11,@DX#C,91.37,91.85,91.295,91.805,42132.0
2021-03-12,@DX#C,91.632,91.915,91.335,91.375,29367.0
2021-03-15,@DX#C,91.787,91.925,91.495,91.61,28213.0
2021-03-16,@DX#C,91.835,92.0,91.625,91.775,24242.0
2021-03-17,@DX#C,91.39,91.97,91.32,91.83,31104.0
2021-03-18,@DX#C,91.825,91.885,91.245,91.335,37404.0
2021-03-19,@DX#C,91.88,92.14,91.62,91.805,32375.0
2021-03-22,@DX#C,91.696,92.13,91.65,92.06,28148.0
2021-03-23,@DX#C,92.302,92.355,91.725,91.765,27705.0
2021-03-24,@DX#C,92.485,92.585,92.305,92.385,19001.0
2021-03-25,@DX#C,92.781,92.895,92.475,92.55,27581.0
2021-03-26,@DX#C,92.73,92.85,92.605,92.805,18992.0
2021-03-29,@DX#C,92.911,92.935,92.675,92.685,19817.0
2021-03-30,@DX#C,93.276,93.335,92.845,92.88,17119.0
2021-03-31,@DX#C,93.191,93.425,92.96,93.23,20928.0
2021-04-01,@DX#C,92.902,93.32,92.845,93.185,22120.0
2021-04-02,@DX#C,93.006,93.08,92.795,92.865,5779.0
2021-04-05,@DX#C,92.55,93.085,92.515,92.965,27775.0
2021-04-06,@DX#C,92.303,92.755,92.24,92.535,20489.0
2021-04-07,@DX#C,92.427,92.47,92.11,92.255,18609.0
