time,symbol,close,high,low,open,volume
2024-02-13,CF_VX_AN,-5539.0,-5539.0,-5539.0,-5539.0,0.0
2024-02-20,CF_VX_AN,-3147.0,-3147.0,-3147.0,-3147.0,0.0
2024-02-27,CF_VX_AN,-8773.0,-8773.0,-8773.0,-8773.0,0.0
2024-03-05,CF_VX_AN,-7439.0,-7439.0,-7439.0,-7439.0,0.0
2024-03-12,CF_VX_AN,-15205.0,-15205.0,-15205.0,-15205.0,0.0
2024-03-19,CF_VX_AN,-18110.0,-18110.0,-18110.0,-18110.0,0.0
2024-03-26,CF_VX_AN,-17605.0,-17605.0,-17605.0,-17605.0,0.0
2024-04-02,CF_VX_AN,-10664.0,-10664.0,-10664.0,-10664.0,0.0
2024-04-09,CF_VX_AN,-2960.0,-2960.0,-2960.0,-2960.0,0.0
2024-04-16,CF_VX_AN,-11635.0,-11635.0,-11635.0,-11635.0,0.0
2024-04-23,CF_VX_AN,-5357.0,-5357.0,-5357.0,-5357.0,0.0
2024-04-30,CF_VX_AN,5295.0,5295.0,5295.0,5295.0,0.0
2024-05-07,CF_VX_AN,-22859.0,-22859.0,-22859.0,-22859.0,0.0
2024-05-14,CF_VX_AN,-35732.0,-35732.0,-35732.0,-35732.0,0.0
2024-05-21,CF_VX_AN,-36831.0,-36831.0,-36831.0,-36831.0,0.0
2024-05-28,CF_VX_AN,-35415.0,-35415.0,-35415.0,-35415.0,0.0
2024-06-04,CF_VX_AN,-33321.0,-33321.0,-33321.0,-33321.0,0.0
2024-06-11,CF_VX_AN,-37193.0,-37193.0,-37193.0,-37193.0,0.0
2024-06-18,CF_VX_AN,-36075.0,-36075.0,-36075.0,-36075.0,0.0
2024-06-25,CF_VX_AN,-48146.0,-48146.0,-48146.0,-48146.0,0.0
2024-07-02,CF_VX_AN,-64136.0,-64136.0,-64136.0,-64136.0,0.0
2024-07-09,CF_VX_AN,-59405.0,-59405.0,-59405.0,-59405.0,0.0
2024-07-16,CF_VX_AN,-49719.0,-49719.0,-49719.0,-49719.0,0.0
2024-07-23,CF_VX_AN,-30192.0,-30192.0,-30192.0,-30192.0,0.0
2024-07-30,CF_VX_AN,-19303.0,-19303.0,-19303.0,-19303.0,0.0
2024-08-06,CF_VX_AN,1938.0,1938.0,1938.0,1938.0,0.0
2024-08-13,CF_VX_AN,-23577.0,-23577.0,-23577.0,-23577.0,0.0
2024-08-20,CF_VX_AN,-21551.0,-21551.0,-21551.0,-21551.0,0.0
2024-08-27,CF_VX_AN,-23808.0,-23808.0,-23808.0,-23808.0,0.0
2024-09-03,CF_VX_AN,-4751.0,-4751.0,-4751.0,-4751.0,0.0
2024-09-10,CF_VX_AN,3442.0,3442.0,3442.0,3442.0,0.0
2024-09-17,CF_VX_AN,8914.0,8914.0,8914.0,8914.0,0.0
2024-09-24,CF_VX_AN,4278.0,4278.0,4278.0,4278.0,0.0
