date,state,regime,confidence,prob_bear,prob_bull,prob_high-volatility,prob_sideways,prob_low-volatility
2025-03-02,4,low-volatility,1.0,6.013570730207385e-307,3.2364078398153235e-253,0.0,0.0,1.0
2025-03-03,4,low-volatility,0.9999999959491106,5.732978095796029e-10,3.477520077368942e-09,8.3e-321,2.9019306568907896e-30,0.9999999959491106
2025-03-04,4,low-volatility,0.9999999982503596,1.8876789821410735e-10,1.5609389335840445e-09,1.4861125100827661e-78,6.5045331369876425e-28,0.9999999982503596
2025-03-05,4,low-volatility,0.9999999985450359,1.1682157643770326e-10,1.3381581856631405e-09,5.194095534302712e-79,9.034022121617176e-29,0.9999999985450359
2025-03-06,4,low-volatility,0.9999999977826519,2.730213108786152e-10,1.9442130909384515e-09,6.659188120958166e-77,2.370934462554208e-28,0.9999999977826519
2025-03-07,4,low-volatility,0.9999999904994183,1.3999802632295312e-09,8.100702982769062e-09,1.2730837045813295e-75,4.837180925070466e-27,0.9999999904994183
2025-03-08,4,low-volatility,0.9999999973031208,3.5404067049743875e-10,2.3429113826817614e-09,2.9749306496046027e-76,4.1366208676598075e-27,0.9999999973031208
2025-03-09,4,low-volatility,0.9999999957606178,6.031406611442169e-10,3.636221143311238e-09,2.230176459602182e-75,2.1708420237234103e-27,0.9999999957606178
2025-03-10,4,low-volatility,0.9999999819426649,2.601129484075335e-09,1.545622866925393e-08,3.2270426813832505e-73,2.2185901415205614e-26,0.9999999819426649
2025-03-11,4,low-volatility,0.9999999570022746,5.76287284371408e-09,3.7234852385092804e-08,8.1581289519828e-74,2.3434223834574577e-25,0.9999999570022746
2025-03-12,4,low-volatility,0.999999998393605,1.5949865156249912e-10,1.4469866514952743e-09,8.224791098406655e-77,4.913736911902135e-27,0.999999998393605
2025-03-13,4,low-volatility,0.9999999966244104,4.651345065755623e-10,2.9103934434074195e-09,3.4372417247075498e-77,6.914608836365008e-28,0.9999999966244104
2025-03-14,4,low-volatility,0.9999999978731466,2.5732787534038526e-10,1.8694276967121923e-09,6.184561281989772e-77,8.605749912636895e-28,0.9999999978731466
2025-03-15,4,low-volatility,0.9999999944138835,8.133081301034321e-10,4.77283461655785e-09,3.817207566097594e-76,2.325190357850536e-27,0.9999999944138835
2025-03-16,4,low-volatility,0.9999999969750206,4.0813515837498476e-10,2.6169397177100103e-09,2.1045920893919824e-77,2.9368830254101875e-27,0.9999999969750206
2025-03-17,4,low-volatility,0.9999999985411705,1.186521926860208e-10,1.340090040226155e-09,9.322894522070983e-81,2.0122106094291587e-28,0.9999999985411705
2025-03-18,4,low-volatility,0.9999999679014314,9.544641042979935e-11,3.2003096982709424e-08,2.0285390251061896e-82,2.4264997630856225e-30,0.9999999679014314
2025-03-19,4,low-volatility,0.999999998526846,9.262572595082306e-11,1.3804150648558823e-09,6.633909575387745e-79,2.752444577321979e-29,0.999999998526846
2025-03-20,4,low-volatility,0.999999998515932,9.913137935183803e-11,1.3849742662662116e-09,9.243944247747252e-79,3.1321406223890495e-29,0.999999998515932
2025-03-21,4,low-volatility,0.99999335800226,2.075251152085872e-09,6.639922449166711e-06,7.356179534873132e-71,7.978435062628357e-28,0.99999335800226
2025-03-22,1,bull,0.9999999999897682,1.0150932233220779e-11,0.9999999999897682,7.1895774180772004e-40,2.6571823804423863e-19,7.403093444975387e-51
2025-03-23,1,bull,1.0,2.364024872109105e-14,1.0,5.37781596416416e-38,1.1001662041081828e-21,5.297378981612272e-56
2025-03-24,1,bull,1.0,1.909877428631396e-15,1.0,3.824802916194518e-37,1.8370728811815204e-27,8.572761942901488e-60
2025-03-25,1,bull,0.999999999998181,1.7109580326415725e-12,0.999999999998181,1.8730861133443895e-30,6.121617849744411e-24,8.37260381875326e-46
2025-03-26,1,bull,1.0,8.064714327717232e-14,1.0,4.553568673714734e-29,7.640132174111166e-22,7.386564506157671e-48
2025-03-27,1,bull,0.9999999999954525,4.6274227887971065e-12,0.9999999999954525,1.0721921721377062e-31,1.1642256905902612e-22,3.661566308734237e-46
2025-03-28,1,bull,0.9999999999977263,2.1938522586761222e-12,0.9999999999977263,6.314872152360468e-30,3.1255143721340444e-20,3.90519123402766e-44
2025-03-29,1,bull,0.9999999999970441,2.8441835705770004e-12,0.9999999999970441,8.151165843180187e-29,2.4876799930279035e-20,9.257138966251099e-44
2025-03-30,1,bull,0.9999999999665761,3.3332943873387906e-11,0.9999999999665761,1.3633878396463198e-29,4.969842615745754e-19,4.0197792582278195e-43
2025-03-31,1,bull,0.9999999995382041,4.6187215037511084e-10,0.9999999995382041,1.8604553413269327e-34,8.22400465652768e-18,1.6928794974464928e-42
2025-04-01,1,bull,1.0,4.387422482794564e-19,1.0,3.760689924065593e-30,2.2731770577532282e-21,5.258003293940183e-36
2025-04-02,1,bull,1.0,2.7664439130211234e-16,1.0,4.3614809562818654e-37,1.318138896454817e-28,7.89188811248681e-42
2025-04-03,1,bull,1.0,2.948825439304486e-17,1.0,1.946067807357612e-37,5.707072195914934e-26,1.475747226738604e-38
2025-04-04,1,bull,1.0,1.3870805501370574e-22,1.0,3.688142413444724e-34,1.727712073524286e-28,2.9395623319124555e-39
2025-04-05,1,bull,1.0,1.9550275817936332e-19,1.0,1.7018707696670306e-36,7.841074614428076e-30,1.754144082220249e-40
2025-04-06,1,bull,1.0,1.1014575182032592e-21,1.0,2.9594726392452197e-59,3.0506104429105113e-29,1.0213368494603802e-43
2025-04-07,1,bull,1.0,1.33195730863785e-50,1.0,3.382633435661971e-46,3.368460748822012e-53,1.1262148846349345e-38
