date,state,regime,confidence,prob_bear,prob_bull,prob_high-volatility,prob_low-volatility
2025-03-02,3,low-volatility,1.0,2.2005450636633825e-82,7.06685907841341e-177,7.93030374282498e-164,1.0
2025-03-03,3,low-volatility,1.0,5.750007653369973e-30,5.5749433980372114e-31,1.779670379712855e-40,1.0
2025-03-04,3,low-volatility,1.0,6.388297904978999e-30,6.341719622749455e-31,2.979171136498304e-40,1.0
2025-03-05,3,low-volatility,1.0,6.608421971436648e-30,1.4111493747541785e-29,5.491738710966817e-40,1.0
2025-03-06,3,low-volatility,1.0,8.073808597943856e-30,8.909471836919007e-31,1.512239482913165e-39,1.0
2025-03-07,3,low-volatility,1.0,1.1446775271108567e-29,2.774827522126933e-30,7.755472805523915e-39,1.0
2025-03-08,3,low-volatility,1.0,1.1211493419983835e-29,2.1781540850098436e-30,7.076111908643203e-39,1.0
2025-03-09,3,low-volatility,1.0,1.1454503224537568e-29,3.0216824586594973e-30,3.825969263897465e-39,1.0
2025-03-10,3,low-volatility,1.0,5.475023009595015e-30,5.269070321932378e-31,2.5209694304749286e-40,1.0
2025-03-11,3,low-volatility,1.0,1.1318770769927182e-29,3.696471656629105e-30,7.467650153726764e-39,1.0
2025-03-12,3,low-volatility,1.0,1.1082472979967452e-29,2.0274287262795487e-30,5.186492516767233e-39,1.0
2025-03-13,3,low-volatility,1.0,8.89475541575779e-30,1.06211017633966e-30,1.57713051374037e-39,1.0
2025-03-14,3,low-volatility,1.0,7.630407038091432e-30,1.1270297367411276e-29,1.4475833735676627e-39,1.0
2025-03-15,3,low-volatility,1.0,1.1403505699740285e-29,2.560473858145853e-30,7.736872827717422e-39,1.0
2025-03-16,3,low-volatility,1.0,1.1452430982819597e-29,2.8352273435133863e-30,6.386023400694058e-39,1.0
2025-03-17,3,low-volatility,1.0,9.194822542270457e-30,7.860506558521808e-30,2.889150157546014e-39,1.0
2025-03-18,3,low-volatility,1.0,1.0191097029445175e-29,1.4663554522993728e-30,3.9278380493739445e-39,1.0
2025-03-19,3,low-volatility,1.0,1.0068853461225798e-29,6.2312621440476415e-30,4.6339472410776287e-39,1.0
2025-03-20,3,low-volatility,1.0,1.1106294457765608e-29,2.0523298135154686e-30,2.608291579927405e-33,1.0
2025-03-21,3,low-volatility,1.0,9.184575986558892e-28,1.5118294738540684e-29,4.507792511826272e-17,1.0
2025-03-22,2,high-volatility,0.9999998256219139,2.539340120649917e-11,1.743526148506944e-07,0.9999998256219139,0.0
2025-03-23,2,high-volatility,0.9999338968714999,6.607871360799091e-05,2.441478499859366e-08,0.9999338968714999,0.0
2025-03-24,2,high-volatility,0.9978878359268164,0.0021121635654261727,5.07706203268658e-10,0.9978878359268164,0.0
2025-03-25,2,high-volatility,0.9998471216409495,0.0001528783590723953,3.5267900087801064e-16,0.9998471216409495,0.0
2025-03-26,2,high-volatility,0.999954321603681,4.567839641018108e-05,9.781897676000477e-23,0.999954321603681,0.0
2025-03-27,2,high-volatility,0.9999672643999856,3.2735599981445254e-05,8.145389097465984e-30,0.9999672643999856,0.0
2025-03-28,2,high-volatility,0.9999295748909842,7.042510900485328e-05,9.066814927526328e-34,0.9999295748909842,0.0
