date,state,regime,confidence,prob_sideways,prob_bear,prob_bull
2025-03-02,1,bear,1.0,7.198490018531194e-306,1.0,0.0
2025-03-03,1,bear,1.0,9.163712347898917e-262,1.0,1.5470714877617584e-135
2025-03-04,1,bear,1.0,1.5470714877619344e-135,1.0,7.014011064175908e-136
2025-03-05,1,bear,1.0,7.014011064175908e-136,1.0,1.2812324816325307e-133
2025-03-06,1,bear,1.0,1.281232481632385e-133,1.0,3.798687931921788e-134
2025-03-07,1,bear,1.0,3.798687931929562e-134,1.0,1.4772219817220804e-133
2025-03-08,1,bear,1.0,1.4772219817225842e-133,1.0,1.4313065580910834e-133
2025-03-09,1,bear,1.0,1.4313065580917343e-133,1.0,4.273273729618516e-137
2025-03-10,1,bear,1.0,4.273273729620945e-137,1.0,1.92640629053539e-135
2025-03-11,1,bear,1.0,1.926406290535609e-135,1.0,9.756956526659465e-134
2025-03-12,1,bear,1.0,9.756956526660573e-134,1.0,1.3859985158617282e-133
2025-03-13,1,bear,1.0,1.385998515862516e-133,1.0,2.1999641766913025e-135
2025-03-14,1,bear,1.0,2.1999641766938036e-135,1.0,5.395819754342509e-133
2025-03-15,1,bear,1.0,5.3958197543412816e-133,1.0,1.487280590638385e-133
2025-03-16,1,bear,1.0,1.4872805906412595e-133,1.0,2.303341882801899e-136
2025-03-17,1,bear,1.0,2.303341882802685e-136,1.0,1.4052674406910147e-134
2025-03-18,1,bear,1.0,1.4052674406910147e-134,1.0,3.353844988090516e-136
2025-03-19,1,bear,1.0,3.353844988092422e-136,1.0,3.418313464552745e-133
2025-03-20,1,bear,1.0,3.4183134645531338e-133,1.0,6.042073106072665e-134
2025-03-21,1,bear,1.0,6.04207310608709e-134,1.0,3.207148494101203e-137
2025-03-22,1,bear,1.0,3.2071484941008383e-137,1.0,4.530149740613171e-137
2025-03-23,1,bear,1.0,4.530149740612141e-137,1.0,1.1816888695488662e-141
2025-03-24,1,bear,1.0,1.1816888695488662e-141,1.0,7.018624236927232e-137
2025-03-25,1,bear,1.0,7.018624236925636e-137,1.0,1.4915219967113596e-137
2025-03-26,1,bear,1.0,1.4915219967111902e-137,1.0,1.4944193514830658e-137
2025-03-27,1,bear,1.0,1.494419351482896e-137,1.0,4.587358014070911e-141
2025-03-28,1,bear,1.0,4.587358014069347e-141,1.0,1.0338320879265177e-140
2025-03-29,1,bear,1.0,1.0338320879264002e-140,1.0,1.6652681052837683e-138
2025-03-30,1,bear,1.0,1.6652681052833897e-138,1.0,7.538339213530307e-144
2025-03-31,1,bear,1.0,7.538339213530307e-144,1.0,2.3211161136055604e-140
2025-04-01,1,bear,1.0,2.3211161136055604e-140,1.0,2.353116947383866e-139
2025-04-02,1,bear,1.0,2.3531169473835986e-139,1.0,2.1566090563706104e-153
2025-04-03,1,bear,1.0,2.156609056370365e-153,1.0,2.116410609047567e-185
2025-04-04,1,bear,1.0,2.116410609047086e-185,1.0,4.548353130030405e-174
2025-04-05,1,bear,1.0,4.548353129575367e-174,1.0,9.903882444859409e-148
2025-04-06,1,bear,1.0,2.784058850470721e-161,1.0,1.0061181463563211e-120
2025-04-07,1,bear,1.0,1.280309701749083e-161,1.0,1.3098048136062687e-92
2025-04-08,1,bear,1.0,7.491501297120983e-164,1.0,1.1129160642214802e-63
2025-04-09,1,bear,1.0,0.0,1.0,5.727035773413279e-34
2025-04-10,2,bull,1.0,0.0,0.0,1.0
2025-04-11,2,bull,1.0,1.6e-322,0.0,1.0
2025-04-12,2,bull,1.0,0.0,0.0,1.0
2025-04-13,2,bull,1.0,0.0,0.0,1.0
2025-04-14,2,bull,1.0,0.0,0.0,1.0
2025-04-15,2,bull,1.0,0.0,0.0,1.0
2025-04-16,2,bull,1.0,0.0,0.0,1.0
2025-04-17,2,bull,1.0,0.0,0.0,1.0
2025-04-18,2,bull,1.0,0.0,0.0,1.0
2025-04-19,2,bull,1.0,3.85e-322,0.0,1.0
2025-04-20,2,bull,1.0,0.0,0.0,1.0
2025-04-21,2,bull,1.0,5e-324,0.0,1.0
2025-04-22,2,bull,1.0,1.6036e-319,0.0,1.0
2025-04-23,2,bull,1.0,1.199461586177293e-309,0.0,1.0
2025-04-24,2,bull,1.0,1.0719660202185706e-291,0.0,1.0
2025-04-25,2,bull,1.0,1.851244293553479e-288,0.0,1.0
2025-04-26,2,bull,1.0,1.2775059436967914e-286,0.0,1.0
2025-04-27,2,bull,1.0,2.680356646168027e-286,0.0,1.0
2025-04-28,2,bull,1.0,1.2709939562973412e-283,0.0,1.0
2025-04-29,2,bull,1.0,2.7925457203081523e-257,0.0,1.0
2025-04-30,2,bull,1.0,5.919092701916817e-273,0.0,1.0
2025-05-01,2,bull,1.0,1.0313957553977217e-285,0.0,1.0
2025-05-02,2,bull,1.0,1.9271028445837653e-295,0.0,1.0
2025-05-03,2,bull,1.0,6.725532048037318e-303,0.0,1.0
2025-05-04,2,bull,1.0,2.859194555236493e-309,0.0,1.0
2025-05-05,2,bull,1.0,3.07643119637e-313,0.0,1.0
2025-05-06,2,bull,1.0,3.033267e-318,0.0,1.0
2025-05-07,2,bull,1.0,5.1445e-319,0.0,1.0
2025-05-08,2,bull,1.0,1.483253e-317,0.0,1.0
2025-05-09,2,bull,1.0,2.2826788742e-313,0.0,1.0
2025-05-10,2,bull,1.0,6.697720395620288e-288,0.0,1.0
2025-05-11,2,bull,1.0,2.2054991689294943e-230,0.0,1.0
2025-05-12,2,bull,1.0,2.3389350221399567e-171,0.0,1.0
2025-05-13,2,bull,1.0,8.061060546787288e-121,0.0,1.0
2025-05-14,2,bull,1.0,6.279473087613777e-84,0.0,1.0
2025-05-15,2,bull,1.0,6.4572878707630136e-52,0.0,1.0
2025-05-16,2,bull,1.0,1.86628840652138e-26,0.0,1.0
