date,state,regime,confidence,prob_high-volatility,prob_bear,prob_bull,prob_low-volatility
2025-03-02,1,bear,1.0,0.0,1.0,0.0,0.0
2025-03-03,1,bear,1.0,0.0,1.0,0.0,5.66172009491772e-285
2025-03-04,1,bear,1.0,0.0,1.0,0.0,2.6293161982906958e-289
2025-03-05,1,bear,1.0,0.0,1.0,0.0,1.4098313609485726e-298
2025-03-06,1,bear,1.0,0.0,1.0,0.0,6.452357862130937e-284
2025-03-07,1,bear,1.0,0.0,1.0,0.0,1.3671267696552473e-292
2025-03-08,1,bear,1.0,0.0,1.0,0.0,3.005552789532364e-293
2025-03-09,1,bear,1.0,0.0,1.0,0.0,2.5645382610912865e-292
2025-03-10,1,bear,1.0,0.0,1.0,0.0,2.6706504528706917e-284
2025-03-11,1,bear,1.0,0.0,1.0,0.0,3.2559500513790653e-290
2025-03-12,1,bear,1.0,0.0,1.0,0.0,1.866503275864265e-298
2025-03-13,1,bear,1.0,0.0,1.0,0.0,2.8045662213018145e-286
2025-03-14,1,bear,1.0,0.0,1.0,0.0,5.796978450717627e-303
2025-03-15,1,bear,1.0,0.0,1.0,0.0,2.7445087206977313e-292
2025-03-16,1,bear,1.0,0.0,1.0,0.0,3.216456304147174e-287
2025-03-17,1,bear,1.0,0.0,1.0,0.0,2.8309135896719483e-307
2025-03-18,1,bear,1.0,0.0,1.0,0.0,2.1981428897241806e-285
2025-03-19,1,bear,1.0,0.0,1.0,0.0,5.592880094520799e-287
2025-03-20,1,bear,1.0,0.0,1.0,0.0,3.8206488196889015e-305
2025-03-21,1,bear,1.0,0.0,1.0,0.0,1.4042813060273886e-293
2025-03-22,1,bear,1.0,1.0537963252375315e-221,1.0,0.0,0.0
2025-03-23,1,bear,1.0,9.940824653310484e-225,1.0,0.0,0.0
2025-03-24,1,bear,1.0,1.7851911508450635e-223,1.0,0.0,0.0
2025-03-25,1,bear,1.0,1.2985008218488144e-221,1.0,0.0,0.0
2025-03-26,1,bear,1.0,2.560465481520242e-221,1.0,0.0,0.0
2025-03-27,1,bear,1.0,2.2986912579493664e-219,1.0,0.0,0.0
2025-03-28,1,bear,1.0,1.8717040110261353e-217,1.0,0.0,0.0
2025-03-29,1,bear,1.0,1.404290663068409e-217,1.0,0.0,0.0
2025-03-30,1,bear,1.0,5.9977586994555056e-220,1.0,0.0,5.214641898308309e-296
2025-03-31,1,bear,1.0,1.906077038473282e-221,1.0,0.0,1.303375419408667e-304
2025-04-01,1,bear,1.0,3.744597025108447e-220,1.0,0.0,2.933138267661095e-288
2025-04-02,1,bear,1.0,8.043947973913127e-221,1.0,0.0,1.0765261891231329e-248
2025-04-03,1,bear,1.0,3.6914943917878886e-220,1.0,0.0,0.0
2025-04-04,1,bear,1.0,2.6810317906367467e-238,1.0,0.0,0.0
2025-04-05,1,bear,1.0,5.438786323192093e-228,1.0,0.0,0.0
2025-04-06,1,bear,1.0,1.0635099626088555e-233,1.0,0.0,0.0
2025-04-07,1,bear,1.0,2.2780446443804167e-234,1.0,0.0,0.0
2025-04-08,1,bear,1.0,6.256826586426354e-275,1.0,0.0,0.0
2025-04-09,2,bull,1.0,0.0,9.472748627775005e-43,1.0,0.0
2025-04-10,2,bull,1.0,0.0,7.961933416034154e-70,1.0,0.0
2025-04-11,2,bull,1.0,0.0,7.318962256538968e-101,1.0,0.0
2025-04-12,2,bull,1.0,0.0,1.3861422697071636e-136,1.0,0.0
