date,state,regime,confidence,prob_sideways,prob_bear,prob_high-volatility,prob_bull,prob_low-volatility
2025-01-01,4,low-volatility,1.0,0.0,0.0,0.0,0.0,1.0
2025-01-02,4,low-volatility,1.0,5.162187192808837e-32,1.6154579305375392e-65,2.32957851272564e-67,1.2519989100945855e-120,1.0
2025-01-03,4,low-volatility,1.0,3.2515468744904933e-31,3.0485887775885406e-58,1.8856508430123788e-69,2.7869246726419438e-105,1.0
2025-01-04,4,low-volatility,1.0,2.794603246841855e-31,1.85614818977592e-59,1.5485412352321814e-69,4.039685765866801e-104,1.0
2025-01-05,4,low-volatility,1.0,2.739391162585332e-31,1.3975832406310551e-59,5.659926709505077e-73,3.761309483274732e-104,1.0
2025-01-06,4,low-volatility,1.0,1.2002957205383573e-31,5.019482373293833e-63,5.587079246690267e-70,2.6651587781036143e-103,1.0
2025-01-07,4,low-volatility,1.0,2.3474609363476356e-31,2.055258320424045e-60,3.0596990065579916e-71,2.7219629928321388e-104,1.0
2025-01-08,4,low-volatility,1.0,1.8999022764620977e-31,2.3602472850148135e-61,5.461064429197219e-69,9.253891591386641e-104,1.0
2025-01-09,4,low-volatility,1.0,2.9075596643918703e-31,3.3855707061713073e-59,3.76200426926513e-76,1.9872383947446644e-104,1.0
2025-01-10,4,low-volatility,1.0,2.551418628552895e-32,2.5590107623247842e-67,4.507821865503115e-68,2.009046600442361e-102,1.0
2025-01-11,4,low-volatility,1.0,2.843616142478724e-31,2.400009485549009e-59,1.4469614023519355e-69,2.9462638082958397e-105,1.0
2025-01-12,4,low-volatility,1.0,2.7287092921281114e-31,1.3237285858221715e-59,4.4853728753146004e-69,3.886004615435579e-104,1.0
2025-01-13,4,low-volatility,1.0,2.936410023411744e-31,3.9694820721439678e-59,1.9448821048452895e-64,2.7253990201791278e-104,1.0
2025-01-14,4,low-volatility,1.0,2.4022733792150823e-31,1.8211815259897e-54,6.589254672358596e-60,5.622292140045251e-106,1.0
2025-01-15,4,low-volatility,1.0,3.3848697354699324e-31,1.7451292441193452e-56,6.078246600620652e-52,3.267087370737296e-105,1.0
2025-01-16,4,low-volatility,1.0,2.253450006999957e-31,1.3109038116678868e-60,1.2597381332647156e-43,8.636310822258274e-104,1.0
2025-01-17,4,low-volatility,1.0,2.4844200430562535e-31,1.4146242720114297e-54,2.3090313958587925e-35,4.870059744041005e-106,1.0
2025-01-18,4,low-volatility,1.0,2.837638350850341e-31,2.3403042392536765e-59,2.279934835937193e-27,2.8949420633978636e-104,1.0
2025-01-19,4,low-volatility,1.0,2.8957649810212597e-31,4.70311255564142e-53,5.152253016756529e-19,3.023753517189444e-104,1.0
2025-01-20,4,low-volatility,0.9999999998817657,1.089163123687482e-29,1.6457018459723328e-42,1.182102161481442e-10,2.0335655199338336e-107,0.9999999998817657
2025-01-21,1,bear,0.9995746350877691,1.2900200872486362e-06,0.9995746350877691,6.715878246846936e-07,3.0038870220808305e-43,0.0004234033042495615
2025-01-22,1,bear,0.9999891940125918,9.357685600224365e-07,0.9999891940125918,2.242200067006528e-08,3.0744275455955383e-16,9.847796878099859e-06
2025-01-23,1,bear,0.9999997086745649,2.1979767279974076e-07,0.9999997086745649,2.439826281855931e-09,6.754121361449776e-18,6.908792387486122e-08
2025-01-24,1,bear,0.9999998881946857,4.749166367704981e-08,0.9999998881946857,6.430210931331475e-08,1.3973435432851707e-16,1.142881744690339e-11
2025-01-25,1,bear,0.9999999862195637,9.31945232513379e-09,0.9999999862195637,4.460946809318573e-09,3.8529415272530545e-18,7.224826341591261e-14
2025-01-26,1,bear,0.9999998610835615,1.1638601478619189e-07,0.9999998610835615,2.253040377477282e-08,2.9862383116331835e-16,2.6109409322915748e-14
2025-01-27,1,bear,0.9999992441876785,6.485320699028275e-07,0.9999992441876785,1.072798495433881e-07,7.6850243926436e-15,4.2348364126783804e-13
2025-01-28,1,bear,0.9999924356429409,6.689651255468718e-06,0.9999924356429409,8.743716066394646e-07,3.273760400351969e-10,6.810175819065786e-12
2025-01-29,1,bear,0.9995680128073225,0.00035595197145347053,0.9995680128073225,4.128749575345696e-12,7.603521706349185e-05,2.26827653766505e-16
2025-01-30,3,bull,0.9999937603087384,7.693243955410839e-15,6.2396909111216495e-06,2.732967741769981e-13,0.9999937603087384,1.4183350133248312e-19
2025-01-31,3,bull,0.9999999779579414,3.618004770316488e-12,2.203844213081732e-08,3.846003737995912e-21,0.9999999779579414,6.608340948676425e-14
2025-02-01,3,bull,0.9999999999347438,1.0838993712564547e-13,6.49694278098144e-11,1.0434392632407777e-20,0.9999999999347438,8.400734655086187e-14
2025-02-02,3,bull,0.9999999999993179,1.4451961135879895e-15,6.996653518706848e-13,6.622519676410319e-23,0.9999999999993179,1.576967283423004e-14
2025-02-03,3,bull,1.0,1.1755619227055727e-17,1.6438893584348256e-14,2.270077695072601e-30,1.0,2.3747498731314463e-20
2025-02-04,3,bull,1.0,1.0371865060075991e-20,1.3650363093396664e-20,3.1457930622164055e-28,1.0,2.0072184470045334e-18
