date,state,regime,confidence,prob_low-volatility,prob_bull,prob_high-volatility,prob_bear
2025-03-02,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-03,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-04,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-05,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-06,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-07,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-08,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-09,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-10,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-11,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-12,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-13,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-14,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-15,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-16,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-17,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-18,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-19,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-20,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-21,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-22,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-23,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-24,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-25,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-26,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-27,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-28,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-29,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-30,3,bear,1.0,0.0,0.0,0.0,1.0
2025-03-31,3,bear,1.0,0.0,0.0,0.0,1.0
2025-04-01,3,bear,1.0,0.0,0.0,0.0,1.0
2025-04-02,3,bear,1.0,0.0,0.0,0.0,1.0
2025-04-03,3,bear,1.0,0.0,0.0,0.0,1.0
2025-04-04,3,bear,1.0,0.0,0.0,0.0,1.0
2025-04-05,3,bear,1.0,0.0,0.0,0.0,1.0
2025-04-06,3,bear,1.0,0.0,0.0,0.0,1.0
2025-04-07,3,bear,1.0,0.0,0.0,0.0,1.0
2025-04-08,3,bear,1.0,0.0,0.0,0.0,1.0
2025-04-09,1,bull,0.9999949832881256,0.0,0.9999949832881256,0.0,5.016711853582907e-06
2025-04-10,1,bull,1.0,0.0,1.0,2.4399511273784874e-150,0.0
2025-04-11,1,bull,1.0,0.0,1.0,7.99005358283301e-155,0.0
2025-04-12,1,bull,1.0,0.0,1.0,6.290591168009605e-153,0.0
2025-04-13,1,bull,1.0,0.0,1.0,1.1684525113641787e-153,0.0
2025-04-14,1,bull,1.0,0.0,1.0,1.3071099459083504e-153,0.0
2025-04-15,1,bull,1.0,0.0,1.0,2.2483458675093175e-153,0.0
2025-04-16,1,bull,1.0,0.0,1.0,6.97862873633004e-154,0.0
2025-04-17,1,bull,1.0,0.0,1.0,1.4875047183704504e-153,0.0
2025-04-18,1,bull,1.0,0.0,1.0,4.2918718636645784e-154,0.0
2025-04-19,1,bull,1.0,0.0,1.0,6.05902043837547e-154,0.0
2025-04-20,1,bull,1.0,0.0,1.0,1.2742480810283841e-165,0.0
2025-04-21,1,bull,1.0,0.0,1.0,8.21484055160898e-173,0.0
2025-04-22,1,bull,1.0,0.0,1.0,3.830649614755133e-173,0.0
2025-04-23,1,bull,1.0,7.934129087620004e-302,1.0,4.709561908168602e-165,0.0
2025-04-24,1,bull,1.0,2.5500823257127522e-247,1.0,1.3719413341872421e-162,0.0
2025-04-25,1,bull,1.0,6.077506651936933e-206,1.0,1.5996987980723218e-132,0.0
2025-04-26,1,bull,1.0,2.240044684646308e-163,1.0,1.0506106705039688e-99,0.0
2025-04-27,1,bull,1.0,7.001742144056829e-122,1.0,1.3704525375867623e-66,0.0
2025-04-28,1,bull,1.0,6.273626009350753e-79,1.0,1.0144605334733166e-33,0.0
2025-04-29,2,high-volatility,1.0,5.745739388869633e-62,0.0,1.0,0.0
2025-04-30,2,high-volatility,1.0,3.2361337048990416e-52,0.0,1.0,0.0
2025-05-01,2,high-volatility,1.0,2.9691194427545944e-74,0.0,1.0,0.0
2025-05-02,2,high-volatility,1.0,6.711860990997788e-95,0.0,1.0,0.0
2025-05-03,2,high-volatility,1.0,1.7252643544349663e-110,0.0,1.0,0.0
2025-05-04,2,high-volatility,1.0,3.1345650994829984e-121,0.0,1.0,0.0
2025-05-05,2,high-volatility,1.0,2.613820330641302e-129,0.0,1.0,0.0
2025-05-06,2,high-volatility,1.0,2.17540835988966e-133,0.0,1.0,0.0
2025-05-07,2,high-volatility,1.0,1.6241856900322781e-134,0.0,1.0,0.0
2025-05-08,2,high-volatility,1.0,1.811593944481814e-136,0.0,1.0,0.0
2025-05-09,2,high-volatility,1.0,8.005006013060767e-132,0.0,1.0,0.0
2025-05-10,2,high-volatility,1.0,6.997130018160073e-123,0.0,1.0,0.0
2025-05-11,2,high-volatility,1.0,1.8914924757050024e-110,0.0,1.0,0.0
2025-05-12,2,high-volatility,1.0,3.0304419062428096e-100,0.0,1.0,0.0
2025-05-13,2,high-volatility,1.0,5.456841767228381e-82,0.0,1.0,0.0
2025-05-14,2,high-volatility,1.0,8.470622565334196e-72,0.0,1.0,0.0
2025-05-15,2,high-volatility,1.0,1.128027393737914e-58,0.0,1.0,0.0
2025-05-16,2,high-volatility,1.0,4.215250968229975e-44,0.0,1.0,0.0
2025-05-17,2,high-volatility,1.0,3.2711628882993305e-28,0.0,1.0,0.0
2025-05-18,2,high-volatility,0.9999999989913704,1.0086048146862186e-09,0.0,0.9999999989913704,0.0
2025-05-19,2,high-volatility,0.9999999968558768,3.1440752666940536e-09,0.0,0.9999999968558768,0.0
2025-05-20,2,high-volatility,1.0,7.767661573296279e-19,0.0,1.0,0.0
2025-05-21,2,high-volatility,1.0,1.2293251317219718e-53,0.0,1.0,0.0
2025-05-22,2,high-volatility,1.0,3.7442572364073916e-44,0.0,1.0,0.0
2025-05-23,2,high-volatility,1.0,6.254104257619925e-53,0.0,1.0,0.0
