date,state,regime,confidence,prob_sideways,prob_bull,prob_bear,prob_high-volatility,prob_low-volatility
2025-03-02,4,low-volatility,1.0,0.0,0.0,0.0,0.0,1.0
2025-03-03,4,low-volatility,1.0,1.95469038505516e-21,4.94439543907023e-66,2.0841422499218343e-138,2.4264955279554644e-42,1.0
2025-03-04,4,low-volatility,1.0,2.0034808133740648e-24,1.0123734025938921e-46,4.308758070563041e-132,1.075796339683291e-38,1.0
2025-03-05,4,low-volatility,1.0,3.3186422831641834e-20,2.544239211441091e-55,1.0210112779266203e-141,4.802024595525064e-45,1.0
2025-03-06,4,low-volatility,1.0,8.635270285195127e-24,3.643852782910925e-46,2.5035190602082026e-133,2.2008274707413442e-39,1.0
2025-03-07,4,low-volatility,1.0,3.255752963066625e-21,8.311811472960161e-53,7.692812476083067e-136,1.0998635503803753e-42,1.0
2025-03-08,4,low-volatility,1.0,1.6300775983056872e-21,7.967226086194444e-50,1.6038781913548903e-135,3.1803648219895404e-42,1.0
2025-03-09,4,low-volatility,1.0,1.197427095277771e-21,5.950561441892066e-50,1.292316676355787e-137,4.97920282699973e-42,1.0
2025-03-10,4,low-volatility,1.0,6.4629156832280786e-24,1.794441195639038e-47,1.4367123046996795e-133,3.0308213030534155e-39,1.0
2025-03-11,4,low-volatility,1.0,1.6614653512145832e-21,1.5424764154372519e-52,1.497694114568883e-134,3.092022691226279e-42,1.0
2025-03-12,4,low-volatility,1.0,1.1475300351895717e-20,2.3655069475219192e-51,2.9336171244909155e-138,1.1421289667063267e-43,1.0
2025-03-13,4,low-volatility,1.0,9.706861614437948e-23,8.636830685800474e-48,5.766308854981343e-133,1.3357202560083947e-40,1.0
2025-03-14,4,low-volatility,1.0,2.7879504364580054e-20,2.231614802752289e-53,9.292841990730168e-139,1.0989010339505631e-44,1.0
2025-03-15,4,low-volatility,1.0,1.4383652369297812e-21,8.032471884055155e-49,1.9860380525666924e-135,3.820793333885545e-42,1.0
2025-03-16,4,low-volatility,1.0,1.2550781143445777e-21,4.942841037158825e-50,9.012956639742171e-135,4.654267633050714e-42,1.0
2025-03-17,4,low-volatility,1.0,4.7809008697911896e-21,6.996828509247617e-51,1.7375040735355456e-136,5.838086100092514e-43,1.0
2025-03-18,4,low-volatility,1.0,7.349106320106003e-22,3.234557896168041e-49,6.32905854985796e-135,9.872381880031609e-42,1.0
2025-03-19,4,low-volatility,1.0,1.7898081631179515e-21,1.5903191566635966e-50,5.228214378011046e-136,2.7687189627841413e-42,1.0
2025-03-20,4,low-volatility,1.0,4.438476603096121e-22,2.251134457775129e-49,1.4054075345890102e-136,1.9487802467191126e-41,1.0
2025-03-21,4,low-volatility,1.0,2.3633380454803764e-23,1.0217395898546025e-48,2.2326884432482536e-113,2.2784122263268805e-55,1.0
2025-03-22,2,bear,0.9999999990704964,9.293971411192194e-10,2.415639676069793e-25,0.9999999990704964,5.352373158135574e-57,2.6547335465107077e-14
2025-03-23,2,bear,0.9999992716975991,4.384696848160731e-07,2.8983263032092877e-07,0.9999992716975991,1.9713546123294515e-75,5.716252034190275e-23
2025-03-24,2,bear,0.9961094184526816,0.0038903120281613,2.695190927583632e-07,0.9961094184526816,1.2125739178156431e-59,5.28155511876973e-20
2025-03-25,0,sideways,0.9999999788692551,0.9999999788692551,2.1123659129269577e-08,3.5689246335069055e-14,1.812116547109355e-39,7.1193743368116555e-12
2025-03-26,0,sideways,0.9999999917479272,0.9999999917479272,1.6321247528819814e-10,4.848121570022103e-20,3.406215565237525e-35,8.08877052944138e-09
