Asset,AssetID,Horizons,N_Horizons,Threshold,Sharpe,Return,WinRate,DA,Trades
Bitcoin,1860,D1+D3+D13,3,0.3,1350907779.907,0.85,100.0,100.0,1
Bitcoin,1860,D1+D5,2,0.3,1350907779.907,0.85,100.0,100.0,1
Bitcoin,1860,D1+D3+D10+D13,4,0.3,1350907779.907,0.85,100.0,100.0,1
Bitcoin,1860,D1+D13,2,0.3,1350907779.907,0.85,100.0,100.0,1
Bitcoin,1860,D1+D5+D13,3,0.3,1350907779.907,0.85,100.0,100.0,1
Bitcoin,1860,D1+D3+D5,3,0.3,1350907779.907,0.85,100.0,100.0,1
Bitcoin,1860,D1+D3+D5+D13,4,0.3,1350907779.907,0.85,100.0,100.0,1
Bitcoin,1860,D1+D3+D5+D13,4,0.2,36.139,4.98,100.0,100.0,6
Bitcoin,1860,D1+D13,2,0.2,15.64,4.74,87.5,87.5,8
Bitcoin,1860,D1+D5+D13,3,0.2,14.944,4.22,85.7,85.7,7
Bitcoin,1860,D1+D5+D10+D13,4,0.2,14.936,4.47,87.5,87.5,8
Bitcoin,1860,D1+D10+D13,3,0.3,14.836,3.71,83.3,83.3,6
Bitcoin,1860,D1+D3+D8+D13,4,0.2,14.07,3.19,80.0,80.0,5
Bitcoin,1860,D1+D5+D8+D13,4,0.2,14.07,3.19,80.0,80.0,5
Bitcoin,1860,D1+D3,2,0.3,12.954,11.61,70.0,70.0,10
Bitcoin,1860,D1+D3+D13,3,0.2,11.752,4.94,71.4,71.4,7
Bitcoin,1860,D3+D10+D13,3,0.3,11.365,2.16,80.0,80.0,5
Bitcoin,1860,D1+D5,2,0.2,9.884,1.37,75.0,75.0,4
Bitcoin,1860,D1+D3+D5,3,0.2,9.884,1.37,75.0,75.0,4
Bitcoin,1860,D1+D3+D10+D13,4,0.2,9.474,3.5,77.8,77.8,9
Bitcoin,1860,D8+D13,2,0.5,9.441,1.59,75.0,75.0,4
Bitcoin,1860,D1+D3,2,0.5,8.488,0.35,50.0,50.0,2
Bitcoin,1860,D3+D10+D13,3,0.2,7.874,13.41,77.3,77.3,22
Bitcoin,1860,D3+D8+D10+D13,4,0.3,7.501,1.09,66.7,66.7,3
Bitcoin,1860,D1+D8+D10+D13,4,0.3,7.501,1.09,66.7,66.7,3
Bitcoin,1860,D1+D10+D13,3,0.2,6.93,10.55,76.2,76.2,21
Bitcoin,1860,D8+D10+D13,3,0.2,6.876,15.73,66.7,66.7,30
Bitcoin,1860,D5+D10+D13,3,0.2,6.539,9.64,75.0,75.0,20
Bitcoin,1860,D8+D13,2,0.2,6.391,15.02,64.5,64.5,31
Bitcoin,1860,D1+D8+D10+D13,4,0.2,6.362,7.48,76.5,76.5,17
Bitcoin,1860,D5+D13,2,0.2,5.789,7.35,76.5,76.5,17
Bitcoin,1860,D5+D10,2,0.2,5.247,0.71,80.0,80.0,5
Bitcoin,1860,D8+D13,2,0.3,5.153,7.34,70.0,70.0,20
Bitcoin,1860,D10+D13,2,0.5,5.082,4.44,76.9,76.9,13
Bitcoin,1860,D10+D13,2,0.3,4.971,13.38,66.7,66.7,30
Bitcoin,1860,D5+D8+D10+D13,4,0.2,4.813,5.68,75.0,75.0,16
Bitcoin,1860,D1+D3,2,0.2,4.763,15.09,61.5,61.5,26
Bitcoin,1860,D10+D13,2,0.2,4.62,17.6,64.1,64.1,39
Bitcoin,1860,D3+D8+D10+D13,4,0.2,4.572,5.13,73.3,73.3,15
Bitcoin,1860,D3+D13,2,0.2,4.572,5.13,73.3,73.3,15
Bitcoin,1860,D3+D8+D13,3,0.2,4.572,5.13,73.3,73.3,15
Bitcoin,1860,D1+D8+D10+D13,4,0.1,4.383,15.81,60.5,60.5,38
Bitcoin,1860,D8+D10+D13,3,0.3,4.3,4.87,66.7,66.7,15
Bitcoin,1860,D3+D5+D8+D13,4,0.2,3.635,3.01,70.0,70.0,10
Bitcoin,1860,D3+D5+D13,3,0.2,3.487,3.24,66.7,66.7,12
Bitcoin,1860,D5+D8+D10,3,0.2,3.486,1.37,66.7,66.7,6
Bitcoin,1860,D3+D5+D10+D13,4,0.2,2.574,3.1,66.7,66.7,15
Bitcoin,1860,D3+D5,2,0.2,2.537,8.24,57.7,57.7,26
Bitcoin,1860,D1+D8+D13,3,0.2,2.512,2.07,71.4,71.4,14
Bitcoin,1860,D5+D8+D10+D13,4,0.3,2.254,0.23,50.0,50.0,2
Bitcoin,1860,D1+D3+D8,3,0.1,1.964,9.46,61.5,61.5,39
Bitcoin,1860,D5+D10+D13,3,0.1,1.898,9.57,61.4,61.4,44
Bitcoin,1860,D8+D10,2,0.2,1.861,5.93,68.0,68.0,25
Bitcoin,1860,D3+D10,2,0.2,1.753,0.43,50.0,50.0,2
Bitcoin,1860,D3+D5+D8+D10,4,0.2,1.753,0.43,50.0,50.0,2
Bitcoin,1860,D5+D8+D13,3,0.2,1.704,2.06,73.3,73.3,15
Bitcoin,1860,D1+D3+D13,3,0.05,1.695,9.93,56.0,56.0,50
Bitcoin,1860,D3+D10+D13,3,0.1,1.688,8.82,60.0,60.0,45
Bitcoin,1860,D3+D5+D13,3,0.05,1.6,10.13,56.6,56.6,53
Bitcoin,1860,D8+D10+D13,3,0.1,1.534,6.8,54.3,54.3,46
Bitcoin,1860,D1+D3+D8+D13,4,0.05,1.519,8.28,55.1,55.1,49
Bitcoin,1860,D1+D5,2,0.05,1.435,15.27,55.1,55.1,89
Bitcoin,1860,D1+D3+D5,3,0.05,1.435,15.27,55.1,55.1,89
Bitcoin,1860,D1+D3+D5+D13,4,0.05,1.421,7.51,55.1,55.1,49
Bitcoin,1860,D1+D3+D5+D8,4,0.05,1.349,12.66,59.5,59.5,84
Bitcoin,1860,D3+D8+D10+D13,4,0.1,1.308,5.99,61.0,61.0,41
Bitcoin,1860,D1+D8+D13,3,0.3,1.298,0.12,50.0,50.0,2
Bitcoin,1860,D1+D5+D10+D13,4,0.3,1.298,0.12,50.0,50.0,2
Bitcoin,1860,D3+D13,2,0.3,1.298,0.12,50.0,50.0,2
Bitcoin,1860,D3+D8+D13,3,0.3,1.298,0.12,50.0,50.0,2
Bitcoin,1860,D8+D10+D13,3,0.5,1.298,0.12,50.0,50.0,2
Bitcoin,1860,D1+D5+D8,3,0.1,1.168,5.26,59.5,59.5,37
Bitcoin,1860,D8+D10,2,0.3,1.165,1.53,60.0,60.0,10
Bitcoin,1860,D5+D8+D10+D13,4,0.1,1.14,5.01,60.0,60.0,40
Bitcoin,1860,D8+D13,2,0.1,1.13,5.1,54.2,54.2,48
Bitcoin,1860,D5+D13,2,0.1,1.126,5.28,60.5,60.5,43
Bitcoin,1860,D1+D3+D5+D8,4,0.1,1.075,4.59,59.5,59.5,37
Bitcoin,1860,D1+D3+D10,3,0.05,1.032,9.65,58.8,58.8,80
Bitcoin,1860,D5+D13,2,0.05,0.867,4.64,56.6,56.6,53
Bitcoin,1860,D3+D8+D10+D13,4,0.05,0.81,4.4,52.7,52.7,55
Bitcoin,1860,D1+D8,2,0.1,0.785,2.9,61.8,61.8,34
Bitcoin,1860,D3+D5+D10,3,0.05,0.724,7.54,56.9,56.9,102
Bitcoin,1860,D1+D10+D13,3,0.05,0.697,3.97,53.3,53.3,60
Bitcoin,1860,D1+D10+D13,3,0.1,0.679,2.84,54.5,54.5,44
Bitcoin,1860,D1+D8+D13,3,0.05,0.676,3.43,53.7,53.7,54
Bitcoin,1860,D1+D5+D10+D13,4,0.05,0.676,3.43,53.7,53.7,54
Bitcoin,1860,D1+D8+D13,3,0.1,0.67,2.21,60.0,60.0,35
Bitcoin,1860,D3+D10+D13,3,0.05,0.609,3.02,52.7,52.7,55
Bitcoin,1860,D3+D5+D8+D13,4,0.05,0.604,3.07,57.7,57.7,52
Bitcoin,1860,D3+D5+D8,3,0.1,0.584,3.4,55.0,55.0,60
Bitcoin,1860,D5+D8+D13,3,0.05,0.563,2.43,59.2,59.2,49
Bitcoin,1860,D1+D3+D5+D10,4,0.05,0.549,4.18,58.0,58.0,81
Bitcoin,1860,D1+D8+D10,3,0.1,0.549,1.78,57.1,57.1,35
Bitcoin,1860,D3+D13,2,0.05,0.523,2.38,52.8,52.8,53
Bitcoin,1860,D3+D8+D13,3,0.05,0.523,2.38,52.8,52.8,53
Bitcoin,1860,D1+D5+D8+D13,4,0.05,0.498,1.9,57.8,57.8,45
Bitcoin,1860,D3+D5+D10+D13,4,0.05,0.482,2.11,52.8,52.8,53
Bitcoin,1860,D1+D5+D10+D13,4,0.1,0.462,1.25,60.6,60.6,33
Bitcoin,1860,D1+D5+D10,3,0.05,0.453,3.22,57.1,57.1,84
Bitcoin,1860,D1+D5+D13,3,0.1,0.431,1.12,60.6,60.6,33
Bitcoin,1860,D1+D10,2,0.05,0.429,3.04,57.5,57.5,87
Bitcoin,1860,D3+D8,2,0.1,0.387,1.7,55.9,55.9,59
Bitcoin,1860,D1+D3+D5+D13,4,0.1,0.368,0.81,61.3,61.3,31
Bitcoin,1860,D1+D3+D10+D13,4,0.05,0.343,1.14,52.0,52.0,50
