method,sharpe,da,mse,returns,n_samples,horizon,agreement
equal_weight,0.696,26.1,336.5641,4.0,120.0,D+10,
top_k_acc_1pct,0.696,27.7,333.7362,4.0,120.0,D+10,
top_k_acc_5pct,0.696,29.4,335.5509,4.0,120.0,D+10,
top_k_acc_10pct,0.696,27.7,336.3661,4.0,120.0,D+10,
top_k_acc_20pct,0.696,26.9,336.3228,4.0,120.0,D+10,
top_k_sharpe_1pct,0.696,26.9,337.6399,4.0,120.0,D+10,
top_k_sharpe_5pct,0.696,28.6,336.7857,4.0,120.0,D+10,
top_k_sharpe_10pct,0.696,25.2,335.8872,4.0,120.0,D+10,
top_k_sharpe_20pct,0.696,24.4,336.3417,4.0,120.0,D+10,
inverse_variance,0.696,26.1,336.5846,4.0,120.0,D+10,
exp_decay_0.9,0.696,28.6,336.3182,4.0,120.0,D+10,
exp_decay_0.95,0.696,29.4,336.0716,4.0,120.0,D+10,
exp_decay_0.99,0.696,28.6,335.5194,4.0,120.0,D+10,
ridge_stack,0.696,31.9,364.4835,4.0,120.0,D+10,
median,0.696,28.6,336.5237,4.0,120.0,D+10,
trimmed_mean_10pct,0.696,26.9,336.5496,4.0,120.0,D+10,
quantum_annealing,0.696,26.1,336.5305,4.0,120.0,D+10,
attention_ensemble,0.696,26.9,336.9081,4.0,120.0,D+10,
hedge_algorithm,0.696,26.1,337.2596,4.0,120.0,D+10,
meta_ensemble_hedge,0.696,26.1,336.7936,4.0,120.0,D+10,
equal_weight,0.343,31.1,273.7784,2.0,120.0,D+8,
top_k_acc_1pct,0.343,30.3,273.9131,2.0,120.0,D+8,
top_k_acc_5pct,0.343,31.1,274.2411,2.0,120.0,D+8,
top_k_acc_10pct,0.343,34.5,274.0779,2.0,120.0,D+8,
top_k_acc_20pct,0.343,32.8,274.2453,2.0,120.0,D+8,
top_k_sharpe_1pct,0.343,29.4,274.4977,2.0,120.0,D+8,
top_k_sharpe_5pct,0.343,31.1,273.0423,2.0,120.0,D+8,
top_k_sharpe_10pct,0.343,31.1,272.7759,2.0,120.0,D+8,
top_k_sharpe_20pct,0.343,30.3,273.0362,2.0,120.0,D+8,
inverse_variance,0.343,31.1,273.781,2.0,120.0,D+8,
exp_decay_0.9,0.343,30.3,272.4561,2.0,120.0,D+8,
exp_decay_0.95,0.343,31.1,272.9093,2.0,120.0,D+8,
exp_decay_0.99,0.343,32.8,273.6257,2.0,120.0,D+8,
ridge_stack,0.343,36.1,299.8895,2.0,120.0,D+8,
median,0.343,28.6,273.7086,2.0,120.0,D+8,
trimmed_mean_10pct,0.343,29.4,273.7394,2.0,120.0,D+8,
equal_weight,0.173,25.2,304.7916,1.0,120.0,D+9,
top_k_acc_1pct,0.173,30.3,304.2543,1.0,120.0,D+9,
top_k_acc_5pct,0.173,27.7,303.7863,1.0,120.0,D+9,
top_k_acc_10pct,0.173,24.4,303.8826,1.0,120.0,D+9,
top_k_acc_20pct,0.173,23.5,304.264,1.0,120.0,D+9,
top_k_sharpe_1pct,0.173,27.7,306.0932,1.0,120.0,D+9,
top_k_sharpe_5pct,0.173,25.2,304.0394,1.0,120.0,D+9,
top_k_sharpe_10pct,0.173,26.1,304.4416,1.0,120.0,D+9,
top_k_sharpe_20pct,0.173,28.6,304.999,1.0,120.0,D+9,
inverse_variance,0.173,26.1,304.797,1.0,120.0,D+9,
exp_decay_0.9,0.173,26.9,307.0157,1.0,120.0,D+9,
exp_decay_0.95,0.173,28.6,306.1846,1.0,120.0,D+9,
exp_decay_0.99,0.173,28.6,304.5085,1.0,120.0,D+9,
ridge_stack,0.173,33.6,327.6668,1.0,120.0,D+9,
