asset,horizons,n_horizons,n_series_per_horizon,sharpe,practical_sharpe,da,significant_da,forecast_mag,utility,n_trades,config
Crude_Oil,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,4,-1.138,-1.355,31.2,50.0,0.57,-0.008,68,full_spectrum
Crude_Oil,"[1, 2, 3]",3,4,-2.137,-3.721,32.8,39.1,0.58,-0.51,74,short_term
Crude_Oil,"[5, 6, 7, 8, 9, 10]",6,6,-1.233,-2.41,32.1,52.4,0.57,-0.211,68,medium_term
SP500,"[1, 3, 5, 8, 13, 21, 34, 55, 89]",9,1,-2.617,,36.7,53.3,34.08,0.46,18,full_spectrum
SP500,"[1, 3]",2,1,-3.04,-3.063,31.9,56.5,26.6,-0.177,76,short_term
SP500,"[5, 8, 13]",3,2,2.3,2.23,36.4,50.0,27.93,0.829,71,medium_term
SP500,"[13, 21, 34, 55, 89]",5,1,-2.617,,36.7,53.3,34.29,0.46,18,long_term
Bitcoin,"[1, 3, 5, 8, 10, 13]",6,5,-1.672,1.193,44.0,41.4,1705.99,0.663,83,full_spectrum
Bitcoin,"[1, 3]",2,5,0.456,2.524,35.3,47.1,1581.79,0.841,115,short_term
Bitcoin,"[5, 8, 10, 13]",4,4,-1.679,1.304,45.2,42.9,1724.51,0.689,83,medium_term
