asset,horizons,n_horizons,sharpe,practical_sharpe,da,significant_da,n_significant,avg_forecast_mag,total_return,max_dd,utility_score,n_trades,config
Crude_Oil,"[5, 6, 7, 8, 9, 10]",6,-2.993,-2.696,24.6,51.1,45,0.59,-100.0,-0.0,-0.268,74,all_horizons
Crude_Oil,"[6, 7, 8, 9, 10]",5,-1.153,-4.765,36.3,37.8,45,0.58,-100.0,-0.0,-0.723,74,mid_long
Crude_Oil,"[8, 9, 10]",3,2.479,3.104,27.9,41.9,43,0.57,-100.0,-824.4,0.639,70,long_only
Crude_Oil,"[7, 8]",2,-0.66,1.114,33.0,45.5,44,0.57,-100.0,-1300.0,0.473,72,pair_7_8
Crude_Oil,"[8, 9]",2,1.903,2.882,27.9,37.2,43,0.57,-100.0,-355.2,0.625,70,pair_8_9
Crude_Oil,"[8, 10]",2,2.479,3.308,29.7,39.5,43,0.56,-100.0,-824.4,0.631,70,pair_8_10
SP500,"[5, 8, 13, 21, 34]",5,-2.233,-2.491,31.3,46.8,62,30.84,-100.0,-216.9,-0.058,76,all_horizons
SP500,"[8, 13, 21, 34]",4,2.798,1.877,33.3,37.3,59,31.71,-100.0,-316276.7,0.787,72,mid_long
SP500,"[13, 21, 34]",3,1.43,0.179,39.3,44.8,58,33.27,-100.0,-430.9,0.47,71,long_only
SP500,"[8, 13]",2,2.798,3.015,33.3,35.6,59,28.04,-100.0,-316276.7,0.787,72,pair_8_13
SP500,"[13, 21]",2,2.165,1.97,34.0,43.9,57,29.11,-100.0,-430.9,0.817,70,pair_13_21
SP500,"[8, 21]",2,3.498,4.371,33.3,35.6,59,28.98,-100.0,-316276.7,0.797,72,pair_8_21
Bitcoin,"[5, 8, 10, 13]",4,-1.493,-1.642,54.6,46.3,82,1826.13,-2.3011530500869616e+17,-8952.1,0.111,96,all_horizons
Bitcoin,"[8, 10, 13]",3,-1.532,-1.635,40.2,38.3,81,1853.6,-4.226840325946579e+20,-328241.9,0.088,96,mid_long
Bitcoin,"[8, 10, 13]",3,-1.532,-1.635,40.2,38.3,81,1853.6,-4.226840325946579e+20,-328241.9,0.088,96,long_only
Bitcoin,"[5, 10]",2,0.684,2.081,49.1,48.2,85,1559.84,-5.825903246806463e+24,-5403159.1,0.845,113,pair_5_10
Bitcoin,"[8, 10]",2,-0.435,1.016,52.3,39.8,83,1562.15,5.991457962938669e+17,-35055.6,0.623,110,pair_8_10
