sharpe,da,avg_forecast_mag,significant_accuracy,n_significant_moves,sig_win_rate,practical_sharpe,utility_score,n_trades,asset,horizon,type,method,horizons_combined,horizon_list
-4.056,24.6,0.59,53.3,45,42.4,-1.875,-0.032,74,Crude_Oil,5.0,single_horizon,top_k_sharpe_10pct,,
-0.646,34.5,0.6,42.2,45,45.5,-3.529,-0.153,74,Crude_Oil,6.0,single_horizon,top_k_sharpe_10pct,,
0.724,31.2,0.56,50.0,44,53.1,3.025,0.22,72,Crude_Oil,7.0,single_horizon,top_k_sharpe_10pct,,
1.544,28.8,0.57,41.9,43,51.6,3.104,0.213,70,Crude_Oil,8.0,single_horizon,top_k_sharpe_10pct,,
0.495,26.4,0.57,53.7,41,50.0,0.715,0.139,69,Crude_Oil,9.0,single_horizon,top_k_sharpe_10pct,,
0.871,32.1,0.57,50.0,42,46.7,-1.355,-0.002,68,Crude_Oil,10.0,single_horizon,top_k_sharpe_10pct,,
-0.813,34.7,0.69,46.0,176,44.8,-0.655,0.049,265,Crude_Oil,,horizon_pair,D+5_D+6,2.0,"[5, 6]"
-0.8,37.0,0.68,46.0,176,43.3,-0.164,0.08,265,Crude_Oil,,horizon_pair,D+5_D+7,2.0,"[5, 7]"
-0.248,36.2,0.68,46.0,176,43.3,-0.323,0.07,265,Crude_Oil,,horizon_pair,D+5_D+8,2.0,"[5, 8]"
0.425,36.0,0.68,46.0,176,44.0,-0.096,0.085,265,Crude_Oil,,horizon_pair,D+5_D+9,2.0,"[5, 9]"
0.136,37.0,0.68,46.6,176,43.3,-0.225,0.077,265,Crude_Oil,,horizon_pair,D+5_D+10,2.0,"[5, 10]"
-0.266,38.9,0.69,47.4,175,43.6,-2.778,-0.092,264,Crude_Oil,,horizon_pair,D+6_D+7,2.0,"[6, 7]"
-0.34,40.9,0.69,48.0,175,43.6,-2.783,-0.091,264,Crude_Oil,,horizon_pair,D+6_D+8,2.0,"[6, 8]"
-0.331,41.4,0.69,49.1,175,42.9,-3.11,-0.112,264,Crude_Oil,,horizon_pair,D+6_D+9,2.0,"[6, 9]"
-0.322,40.7,0.69,49.7,175,43.6,-2.873,-0.096,264,Crude_Oil,,horizon_pair,D+6_D+10,2.0,"[6, 10]"
0.246,36.2,0.68,45.7,173,55.0,1.073,0.163,261,Crude_Oil,,horizon_pair,D+7_D+8,2.0,"[7, 8]"
0.168,36.4,0.68,42.8,173,53.4,0.807,0.142,261,Crude_Oil,,horizon_pair,D+7_D+9,2.0,"[7, 9]"
0.25,35.4,0.68,43.4,173,55.0,0.967,0.153,261,Crude_Oil,,horizon_pair,D+7_D+10,2.0,"[7, 10]"
0.758,31.6,0.68,44.5,173,50.0,0.836,0.146,260,Crude_Oil,,horizon_pair,D+8_D+9,2.0,"[8, 9]"
0.814,31.1,0.68,44.5,173,51.5,0.769,0.141,260,Crude_Oil,,horizon_pair,D+8_D+10,2.0,"[8, 10]"
-1.329,31.2,0.68,48.2,170,40.8,-1.958,-0.037,259,Crude_Oil,,horizon_pair,D+9_D+10,2.0,"[9, 10]"
0.006,32.4,0.68,48.9,176,47.8,-0.251,0.078,265,Crude_Oil,,all_horizons,full_diversity,6.0,"[5, 6, 7, 8, 9, 10]"
-2.69,31.6,27.8,46.8,62,44.4,-2.607,-0.034,76,SP500,5.0,single_horizon,top_k_sharpe_10pct,,
3.203,34.2,27.04,42.4,59,59.5,3.401,0.266,72,SP500,8.0,single_horizon,top_k_sharpe_10pct,,
